FName,LName,full_name,ExtraData,AthleteURL
MEJDI,SCHALCK,MEJDI SCHALCK,FRA • 2004,https://ifsc.results.info/#/athlete/11675
HANNES,VAN DUYSEN,HANNES VAN DUYSEN,BEL • 2004,https://ifsc.results.info/#/athlete/373
PAUL,JENFT,PAUL JENFT,FRA • 2003,https://ifsc.results.info/#/athlete/547
KOKORO,FUJII,KOKORO FUJII,JPN • 1992,https://ifsc.results.info/#/athlete/2272
SORATO,ANRAKU,SORATO ANRAKU,JPN • 2006,https://ifsc.results.info/#/athlete/13040
JONGWON,CHON,JONGWON CHON,KOR • 1996,https://ifsc.results.info/#/athlete/2052
DOHYUN,LEE,DOHYUN LEE,KOR • 2002,https://ifsc.results.info/#/athlete/2101
MEICHI,NARASAKI,MEICHI NARASAKI,JPN • 1999,https://ifsc.results.info/#/athlete/2307
EDVARDS,GRUZITIS,EDVARDS GRUZITIS,LAT • 2004,https://ifsc.results.info/#/athlete/4168
TOMOA,NARASAKI,TOMOA NARASAKI,JPN • 1996,https://ifsc.results.info/#/athlete/2276
YANNICK,FLOHÉ,YANNICK FLOHÉ,GER • 1999,https://ifsc.results.info/#/athlete/3131
LEO,AVEZOU,LEO AVEZOU,FRA • 1999,https://ifsc.results.info/#/athlete/505
YOSHIYUKI,OGATA,YOSHIYUKI OGATA,JPN • 1998,https://ifsc.results.info/#/athlete/2309
MATHIEU,TERNANT,MATHIEU TERNANT,FRA • 1996,https://ifsc.results.info/#/athlete/11535
MICKAEL,MAWEM,MICKAEL MAWEM,FRA • 1990,https://ifsc.results.info/#/athlete/523
YUJI,INOUE,YUJI INOUE,JPN • 1995,https://ifsc.results.info/#/athlete/2348
RITSU,KAYOTANI,RITSU KAYOTANI,JPN • 2006,https://ifsc.results.info/#/athlete/13987
NICOLAI,UZNIK,NICOLAI UZNIK,AUT • 2000,https://ifsc.results.info/#/athlete/1256
ANZE,PEHARC,ANZE PEHARC,SLO • 1997,https://ifsc.results.info/#/athlete/1138
JAMES,POPE,JAMES POPE,GBR • 1998,https://ifsc.results.info/#/athlete/649
DAIKI,SANO,DAIKI SANO,JPN • 2003,https://ifsc.results.info/#/athlete/14314
STEFAN,SCHERZ,STEFAN SCHERZ,AUT • 2001,https://ifsc.results.info/#/athlete/1274
SAM,AVEZOU,SAM AVEZOU,FRA • 2001,https://ifsc.results.info/#/athlete/532
TOMOAKI,TAKATA,TOMOAKI TAKATA,JPN • 1995,https://ifsc.results.info/#/athlete/2291
MAXIMILLIAN,MILNE,MAXIMILLIAN MILNE,GBR • 2000,https://ifsc.results.info/#/athlete/688
TOBY,ROBERTS,TOBY ROBERTS,GBR • 2005,https://ifsc.results.info/#/athlete/11490
COLIN,DUFFY,COLIN DUFFY,USA • 2003,https://ifsc.results.info/#/athlete/1929
JAKOB,SCHUBERT,JAKOB SCHUBERT,AUT • 1990,https://ifsc.results.info/#/athlete/1214
SUNGSU,LEE,SUNGSU LEE,KOR • 1999,https://ifsc.results.info/#/athlete/2072
HANNES,PUMAN,HANNES PUMAN,SWE • 1997,https://ifsc.results.info/#/athlete/2667
HUGO,HOYER,HUGO HOYER,USA • 2007,https://ifsc.results.info/#/athlete/13030
ALEX,KHAZANOV,ALEX KHAZANOV,ISR • 1995,https://ifsc.results.info/#/athlete/3983
MAX,KLEESATTEL,MAX KLEESATTEL,GER • 1998,https://ifsc.results.info/#/athlete/3127
SIMON,LORENZI,SIMON LORENZI,BEL • 1997,https://ifsc.results.info/#/athlete/318
NICOLAS,COLLIN,NICOLAS COLLIN,BEL • 1998,https://ifsc.results.info/#/athlete/320
JUNTA,SEKIGUCHI,JUNTA SEKIGUCHI,JPN • 2004,https://ifsc.results.info/#/athlete/11846
ZAN,LOVENJAK SUDAR,ZAN LOVENJAK SUDAR,SLO • 1998,https://ifsc.results.info/#/athlete/1149
NIMROD,MARCUS,NIMROD MARCUS,ISR • 1999,https://ifsc.results.info/#/athlete/3998
SEAN,BAILEY,SEAN BAILEY,USA • 1996,https://ifsc.results.info/#/athlete/1741
HAMISH,MCARTHUR,HAMISH MCARTHUR,GBR • 2002,https://ifsc.results.info/#/athlete/696
JERNEJ,KRUDER,JERNEJ KRUDER,SLO • 1990,https://ifsc.results.info/#/athlete/1124
MICHAEL,PICCOLRUAZ,MICHAEL PICCOLRUAZ,ITA • 1995,https://ifsc.results.info/#/athlete/857
KATSURA,KONISHI,KATSURA KONISHI,JPN • 2001,https://ifsc.results.info/#/athlete/2335
RAM,LEVIN,RAM LEVIN,ISR • 1998,https://ifsc.results.info/#/athlete/3991
MANUEL,CORNU,MANUEL CORNU,FRA • 1993,https://ifsc.results.info/#/athlete/490
REI,SUGIMOTO,REI SUGIMOTO,JPN • 1991,https://ifsc.results.info/#/athlete/2257
DILLON,COUNTRYMAN,DILLON COUNTRYMAN,USA • 2006,https://ifsc.results.info/#/athlete/13029
GEVA,LEVIN,GEVA LEVIN,ISR • 2003,https://ifsc.results.info/#/athlete/4019
OSCAR,BAUDRAND,OSCAR BAUDRAND,CAN • 2005,https://ifsc.results.info/#/athlete/11847
SLAV,KIROV,SLAV KIROV,BUL • 2005,https://ifsc.results.info/#/athlete/11500
ELIAS,ARRIAGADA KRÜGER,ELIAS ARRIAGADA KRÜGER,GER • 2000,https://ifsc.results.info/#/athlete/11525
JAN-LUCA,POSCH,JAN-LUCA POSCH,AUT • 1998,https://ifsc.results.info/#/athlete/1245
ALBERTO,GINÉS LÓPEZ,ALBERTO GINÉS LÓPEZ,ESP • 2002,https://ifsc.results.info/#/athlete/811
LUKE,GOH WEN BIN,LUKE GOH WEN BIN,SGP • 2002,https://ifsc.results.info/#/athlete/3665
KA-CHUN,YAU,KA-CHUN YAU,HKG • 1992,https://ifsc.results.info/#/athlete/2214
ZACH,GALLA,ZACH GALLA,USA • 2000,https://ifsc.results.info/#/athlete/1926
VICTOR,BAUDRAND,VICTOR BAUDRAND,CAN • 2003,https://ifsc.results.info/#/athlete/1644
DYLAN,PARKS,DYLAN PARKS,AUS • 2006,https://ifsc.results.info/#/athlete/13853
NILS,FAVRE,NILS FAVRE,SUI • 1991,https://ifsc.results.info/#/athlete/4306
AXEL,LINDFORS,AXEL LINDFORS,FIN • 1991,https://ifsc.results.info/#/athlete/12459
JESSE,GRUPPER,JESSE GRUPPER,USA • 1997,https://ifsc.results.info/#/athlete/1749
ARDCH,INTRACHUPONGSE,ARDCH INTRACHUPONGSE,THA • 2004,https://ifsc.results.info/#/athlete/13627
NATHAN,MARTIN,NATHAN MARTIN,LUX • 2001,https://ifsc.results.info/#/athlete/531
YUFEI,PAN,YUFEI PAN,CHN • 2000,https://ifsc.results.info/#/athlete/2947
SASCHA,LEHMANN,SASCHA LEHMANN,SUI • 1998,https://ifsc.results.info/#/athlete/4299
LUKA,POTOCAR,LUKA POTOCAR,SLO • 2001,https://ifsc.results.info/#/athlete/1170
FILIP,SCHENK,FILIP SCHENK,ITA • 2000,https://ifsc.results.info/#/athlete/912
THILO JELDRIK,SCHRÖTER,THILO JELDRIK SCHRÖTER,NOR • 1996,https://ifsc.results.info/#/athlete/3061
HOSSEIN,FAMILROHANI,HOSSEIN FAMILROHANI,IRI • 1992,https://ifsc.results.info/#/athlete/3511
FELIPE,HO FOGANHOLO,FELIPE HO FOGANHOLO,BRA • 1999,https://ifsc.results.info/#/athlete/3141
CHEUNG-CHI SHOJI,CHAN,CHEUNG-CHI SHOJI CHAN,HKG • 1995,https://ifsc.results.info/#/athlete/2218
JINBIN,HUANG,JINBIN HUANG,CHN • 2005,https://ifsc.results.info/#/athlete/13594
ANTON YOUNG HONG,NIELSEN,ANTON YOUNG HONG NIELSEN,DEN • 2000,https://ifsc.results.info/#/athlete/3861
CHRISTIAN,WAGNER,CHRISTIAN WAGNER,CHI • 2002,https://ifsc.results.info/#/athlete/11837
THEIS LINDEGREN,ELFENBEIN,THEIS LINDEGREN ELFENBEIN,DEN • 1997,https://ifsc.results.info/#/athlete/3854
NIKOLAY,RUSEV,NIKOLAY RUSEV,BUL • 2006,https://ifsc.results.info/#/athlete/12329
RODRIGO,IASI HANADA,RODRIGO IASI HANADA,BRA • 2002,https://ifsc.results.info/#/athlete/12903
WAN TONG,LOK,WAN TONG LOK,MAC • 1992,https://ifsc.results.info/#/athlete/4437
CHINGKHEINGANBA,MAIBAM,CHINGKHEINGANBA MAIBAM,IND • 2002,https://ifsc.results.info/#/athlete/2649
GUY,MCNAMEE,GUY MCNAMEE,CAN • 2002,https://ifsc.results.info/#/athlete/1646
JAKUB,ZIETEK,JAKUB ZIETEK,POL • 2002,https://ifsc.results.info/#/athlete/2894
CIARÁN,SCANLON,CIARÁN SCANLON,IRL • 1995,https://ifsc.results.info/#/athlete/2591
LOKESH,RANJAN,LOKESH RANJAN,IND • 1998,https://ifsc.results.info/#/athlete/2632
SHINYEONG,YUN,SHINYEONG YUN,KOR • 1995,https://ifsc.results.info/#/athlete/2061
DAYAN,AKHTAR,DAYAN AKHTAR,GBR • 2003,https://ifsc.results.info/#/athlete/12239
