Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [9.99],top,top,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
2,PATXI,USOBIAGA LAKUNZA,ESP,top  1. | top  1. [9.99],37+,42-,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
3,JORG,VERHOEVEN,NED,top  1. | top  1. [9.99],34-,41+,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
4,SACHI,AMMA,JPN,top  1. | top  1. [9.99],34-,41-,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
5,MANUEL,ROMAIN,FRA,top  1. | top  1. [9.99],34-,38-,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
6,GAUTIER,SUPPER,FRA,40   23. | top  1. [15.56],35-,33+,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
7,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [9.99],38-,33,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
8,JAKOB,SCHUBERT,AUT,top  1. | top  1. [9.99],top,32+,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
9,ADAM,ONDRA,CZE,top  1. | top  1. [9.99],36-,27,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
10,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [9.99],33-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
10,CÉDRIC,LACHAT,SUI,top  1. | top  1. [9.99],33-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
12,DAVID,LAMA,AUT,top  1. | 41-  21. [15.02],33-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
13,MAGNUS,MIDTBOE,NOR,top  1. | 39-  26. [16.99],32-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
14,FABIEN,DUGIT,FRA,top  1. | 41   20. [14.49],31+,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
15,THOMAS,BALLET,FRA,top  1. | top  1. [9.99],31-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
15,ALEXANDER,MEGOS,GER,top  1. | top  1. [9.99],31-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
17,ALEXANDER,KALINA,RUS,40+  21. | top  1. [14.29],31-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
18,SHINTA,OZAWA,JPN,top  1. | 38-  31. [18.47],30.5+,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
19,SEAN,MCCOLL,CAN,top  1. | top  1. [9.99],30.5,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
20,MICHAËL,FUSELIER,FRA,top  1. | 43-  19. [14.12],30.5,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
21,AKITO,MATSUSHIMA,JPN,40-  29. | top  1. [17.44],30.5,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
22,JIHWAN,PARK,KOR,top  1. | 39   24. [16.04],23-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
23,HYUNBIN,MIN,KOR,top  1. | 37+  35. [19.58],19-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
24,MARIO,LECHNER,AUT,40   23. | 40-  23. [24.22],18-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
25,FABRICE,LANDRY,FRA,40-  29. | top  1. [17.44],16-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
26,MAX,RUDIGIER,AUT,36   39. | top  1. [19.25],16-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
27,KEVIN,AGLAE,FRA,40-  29. | 41-  21. [26.23],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
28,THOMAS,TAUPORN,GER,40   23. | 39-  26. [26.48],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
28,KAZUMA,WATANABE,JPN,40   23. | 39-  26. [26.48],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
30,KLEMEN,BECAN,SLO,40-  29. | 39-  26. [29.66],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
31,STEFANO,GHISOLFI,ITA,40+  21. | 36   42. [30.05],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
32,ERIC,LOPEZ MATEOS,ESP,39-  37. | 39   24. [30.11],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
33,JAHA,KIM,KOR,40   23. | 37+  35. [30.51],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
34,JAN,HOJER,GER,40-  29. | 38+  30. [30.98],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
35,MARCO ANTONIO,JUBES ANGARITA,ESP,40-  29. | 38-  31. [32.25],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
35,STANISLAV,POPLAVSKIY,RUS,40-  29. | 38-  31. [32.25],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
37,GABRIEL,JOSSERON,FRA,39+  36. | 37+  35. [36.25],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
38,ANTON,MARDASHOV,UKR,35   41. | 38-  31. [37.17],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
39,ANATOLE,BOSIO,FRA,40   23. | 29-  57. [38.12],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
40,KONSTANTIN,SAVELYEV,RUS,38   38. | 35   43. [40.66],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
41,VICTOR,ESTELLER OCAÑA,ESP,36-  40. | 34.5-  46. [43.13],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
42,TATSUMI,NITTA,JPN,29+  57. | 37+  35. [45.81],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
43,ARMAN,TER-MINASYAN,RUS,33   47. | 35-  45. [45.99],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
44,JESUS ALBERTO,GONZALEZ ABARCA,CHI,31-  48. | 35   43. [46.40],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
45,DAISUKE,KONISHI,JPN,30-  54. | 37   39. [46.61],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
46,DANIEL,MORENO DE LOS HUERTO,ESP,35   41. | 33-  48. [46.78],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
46,TOMAS,RAVANAL,CHI,35   41. | 33-  48. [46.78],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
48,JURE,BECAN,SLO,30-  54. | 37-  41. [47.49],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
49,ERIK,GRANDELIUS,SWE,31-  48. | 34.5-  46. [47.98],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
50,MARCELLO,BOMBARDI,ITA,35-  45. | 33-  48. [48.14],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
51,FRANZ,KRAKENBERGER,SUI,28   60. | 37   39. [48.89],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
52,LUKAS,KÖB,AUT,31-  48. | 33-  48. [50.49],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
52,RUDI,MORODER,ITA,31-  48. | 33-  48. [50.49],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
54,REINALDO,CAMACHO,VEN,33+  46. | 28   58. [51.87],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
55,ELKO,SCHELLINGERHOUT,NED,30   52. | 33-  48. [52.00],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
56,NICOLA,DE MATTIA,ITA,35   41. | 24   64. [52.36],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
57,FILIP,BABICZ,POL,30-  54. | 33-  48. [53.22],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
58,SILVIO,REFFO,ITA,28   60. | 33-  48. [55.82],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
59,FACUNDO,LANGBEHN,CHI,30   52. | 28-  60. [56.36],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
60,THIBAUT,MAURON,SUI,29+  57. | 28   58. [58.00],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
61,GEIR,SÖDERIN,SWE,24-  63. | 32-  56. [59.63],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
62,JERNEJ,KRUDER,SLO,29-  59. | 27-  63. [60.97],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
63,TRUONG,NGO,NED,24-  63. | 28-  60. [61.98],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
64,ANDRES,QUINTEROS,ECU,24   62. | 24   64. [63.24],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
65,KEVIN,HEINIGER,SUI,15-  65. | 27   62. [63.48],,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Men
1,CHARLOTTE,DURIF,FRA,top  1. | top  1. [18.39],41-,top,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
2,HÉLÈNE,JANICOT,FRA,top  1. | top  1. [18.39],32,top,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
3,MAJA,STREMFELJ,SLO,top  1. | top  1. [18.39],31+,top,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
4,ALEXANDRA,EYER,SUI,top  1. | top  1. [18.39],31,48,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
5,ANGELA,EITER,AUT,top  1. | top  1. [18.39],41,48-,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
6,MOMOKA,ODA,JPN,top  1. | top  1. [18.39],31,48-,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
7,OLGA,SHALAGINA,UKR,top  1. | top  1. [18.39],33,43+,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
8,ALIZÉE,DUFRAISSE,FRA,top  1. | top  1. [18.39],38-,43-,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
9,SARA,AVOSCAN,ITA,top  1. | top  1. [18.39],31+,41+,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
10,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [18.39],31-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
10,DINARA,FAKHRITDINOVA,RUS,top  1. | top  1. [18.39],31-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
10,NATALIJA,GROS,SLO,top  1. | top  1. [18.39],31-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
10,MINA,MARKOVIC,SLO,top  1. | top  1. [18.39],31-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
10,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [18.39],31-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
15,EVGENIIA,MALAMID,RUS,top  1. | top  1. [18.39],30+,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
15,KATHARINA,POSCH,AUT,top  1. | top  1. [18.39],30+,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
17,MURIEL,SARKANY,BEL,top  1. | top  1. [18.39],28-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
17,JULIA,SERRIÈRE,FRA,top  1. | top  1. [18.39],28-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
19,JENNY,LAVARDA,ITA,top  1. | top  1. [18.39],27-,,Chamonix_(FRA)_2010,12 July - 13 July 2010,Women
