Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,JAKOB,SCHUBERT,AUT,5t7 5b5,3t3 4b4,2t2 3b6,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
2,GUILLAUME,GLAIRON MONDET,FRA,4t5 5b5,2t4 4b6,2t5 4b4,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
3,RUSTAM,GELMANOV,RUS,4t7 5b6,4t4 4b4,1t3 4b4,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
4,SACHI,AMMA,JPN,1t1 3b3,3t7 3b6,0t 4b9,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
5,ALEKSEY,RUBTSOV,RUS,2t3 5b7,2t2 2b2,0t 4b10,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
6,JABEE,KIM,KOR,0t 5b8,2t3 2b2,0t 2b5,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
7,THOMAS,CALEYRON,FRA,3t4 5b6,2t4 2b4,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
8,JONAS,BAUMANN,GER,1t1 3b3,2t5 2b3,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
9,TSUKURU,HORI,JPN,4t6 5b6,2t6 3b7,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
10,STEFAN,DANKER,GER,2t4 4b7,1t1 4b6,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
11,REI,SUGIMOTO,JPN,3t3 4b4,1t1 4b10,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
12,NICKY,DE LEEUW,NED,1t3 4b4,1t1 3b4,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
13,DMITRII,SHARAFUTDINOV,RUS,4t6 5b5,1t1 2b2,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
14,JERNEJ,KRUDER,SLO,1t1 5b7,1t2 4b7,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
15,WOUTER,JONGENEELEN,NED,0t 4b6,1t2 2b2,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
16,STÉPHAN,JULIEN,FRA,2t3 4b8,1t3 2b5,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
17,AKITO,TSUMORI,JPN,1t1 4b5,0t 2b2,,Chongqing_(CHN)_2012,13 April - 14 April 2012,Men
