Rank,Name,,Country,Qualification,event_name,date,gender
1,YANNICK,FLOHÉ,GER,9.0,Moscow_2021,16 September - 21 September 2021,Men
2,PHILIPP,MARTIN,GER,48.0,Moscow_2021,16 September - 21 September 2021,Men
3,FEDIR,SAMOILOV,UKR,60.0,Moscow_2021,16 September - 21 September 2021,Men
4,JAN,HOJER,GER,64.0,Moscow_2021,16 September - 21 September 2021,Men
5,CARLOS,GRANJA,ECU,70.0,Moscow_2021,16 September - 21 September 2021,Men
6,KOSTIANTYN,PAVLENKO,UKR,90.0,Moscow_2021,16 September - 21 September 2021,Men
7,CHIA HSIANG,LIN,TPE,252.0,Moscow_2021,16 September - 21 September 2021,Men
8,SERGII,TOPISHKO,UKR,450.0,Moscow_2021,16 September - 21 September 2021,Men
9,NICKOLAIE,RIVADENEIRA,ECU,500.0,Moscow_2021,16 September - 21 September 2021,Men
10,YAROSLAV,TKACH,UKR,546.0,Moscow_2021,16 September - 21 September 2021,Men
11,AARON,PEÑARANDA,ECU,560.0,Moscow_2021,16 September - 21 September 2021,Men
12,GAURAV,KUMAR,IND,1495.0,Moscow_2021,16 September - 21 September 2021,Men
13,FERHAT,BEKMEZ,TUR,1650.0,Moscow_2021,16 September - 21 September 2021,Men
14,JOSHUA,BRUYNS,RSA,1932.0,Moscow_2021,16 September - 21 September 2021,Men
15,TİMUR,TAŞ,TUR,2730.0,Moscow_2021,16 September - 21 September 2021,Men
1,JESSICA,PILZ,AUT,20.0,Moscow_2021,16 September - 21 September 2021,Women
2,MIA,KRAMPL,SLO,36.0,Moscow_2021,16 September - 21 September 2021,Women
3,ELNAZ,REKABI,IRI,42.0,Moscow_2021,16 September - 21 September 2021,Women
4,TAMARA,ULZHABAYEVA,KAZ,75.0,Moscow_2021,16 September - 21 September 2021,Women
5,HANNAH,MEUL,GER,90.0,Moscow_2021,16 September - 21 September 2021,Women
6,ROXANA,WIENAND,GER,100.0,Moscow_2021,16 September - 21 September 2021,Women
7,IEVGENIIA,KAZBEKOVA,UKR,132.0,Moscow_2021,16 September - 21 September 2021,Women
8,TETIANA,KOLKOTINA,UKR,242.0,Moscow_2021,16 September - 21 September 2021,Women
9,MAHYA,DARABIAN,IRI,360.0,Moscow_2021,16 September - 21 September 2021,Women
10,MARGARYTA,ZAKHAROVA,UKR,472.5,Moscow_2021,16 September - 21 September 2021,Women
11,NIKA,POTAPOVA,UKR,600.0,Moscow_2021,16 September - 21 September 2021,Women
