Rank,Name,,Country,Qualification,Semi-Final,Final,event_name,date,gender
1,JAKOB,SCHUBERT,AUT,1.73,39+,47+,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
2,STEFANO,GHISOLFI,ITA,5.1,31+,47,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
3,SASCHA,LEHMANN,SUI,11.62,39+,38+,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
4,MASAHIRO,HIGUCHI,JPN,18.97,34+,38+,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
5,ALBERTO,GINÉS LÓPEZ,ESP,12.33,41+,37+,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
6,ALEXANDER,MEGOS,GER,2.83,38+,37+,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
7,LUKA,POTOCAR,SLO,21.82,39+,27+,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
8,ADAM,ONDRA,CZE,1.41,42+,17,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
9,TOMOA,NARASAKI,JPN,9.25,31+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
10,AO,YURIKUSA,JPN,11.62,31+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
11,KOKORO,FUJII,JPN,11.75,31+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
12,MARTIN,STRANIK,CZE,16.42,31,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
13,MARTIN,BERGANT,SLO,18.52,30+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
14,HANNES,PUMAN,SWE,29.17,30,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
15,PETER,KURIC,SVK,21.58,27+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
16,ANTHONY,GULLSTEN,FIN,23.23,27+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
17,DOMEN,SKOFIC,SLO,5.1,27,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
18,NICOLAS,COLLIN,BEL,18.23,26+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
19,PAUL,JENFT,FRA,19.86,26,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
20,SATONE,YOSHIDA,JPN,13.13,25+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
21,COLIN,DUFFY,USA,5.7,25,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
22,CHRISTOPH,HANKE,GER,27.87,25,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
23,DYLAN,CHUAT,SUI,29.17,25,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
24,KAI,HARADA,JPN,19.74,24,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
25,MARCELLO,BOMBARDI,ITA,19.86,21+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
26,VICTOR,BAUDRAND,CAN,29.17,5+,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
27,ROSS,FULKERSON,USA,31.02,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
28,MIKEL ASIER,LINACISORO MOLINA,ESP,31.89,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
29,FEDIR,SAMOILOV,UKR,32.13,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
30,ZIGA,ZAJC,SLO,34.09,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
31,OSCAR,BAUDRAND,CAN,34.32,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
32,NIMROD,MARCUS,ISR,34.94,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
32,VLADISLAV,SHEVCHENKO,RUS,34.94,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
34,MATHIAS,POSCH,AUT,35.11,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
35,ADRIEN,LEMAIRE,FRA,35.87,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
35,MICHAEL,PICCOLRUAZ,ITA,35.87,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
35,GERGŐ,VÁLYI,HUN,35.87,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
38,RISHAT,KHAIBULLIN,KAZ,36.5,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
39,TIMOTHY,KANG,USA,36.71,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
40,ELLIS,ERNSBERGER,USA,37.99,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
41,SOHTA,AMAGASA,JPN,38.54,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
42,DIMITRI,VOGT,SUI,38.71,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
43,PHILIPP,MARTIN,GER,39.42,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
44,FILIP,SCHENK,ITA,39.71,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
45,NATHANIEL,COLEMAN,USA,41.42,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
46,MAREK,JELIGA,CZE,42.6,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
47,MARK,BRAND,NED,44.41,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
48,JONGWON,CHON,KOR,47.99,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
48,DMITRII,POPOV,RUS,47.99,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
48,MILAN,PRESKAR,SLO,47.99,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
48,STEFAN,SCHERZ,AUT,47.99,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
52,GIOVANNI,PLACCI,ITA,48.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
53,VADIM,TIMONOV,RUS,48.74,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
54,FREDRIK,SERLACHIUS,SWE,51.42,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
55,NAO,MONCHOIS,FRA,51.53,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
56,LETO,CAVÉ,NED,54.79,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
57,SEBASTIAN,HALENKE,GER,54.85,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
57,YUVAL,SHEMLA,ISR,54.85,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
59,EDVARDS,GRUZITIS,LAT,55.25,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
59,TOMAS,PLEVKO,SVK,55.25,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
61,SIMON,POTUCEK,CZE,56.21,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
62,NIMRÓD SEBESTYÉN,TUSNÁDY,HUN,57.71,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
63,ATTILA ZSOMBOR,RADICS,HUN,58.19,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
64,LOUIS,GUNDOLF,AUT,58.9,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
65,JONAS,BRANDENBURGER,GER,59.83,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
66,FABIAN,FÖRANDER,SWE,61.43,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
66,JULIAN,WIMMER,AUT,61.43,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
68,GEORG,PARMA,AUT,64.1,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
69,SIMON,LORENZI,BEL,65.4,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
70,JULIEN,CLÉMENCE,SUI,66.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
70,BENCE,FUKSZ,HUN,66.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
70,JAKUB,FÁBRIC,SVK,66.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
70,PHILIPP,GÖTHERT,GER,66.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
70,BENJAMIN,HAIDACHER,AUT,66.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
70,AXEL,LINDFORS,FIN,66.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
70,LLUC,MACIÀ LLOBET,ESP,66.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
70,JAKUB,ZIETEK,POL,66.22,,,Innsbruck_(AUT)_2021,23 June - 26 June 2021,Men
