Rank,Name,,Country,Qualification,Semi-final,Final,event_name,date,gender
1,TOMOA,NARASAKI,JPN,139.0,141.9,156.4,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
2,YOSHIYUKI,OGATA,JPN,120.7,132.4,138.4,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
3,KOKORO,FUJII,JPN,103.7,115.5,132.6,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
4,PAUL,JENFT,FRA,123.6,112.0,129.7,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
5,YANNICK,FLOHÉ,GER,115.3,115.9,128.5,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
6,TAISEI,HOMMA,JPN,124.4,128.6,117.5,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
7,REI,KAWAMATA,JPN,114.1,113.1,109.5,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
8,SEAN,BAILEY,USA,163.2,117.8,76.6,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
9,MASAHIRO,HIGUCHI,JPN,105.1,103.8,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
10,COLIN,DUFFY,USA,114.4,102.1,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
11,MEJDI,SCHALCK,FRA,125.1,100.1,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
12,AO,YURIKUSA,JPN,118.0,98.7,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
13,TOBY,ROBERTS,GBR,99.9,92.2,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
14,SASCHA,LEHMANN,SUI,150.6,90.4,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
15,SATONE,YOSHIDA,JPN,112.5,80.3,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
16,JESSE,GRUPPER,USA,128.9,78.7,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
17,NICOLAS,COLLIN,BEL,115.3,75.4,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
18,HANNES,PUMAN,SWE,91.0,71.5,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
19,HANNES,VAN DUYSEN,BEL,88.8,62.4,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
20,SHINYEONG,YUN,KOR,97.6,38.5,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
21,SAM,AVEZOU,FRA,88.6,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
22,ANZE,PEHARC,SLO,88.5,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
23,YANNICK,NAGEL,GER,83.8,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
24,CHRISTOPH,SCHWEIGER,GER,77.7,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
25,LUKE,GOH WEN BIN,SGP,69.4,,,"Morioka,_Iwate_(JPN)_2022",20 October - 22 October 2022,Men
