Rank,Name,,Country,Qualification,Semi-final,Final,event_name,Date,Gender
1,MEJDI,SCHALCK,FRA,4t4z 6 6,1t4z 2 9,2t3z 7 7,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
2,HANNES,VAN DUYSEN,BEL,3t5z 9 15,1t4z 8 14,1t3z 2 11,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
3,PAUL,JENFT,FRA,4t5z 10 9,2t4z 11 13,1t3z 3 3,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
4,KOKORO,FUJII,JPN,4t5z 8 17,1t2z 3 4,0t3z 0 9,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
5,SORATO,ANRAKU,JPN,3t5z 4 17,1t4z 1 12,0t3z 0 11,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
6,JONGWON,CHON,KOR,3t4z 3 10,2t2z 6 5,0t3z 0 13,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
7,DOHYUN,LEE,KOR,5t5z 10 10,1t2z 5 5,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
8,MEICHI,NARASAKI,JPN,3t4z 5 10,0t4z 0 10,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
9,EDVARDS,GRUZITIS,LAT,4t5z 18 12,0t4z 0 11,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
10,TOMOA,NARASAKI,JPN,5t5z 20 13,0t4z 0 12,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
11,YANNICK,FLOHÉ,GER,4t5z 12 14,0t3z 0 9,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
12,LEO,AVEZOU,FRA,4t5z 13 10,0t3z 0 14,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
13,YOSHIYUKI,OGATA,JPN,5t5z 14 11,0t2z 0 2,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
14,MATHIEU,TERNANT,FRA,3t4z 8 6,0t2z 0 4,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
15,MICKAEL,MAWEM,FRA,3t5z 13 17,0t2z 0 5,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
16,YUJI,INOUE,JPN,4t5z 18 17,0t2z 0 6,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
16,RITSU,KAYOTANI,JPN,3t5z 5 10,0t2z 0 6,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
18,NICOLAI,UZNIK,AUT,4t5z 9 10,0t2z 0 7,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
19,ANZE,PEHARC,SLO,3t5z 5 10,0t2z 0 8,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
20,JAMES,POPE,GBR,4t4z 11 9,0t1z 0 5,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
21,DAIKI,SANO,JPN,2t5z 4 12,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
21,STEFAN,SCHERZ,AUT,4t4z 18 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
23,SAM,AVEZOU,FRA,2t5z 4 18,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
23,TOMOAKI,TAKATA,JPN,4t4z 20 11,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
25,MAXIMILLIAN,MILNE,GBR,2t4z 6 10,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
25,TOBY,ROBERTS,GBR,3t5z 5 12,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
27,COLIN,DUFFY,USA,2t4z 9 8,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
27,JAKOB,SCHUBERT,AUT,3t5z 5 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
29,SUNGSU,LEE,KOR,2t3z 7 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
29,HANNES,PUMAN,SWE,3t5z 6 13,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
31,HUGO,HOYER,USA,3t5z 7 7,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
31,ALEX,KHAZANOV,ISR,1t5z 2 16,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
33,MAX,KLEESATTEL,GER,1t5z 3 20,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
33,SIMON,LORENZI,BEL,3t5z 8 15,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
35,NICOLAS,COLLIN,BEL,3t5z 8 17,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
35,JUNTA,SEKIGUCHI,JPN,1t5z 3 23,,,IFSC_World_Cup_Hachioji_2023,21 April - 23 April 2023,Men
