Rank,Name,,Country,Qualification,Final,event_name,Date,Gender
1,VEDDRIQ,LEONARDO,INA,4.98 (wr) (asr),5.01,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
2,JINBAO,LONG,CHN,5.40,5.12,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
3,XINSHANG,WANG,CHN,5.17,5.11,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
4,JIANGUO,LONG,CHN,5.130,6.37,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
5,EUNCHEOL,SHIN,KOR,5.131,8.69 (5.131),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
6,PENG,WU,CHN,5.231,6.13 (5.198),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
7,ASPAR,ASPAR,INA,5.22,5.24 (5.220),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
8,MATTEO,ZURLONI,ITA,5.230 (er),8.04 (5.230),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
9,SAMUEL,WATSON,USA,5.02 (par),5.42 (5.29),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
10,RAHMAD,ADI MULYONO,INA,5.239,5.29 (5.239),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
11,LUDOVICO,FOSSALI,ITA,5.31,5.25,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
12,JOHN,BROSLER,USA,5.28,7.16 (5.285),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
13,YAROSLAV,TKACH,UKR,5.35,5.37 (5.350),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
14,AMIR,MAIMURATOV,KAZ,5.38,false start (5.380),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
15,MINHUI,WANG,CHN,5.39,5.62 (5.394),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
16,BASSA,MAWEM,FRA,5.43,5.59 (5.431),IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
17,JUN,YASUKAWA,JPN,5.450,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
18,SEUNGBEOM,LEE,KOR,5.458,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
19,YONGSU,LEE,KOR,5.48,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
20,ZAENAL,ARIPIN,INA,5.53,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
21,RYO,OMASA,JPN,5.54,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
22,MARCIN,DZIENSKI,POL,5.570,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
23,ISAAC,ESTEVEZ,ECU,5.574,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
24,YONGJUN,JUNG,KOR,5.59,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
25,CARLOS,GRANJA,ECU,5.60,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
26,RISHAT,KHAIBULLIN,KAZ,5.61,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
27,YUDAI,IKEDA,JPN,5.62,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
28,ZACH,HAMMER,USA,5.63,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
29,RAFE,STOKES,GBR,5.64,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
30,SHUTO,FUJINO,JPN,5.66,,IFSC_World_Cup_Seoul_2023,28 April - 30 April 2023,Men
