title,date,category,url
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,18 April - 19 April 2008,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=512&result=3
IFSC Climbing Worldcup (B) - Hall (AUT) 2008,18 April - 19 April 2008,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=512&result=7
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,27 April - 27 April 2008,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=513&result=2
IFSC Climbing Worldcup (S) - Trento (ITA) 2008,27 April - 27 April 2008,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=513&result=6
IFSC Climbing Worldcup (B) - Reunion (FRA) 2008,2 May - 3 May 2008,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=514&result=3
IFSC Climbing Worldcup (B) - Reunion (FRA) 2008,2 May - 3 May 2008,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=514&result=7
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,30 May - 31 May 2008,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=515&result=3
IFSC Climbing Worldcup (B) - Grindelwald (SUI) 2008,30 May - 31 May 2008,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=515&result=7
IFSC Climbing Worldcup (B) - Vail (USA) 2008,6 June - 7 June 2008,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=516&result=3
IFSC Climbing Worldcup (B) - Vail (USA) 2008,6 June - 7 June 2008,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=516&result=7
IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2008,13 June - 14 June 2008,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=517&result=3
IFSC Climbing Worldcup (B) - Fiera di Primiero (ITA) 2008,13 June - 14 June 2008,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=517&result=7
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,27 June - 28 June 2008,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=518&result=1
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,27 June - 28 June 2008,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=518&result=5
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,27 June - 28 June 2008,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=518&result=2
IFSC Climbing Worldcup (S + L) - Qinghai (CHN) 2008,27 June - 28 June 2008,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=518&result=6
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4 July - 5 July 2008,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=519&result=3
IFSC Climbing Worldcup (B) - Montauban (FRA) 2008,4 July - 5 July 2008,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=519&result=7
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,12 July - 13 July 2008,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=520&result=1
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,12 July - 13 July 2008,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=520&result=5
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,12 July - 13 July 2008,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=520&result=2
IFSC Climbing Worldcup (S+L) - Chamonix (FRA) 2008,12 July - 13 July 2008,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=520&result=6
IFSC Climbing Worldcup (S) - Val Daone (ITA) 2008,19 July - 20 July 2008,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=521&result=2
IFSC Climbing Worldcup (S) - Val Daone (ITA) 2008,19 July - 20 July 2008,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=521&result=6
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,12 September - 13 September 2008,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=522&result=1
IFSC Climbing Worldcup (L) - Bern (SUI) 2008,12 September - 13 September 2008,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=522&result=5
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,19 September - 20 September 2008,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=523&result=1
IFSC Climbing Worldcup (L) - Imst (AUT) 2008,19 September - 20 September 2008,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=523&result=5
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,26 September - 27 September 2008,LEAD Men,https://components.ifsc-climbing.org/result-complete/?event=524&result=1
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,26 September - 27 September 2008,LEAD Women,https://components.ifsc-climbing.org/result-complete/?event=524&result=5
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,26 September - 27 September 2008,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=524&result=2
IFSC Climbing Worldcup (L+S) - Puurs (BEL) 2008,26 September - 27 September 2008,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=524&result=6
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,31 October - 2 November 2008,BOULDER Men,https://components.ifsc-climbing.org/result-complete/?event=525&result=3
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,31 October - 2 November 2008,BOULDER Women,https://components.ifsc-climbing.org/result-complete/?event=525&result=7
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,31 October - 2 November 2008,SPEED Men,https://components.ifsc-climbing.org/result-complete/?event=525&result=2
IFSC Climbing Worldcup (S+B) - Moscow (RUS) 2008,31 October - 2 November 2008,SPEED Women,https://components.ifsc-climbing.org/result-complete/?event=525&result=6
