Rank,Name,,Country,Qualification,Semi-Final,Final
1,DMITRII,SHARAFUTDINOV,RUS,6t15 6b11,3t5 4b4,3t9 3b5
2,KILIAN,FISCHHUBER,AUT,4t5 6b7,2t2 3b3,2t4 2b2
3,STÉPHAN,JULIEN,FRA,2t3 5b9,4t6 4b5,1t1 2b2
4,LUKAS,ENNEMOSER,AUT,3t3 6b7,4t7 4b6,1t3 2b2
5,RUSTAM,GELMANOV,RUS,3t5 6b12,3t3 4b4,1t4 2b7
6,MARTIN,STRANIK,CZE,3t5 5b5,3t8 4b6,1t5 2b3
7,GABRIELE,MORONI,ITA,4t9 6b9,2t2 3b3,
8,DAVID,BARRANS,GBR,4t6 6b7,2t3 4b4,
9,GARETH,PARRY,GBR,1t1 6b14,2t3 4b7,
10,AKITO,MATSUSHIMA,JPN,4t8 5b7,2t3 3b6,
11,MATTHIAS,MÜLLER,SUI,4t6 6b7,2t4 4b6,
12,MASATOSHI,SUGITA,JPN,3t5 6b12,2t4 2b2,
13,GUILLAUME,GLAIRON MONDET,FRA,4t4 6b9,2t5 3b3,
14,NALLE,HUKKATAIVAL,FIN,3t5 6b10,1t1 3b7,
15,LUCAS,PRETI,ITA,3t9 5b12,1t3 2b6,
16,KARSTEN,BOROWKA,GER,2t4 6b10,0t 2b3,
17,JORG,VERHOEVEN,NED,3t5 5b5,0t 2b4,
18,PETER,WÜRTH,GER,3t8 4b8,0t 2b10,
19,MARK,CROXALL,GBR,2t6 3b6,0t 1b4,
20,HEIKO,WILHELM,AUT,2t4 3b5,0t 0b,
21,RODDY,MACKENZIE,GBR,1t1 5b8,,
21,CASPER,TEN SIJTHOFF,NED,1t1 5b8,,
23,JONAS,BAUMANN,GER,1t1 5b10,,
23,MYKHAYLO,SHALAGIN,UKR,1t1 5b10,,
25,KLEMEN,BECAN,SLO,1t1 4b5,,
26,ROLAND,WAGNER,AUT,1t1 4b6,,
27,THOMAS,FARRELL,AUS,1t1 4b7,,
27,JACEK,MATUSZEK,POL,1t1 4b7,,
29,JAKUB,HLAVACEK,CZE,1t1 4b8,,
30,WOUTER,JONGENEELEN,NED,1t1 4b9,,
31,MIKHAIL,CHERNIKOV,RUS,1t1 4b11,,
32,JIRI,PRIBIL,CZE,1t1 3b3,,
33,MAURICIO,HUERTA,MEX,1t1 3b4,,
34,DAVID,SATANEK,SVK,1t1 3b7,,
35,JAKUB,KOVACIK,SVK,1t1 3b11,,
36,JAN,CHVALA,CZE,1t2 3b5,,
37,MÜMIN,KARABAS,TUR,1t2 3b8,,
38,TOMAS,GREKSAK,SVK,1t2 2b2,,
38,CATALIN,PETRESCU,ROU,1t2 2b2,,
40,MIKHAIL,PEKAREV,RUS,1t2 2b4,,
41,ARIC,MERZ,GER,1t3 5b14,,
42,DANIEL,UNGUREANU,ROU,1t3 3b6,,
43,PETR,RESCH,CZE,1t3 2b2,,
44,BLAZ,RANT,SLO,1t4 2b7,,
45,JIRI,BRADÁC,CZE,1t5 2b6,,
46,ZORBEY,AKTUYUN,TUR,1t6 2b8,,
47,ILYA,KAZENNOV,RUS,0t 3b8,,
47,DAVID,KOZEL,CZE,0t 3b8,,
47,GABRIEL,PAVEL,ROU,0t 3b8,,
50,DAISUKE,KONISHI,JPN,0t 3b10,,
51,TOMASZ,WOJCIECHOWSKI,POL,0t 3b14,,
52,HAMISH,SAUL,AUS,0t 2b9,,
53,DOGAN OGUZ,PALUT,TUR,0t 0b,,
