Rank,Name,,Country,Qualification,Semi-Final,Final
1,JULIETTE,DANION,FRA,4t6 6b8,3t5 3b5,4t6 4b4
2,ANNA,STÖHR,AUT,5t6 6b7,2t5 4b9,4t7 4b4
3,OLGA,SHALAGINA,UKR,6t8 6b7,2t3 3b7,1t3 4b4
4,YULIA,ABRAMCHUK,RUS,5t7 5b5,2t5 2b5,0t 3b4
5,OLGA,BIBIK,RUS,3t16 6b17,2t7 2b7,0t 3b4
6,OLGA,BEZHKO,UKR,4t4 6b6,2t5 3b5,0t 3b6
7,TATIANA,SHEMULINKINA,RUS,2t2 6b10,1t1 2b2,
8,ANNA,GALLYAMOVA,RUS,2t4 5b7,1t1 2b5,
9,NATALIJA,GROS,SLO,6t12 6b9,1t1 1b1,
10,ANGELICA,LIND,SWE,2t2 6b7,1t2 1b1,
11,ALEXANDRA,BALAKIREVA,RUS,2t2 6b8,1t2 1b2,
12,SVITLANA,TUZHYLINA,UKR,5t6 6b6,1t4 3b10,
13,KATJA,VIDMAR,SLO,2t5 6b9,1t6 1b6,
14,SILVIE,RAJFOVA,CZE,3t4 6b6,0t 3b7,
15,KATHARINA,SAURWEIN,AUT,1t3 6b11,0t 1b1,
16,MAUD,ANSADE,FRA,3t7 6b7,0t 1b2,
17,ANJA,HODANN,SWE,1t2 5b6,0t 1b2,
18,HELENA,LIPENSKA,CZE,1t4 6b13,0t 1b2,
19,JENNY,LAVARDA,ITA,3t11 6b15,0t 1b3,
20,THERESE,JOHANNESEN,NOR,1t1 4b4,0t 0b,
21,KATARINA,FICKULIAKOVA,SVK,1t4 5b9,,
22,VERA,ZIJLSTRA,NED,1t5 5b10,,
23,CHLOÉ,GRAFTIAUX,BEL,1t6 6b15,,
24,GURGEL,OZVER,TUR,1t7 3b9,,
25,DOMINIKA,DUPALOVA,CZE,1t8 3b11,,
26,NELLY,KUDROVA,CZE,0t 6b11,,
27,BARBARA,BACHER,AUT,0t 5b9,,
28,AMALIA,MANDRU,ROU,0t 4b5,,
29,ALISA,GEL'FER,UKR,0t 4b11,,
30,ANNA,CERMAKOVA,CZE,0t 3b5,,
31,ANNA,KHUDYAKOVA,RUS,0t 3b8,,
32,ANAMARIA,BOGACIU,ROU,0t 2b2,,
32,AUDREY,SEGUY,GBR,0t 2b2,,
34,DIANE,MERRICK,GBR,0t 2b3,,
35,FILIZ,KARAKULAK V.D.B.KAAG,TUR,0t 1b1,,
35,CRINA,OCHENATU,ROU,0t 1b1,,
