Rank,Name,,Country,Qualification,Semi-Final,Final
1,MAJA,STREMFELJ,SLO,top,43-,top
2,MURIEL,SARKANY,BEL,top,41-,51-
3,YANA,CHERESHNEVA,RUS,top,33+,49-
4,ALEXANDRA,EYER,SUI,top,41-,42-
5,CAROLINE,CIAVALDINI,FRA,top,42-,34-
5,SANDRINE,LEVET,FRA,top,42-,34-
7,JENNY,LAVARDA,ITA,top,33-,31-
8,MINA,MARKOVIC,SLO,top,41,26
9,JAIN,KIM,KOR,top,32,
10,BARBARA,BACHER,AUT,top,30.5+,
11,NATALIJA,GROS,SLO,top,29-,
12,CHARLOTTE,DURIF,FRA,top,28-,
13,OLGA,BIBIK,RUS,top,27-,
13,KATHARINA,SAURWEIN,AUT,top,27-,
13,BETTINA,SCHÖPF,AUT,top,27-,
16,YUKA,KOBAYASHI,JPN,top,26,
17,FANNY,CONAN,FRA,top,26-,
18,ANGELA,EITER,AUT,top,24-,
19,NINA,CAPREZ,SUI,top,23-,
19,CHRISTINA,SCHMID,SUI,top,23-,
21,KSENIIA,ALEKSEEVA,RUS,top,21-,
21,FLORENCE,PINET,FRA,top,21-,
21,VANESSA,TAYLOR,FRA,top,21-,
24,LUCKA,FRANKO,SLO,top,20-,
25,CAROLINE,JANUEL,FRA,top,18+,
26,IRATI,ANDA VILLANUEVA,ESP,top,16,
27,GALINA,TERENTEVA,RUS,top,11,
28,ANDREA BRIGITTA,SZEKELY,HUN,top,11-,
29,JULIANE,WURM,GER,33,,
30,ANNE-LAURE,CHEVRIER,FRA,33-,,
30,CELINE,FERGEAU,FRA,33-,,
30,ANOUK,PIOLA,SUI,33-,,
33,EMELINE,THOMAS,FRA,32+,,
34,JULIA,YACHNIK,RUS,32,,
35,EVGENIIA,MALAMID,RUS,32-,,
36,LI-PING,HUANG,CHN,31.5+,,
36,EKATERINA,KOROLKOVA,RUS,31.5+,,
38,MARINE,LARGERON,FRA,29+,,
39,WOON-SEON,SHIN,KOR,28+,,
40,MÉLANIE,SANDOZ,FRA,28-,,
40,VERA,ZIJLSTRA,NED,28-,,
42,SUZANNE,VAN DER SLUIS,NED,24,,
43,MARIA,AGAFONOVA,RUS,23-,,
43,HANNAH,MIDTBOE,NOR,23-,,
43,CHRISTINE,SCHRANZ,AUT,23-,,
46,PAIGE,CLAASSEN,USA,21+,,
46,CHUNHUA,LI,CHN,21+,,
46,MIRIAM,MOOSBURGER,AUT,21+,,
46,CHELSEA,RUDE,USA,21+,,
50,ELISKA,KARESOVA,CZE,21,,
50,ANNA,KHUDYAKOVA,RUS,21,,
52,MANUELA,VALSECCHI,ITA,20+,,
53,ALIYA,ISKAKOVA,KAZ,16,,
54,JOYCE,KUIK,USA,12.5+,,
