Rank,Name,,Country,Qualification,Final
1,SVITLANA,TUZHYLINA,UKR,51.990,43.230
2,TATIANA,RUYGA,RUS,60.160,48.190
3,GALINA,TERENTEVA,RUS,60.420,52.520
4,ANNA,STENKOVAYA,RUS,64.690,54.960
5,KSENIIA,ALEKSEEVA,RUS,60.870,48.950
6,VALENTINA,YURINA,RUS,60.830,50.760
7,EDYTA,ROPEK,POL,59.120,56.150
8,CHUNHUA,LI,CHN,63.120,59.290
9,LUCELIA,BLANCO,VEN,66.910,57.630
10,ROSMERY,DA SILVA,VEN,79.520,58.260
11,CUIFANG,HE,CHN,62.220,59.960
12,YANA,CHERESHNEVA,RUS,71.790,61.180
13,MAYYA,PIRATINSKAYA,RUS,70.030,61.860
14,ELISKA,KARESOVA,CZE,73.390,62.310
15,FRANCIS,RODRIGUEZ,VEN,64.460,70.200
16,ANNA,KHUDYAKOVA,RUS,80.060,70.660
17,EKATERINA,KOROLKOVA,RUS,,
18,JULIA,YACHNIK,RUS,,
19,ALIYA,ISKAKOVA,KAZ,,
