Rank,Name,,Country,Qualification,Semi-Final,Final
1,MYKHAYLO,SHALAGIN,UKR,4t6 6b9,2t5 3b6,4t5 4b5
2,KILIAN,FISCHHUBER,AUT,5t8 6b9,2t2 4b4,3t4 3b4
3,JONAS,BAUMANN,GER,4t4 5b5,1t1 3b5,3t5 4b4
4,NALLE,HUKKATAIVAL,FIN,6t11 6b6,3t5 4b4,3t7 3b5
5,GARETH,PARRY,GBR,6t9 6b7,1t1 3b4,3t7 3b7
6,MATTHIAS,MÜLLER,SUI,5t7 5b6,2t3 3b4,2t2 2b2
7,GÉROME,POUVREAU,FRA,5t6 6b7,1t2 3b4,
8,STÉPHAN,JULIEN,FRA,6t6 6b6,1t2 3b6,
9,NICOLAS,BADIA,FRA,4t4 6b10,1t4 3b7,
10,TOMASZ,OLEKSY,POL,4t6 6b9,0t 3b4,
11,MARKUS,HOPPE,GER,4t6 5b6,0t 3b4,
12,JORG,VERHOEVEN,NED,5t7 5b5,0t 3b6,
13,MICHELE,CAMINATI,ITA,4t4 5b5,0t 3b8,
14,TOMÁS,MRÁZEK,CZE,4t5 5b5,0t 3b8,
15,LUKAS,ENNEMOSER,AUT,5t9 5b7,0t 2b2,
16,GUILLAUME,GLAIRON MONDET,FRA,4t4 5b5,0t 2b3,
17,THOMAS,CALEYRON,FRA,4t4 5b5,0t 2b5,
18,PETER,WÜRTH,GER,4t5 4b5,0t 2b10,
19,MARK,CROXALL,GBR,4t5 5b5,0t 1b2,
20,WOUTER,JONGENEELEN,NED,4t6 5b5,0t 1b3,
21,LUCAS,PRETI,ITA,4t6 5b7,,
21,BLAZ,RANT,SLO,4t6 5b7,,
23,STEWART,WATSON,GBR,4t7 6b9,,
24,RODDY,MACKENZIE,GBR,4t12 5b11,,
25,DAVID,BARRANS,GBR,3t3 5b9,,
26,STEFANO,GHIDINI,ITA,3t3 5b11,,
27,CHRISTIAN,CORE,ITA,3t3 4b4,,
27,EMANUEL,MOOSBURGER,AUT,3t3 4b4,,
29,LUDOVIC,LAURENCE,FRA,3t4 6b9,,
30,SEBASTIEN,JALMAIN,FRA,3t4 6b11,,
31,ANDRE,BOROWKA,GER,3t4 5b6,,
32,ARIC,MERZ,GER,3t5 5b8,,
33,MARC,EDWARDS,AUS,3t5 4b4,,
34,FLORENT,SAMYN,FRA,3t5 4b6,,
35,NICOLAS,FARCY,BEL,3t7 5b13,,
36,GABRIELE,MORONI,ITA,3t7 4b5,,
37,JONATHAN,THOMAS,BEL,3t10 4b7,,
38,KORNELIUS,OBLEITNER,AUT,3t11 3b5,,
39,REMO,SOMMER,SUI,2t2 5b7,,
40,JOACKYM,RAMSAMY,FRA,2t2 4b4,,
41,FERDINAND,SCHULTE,NED,2t3 5b11,,
42,KEVIN,HEMUND,SUI,2t7 3b4,,
43,ROK,KLANCNIK,SLO,1t1 4b4,,
44,KARSTEN,BOROWKA,GER,1t1 4b5,,
45,REMI,SAMYN,FRA,1t1 4b7,,
46,EDWARD,FEEHALLY,GBR,1t3 4b8,,
47,PAVLO,FOYGEL,UKR,1t3 3b4,,
48,TORSTEN,SCHULDT,GER,1t5 3b5,,
49,BAPTISTE,NOMINE,FRA,0t 4b11,,
50,VITALII,LAGUTIN,UKR,0t 3b13,,
51,QUENTIN,MIEGEVILLE,FRA,0t 2b2,,
52,MARTIN,MAYR,AUT,0t 2b6,,
