Rank,Name,,Country,Qualification,Semi-Final,Final
1,OLGA,SHALAGINA,UKR,5t5 6b9,4t6 4b4,4t6 4b6
2,JULIETTE,DANION,FRA,6t6 6b6,4t4 4b4,4t11 4b11
3,CHLOÉ,GRAFTIAUX,BEL,5t5 6b6,4t4 4b4,2t2 3b3
4,SILVIE,RAJFOVA,CZE,5t5 6b6,4t5 4b5,2t2 3b3
5,NATALIJA,GROS,SLO,5t5 5b5,4t4 4b4,2t12 4b14
6,SABINE,BACHER,AUT,5t5 5b5,4t6 4b5,0t 3b10
7,JENNY,LAVARDA,ITA,5t6 6b7,4t11 4b6,
8,SAMANTHA,BERRY,AUS,5t5 6b6,3t3 4b5,
9,EMILIE,ABGRALL,FRA,5t5 6b9,3t3 4b5,
10,BARBARA,BACHER,AUT,5t5 5b5,3t3 3b3,
11,ANGELICA,LIND,SWE,5t5 6b10,3t5 4b6,
12,YULIA,ABRAMCHUK,RUS,5t5 5b5,3t8 4b11,
13,CELINE,COMBAZ,FRA,6t11 6b11,2t2 3b5,
14,MAUD,ANSADE,FRA,5t5 6b9,2t3 4b5,
15,LUDIVINE,HARMAND,FRA,5t5 5b5,2t6 4b9,
16,ANJA,HODANN,SWE,5t6 6b7,1t1 3b7,
17,ANNE-LAURE,CHEVRIER,FRA,5t5 6b8,1t1 3b8,
18,ROBERTA,LONGO,ITA,5t5 5b5,0t 3b3,
19,SONJA,SCHADE,GER,5t5 5b5,0t 1b2,
20,MARIYA,SOSNOVSKYKH,UKR,5t5 5b5,0t 0b,
21,NELLY,KUDROVA,CZE,5t6 5b6,,
22,STELLA,MARCHISIO,ITA,5t7 5b6,,
23,MARIE,DUVAL,FRA,5t7 5b7,,
23,JULIANE,WURM,GER,5t7 5b7,,
25,EDYTA,ROPEK,POL,4t4 5b5,,
26,SARA,MORANDI,ITA,4t4 4b4,,
27,IRENE,BARIANI,ITA,4t5 5b5,,
28,AUDREY,SEGUY,GBR,4t5 4b4,,
28,VERA,ZIJLSTRA,NED,4t5 4b4,,
30,ALEKSANDRA,KODZIK,POL,3t5 4b5,,
