Rank,Name,,Country,Qualification,Semi-Final,Final
1,NATALIJA,GROS,SLO,5t8 6b6,3t4 3b3,2t2 4b5
2,AKIYO,NOGUCHI,JPN,4t6 6b8,4t13 4b9,2t5 4b5
3,KATHARINA,SAURWEIN,AUT,5t11 6b7,3t10 3b6,2t8 4b9
4,JULIETTE,DANION,FRA,5t6 6b6,3t7 3b7,1t1 4b9
5,SILVIE,RAJFOVA,CZE,6t11 6b7,2t2 4b14,1t2 4b10
6,OLGA,SHALAGINA,UKR,5t7 6b8,3t4 3b3,1t3 4b7
7,YULIA,ABRAMCHUK,RUS,5t6 6b7,2t2 3b3,
8,MAUD,ANSADE,FRA,5t11 6b7,2t2 3b3,
9,ANJA,HODANN,SWE,4t6 6b7,2t2 3b3,
10,HELENA,LIPENSKA,CZE,5t12 6b8,2t2 3b5,
11,BARBARA,BACHER,AUT,4t6 6b8,2t3 3b4,
12,YANA,CHERESHNEVA,RUS,6t10 6b7,2t3 3b5,
13,CELINE,COMBAZ,FRA,4t8 6b9,1t1 3b4,
14,ROBERTA,LONGO,ITA,4t7 6b9,1t1 3b5,
15,ALEXANDRA,EYER,SUI,5t7 6b8,1t1 3b7,
16,EVGENIIA,MALAMID,RUS,5t6 6b7,1t1 3b8,
17,KSENIIA,ALEKSEEVA,RUS,4t5 6b7,1t1 3b10,
18,SAMANTHA,BERRY,AUS,5t13 6b9,1t2 3b5,
19,ANNE-LAURE,CHEVRIER,FRA,4t7 6b7,1t5 3b5,
20,THERESE,JOHANNESEN,NOR,5t8 6b6,0t 3b5,
21,CHLOÉ,GRAFTIAUX,BEL,4t8 5b5,,
22,JULIANE,WURM,GER,4t9 6b6,,
23,VERA,ZIJLSTRA,NED,4t12 6b10,,
24,STELLA,MARCHISIO,ITA,4t12 6b13,,
25,LUDIVINE,HARMAND,FRA,4t14 6b12,,
26,EMELINE,THOMAS,FRA,4t15 5b7,,
27,ANGELICA,LIND,SWE,3t4 6b7,,
28,CHRISTINA,SCHMID,SUI,3t4 6b8,,
29,EMILIE,VERDIER,FRA,3t5 6b8,,
30,NINA,CAPREZ,SUI,3t6 6b10,,
31,AUDREY,SEGUY,GBR,3t6 5b5,,
32,CLAUDIA,BATTAGLIA,ITA,2t2 5b10,,
33,NAOMI,BUYS,GBR,2t7 6b15,,
34,RACHEL,SEYMOUR,GBR,2t7 5b12,,
35,MÉLANIE,SANDOZ,FRA,2t7 4b6,,
36,KATHERINE,MILLS,GBR,1t1 4b5,,
37,ZOE,OGDEN,GBR,1t2 3b3,,
38,IRENE,BARIANI,ITA,1t4 5b6,,
39,MARIE,DUVAL,FRA,0t 3b3,,
