Rank,Name,,Country,Qualification,Semi-Final,Final
1,OLGA,SHALAGINA,UKR,6t9 6b7,3t3 4b5,3t4 3b3
2,NATALIJA,GROS,SLO,5t5 6b9,2t3 4b6,3t4 3b3
3,ALEXANDRA,EYER,SUI,6t7 6b7,2t5 4b8,3t6 4b8
4,AKIYO,NOGUCHI,JPN,5t5 6b9,2t5 4b10,3t15 3b14
5,YULIA,ABRAMCHUK,RUS,6t6 6b6,4t6 4b5,2t3 3b4
6,SAMANTHA,BERRY,AUS,5t7 5b5,2t5 4b7,2t11 3b8
7,SILVIE,RAJFOVA,CZE,5t5 5b5,1t1 4b5,
8,ANGELA,EITER,AUT,6t9 6b8,1t1 4b8,
9,JULIETTE,DANION,FRA,5t6 6b6,1t1 4b11,
10,MAUD,ANSADE,FRA,4t4 5b5,1t2 3b6,
11,JENNY,LAVARDA,ITA,5t8 5b5,1t3 3b9,
12,ROBERTA,LONGO,ITA,5t9 6b6,1t3 2b2,
13,LUDIVINE,HARMAND,FRA,5t11 6b9,1t4 4b7,
14,KATHARINA,SAURWEIN,AUT,5t7 6b8,0t 4b5,
15,ANJA,HODANN,SWE,4t5 6b9,0t 4b8,
16,OLGA,BEZHKO,UKR,5t5 5b5,0t 3b3,
17,ALEXANDRA,BALAKIREVA,RUS,6t9 6b9,0t 3b8,
18,CELINE,COMBAZ,FRA,4t4 5b5,0t 2b2,
19,BARBARA,BACHER,AUT,5t8 5b5,0t 2b3,
20,STELLA,MARCHISIO,ITA,4t5 6b9,0t 2b5,
21,CHLOÉ,GRAFTIAUX,BEL,4t5 5b6,,
22,ANNE-LAURE,CHEVRIER,FRA,4t6 6b14,,
23,CLAUDIA,BATTAGLIA,ITA,4t6 4b5,,
24,NELLY,KUDROVA,CZE,4t7 6b10,,
25,IRENE,BARIANI,ITA,4t10 5b10,,
26,ANGELICA,LIND,SWE,3t3 5b5,,
27,AUDREY,SEGUY,GBR,3t5 5b6,,
28,DOMINIKA,DUPALOVA,CZE,2t3 4b7,,
29,CASSANDRA,ZAMPAR,ITA,2t3 3b4,,
30,SARA,MORANDI,ITA,2t3 2b2,,
31,AGATA,MODRZEJEWSKA,POL,2t4 5b5,,
32,PETYA,GARBOVA,BUL,2t4 5b11,,
33,INA,DZHAMBAZOVA,BUL,2t4 4b5,,
