Rank,Name,,Country,Qualification,Semi-Final,Final
1,DAVID,LAMA,AUT,top,top,57-
2,TOMÁS,MRÁZEK,CZE,top,52,50-
3,PATXI,USOBIAGA LAKUNZA,ESP,51-,50-,49+
4,CÉDRIC,LACHAT,SUI,42-,48,48-
5,JORG,VERHOEVEN,NED,top,top,40+
6,SACHI,AMMA,JPN,49,46,30.5
7,EDUARD,MARIN GARCIA,ESP,49+,49-,26
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,top,50,19+
9,YUJI,HIRAYAMA,JPN,48-,45-,
10,FABIEN,DUGIT,FRA,43-,44+,
11,MICHAËL,FUSELIER,FRA,46-,42-,
12,MARTIN,STRANIK,CZE,41+,41+,
13,SYLVAIN,MILLET,FRA,41,41+,
14,KILIAN,FISCHHUBER,AUT,42-,41,
15,LUCA,ZARDINI,ITA,41-,41,
16,CHRISTIAN,BINDHAMMER,GER,42-,39-,
17,ROMAIN,DESGRANGES,FRA,41,39-,
18,ERIC,LOPEZ MATEOS,ESP,43,38.5-,
19,CASPER,TEN SIJTHOFF,NED,38+,36,
20,MAGNUS,MIDTBOE,NOR,41-,34-,
21,FLAVIO,CRESPI,ITA,49+,33-,
22,KLEMEN,BECAN,SLO,41+,33-,
22,FLAVIEN,GUERIMAND,FRA,41+,33-,
24,DANIEL,WINKLER,SUI,40-,33-,
25,MIKHAIL,CHERNIKOV,RUS,38+,33-,
26,MANUEL,ROMAIN,FRA,41,22.5,
27,ROMAN,VAN DER WERF,NED,38,,
28,MIKHAIL,GOGOL,RUS,36+,,
29,MARCO ANTONIO,JUBES ANGARITA,ESP,31-,,
29,IVAN,KAUROV,RUS,31-,,
31,MARTIN,JAGGI,SUI,29,,
31,VALERIY,KRYUKOV,UKR,29,,
33,NICOLA,DE MATTIA,ITA,29-,,
33,ALESSANDRO,FIORI,ITA,29-,,
33,THOMAS,NEYER,AUT,29-,,
33,MATEJ,SOVA,SLO,29-,,
37,BENOIT,HEINTZ,FRA,28,,
38,STEFAN,DANKER,GER,28-,,
39,ANDREAS,BINDHAMMER,GER,27+,,
39,THOMAS,SCHMID,SUI,27+,,
41,ANDRÉ,BEREZOSKI,BRA,27,,
42,JAKUB,HLAVACEK,CZE,25-,,
43,MATEVZ,PINTAR,SLO,24+,,
44,MANUEL,CORETTI,ITA,24-,,
44,MATTHIAS,RUH,SUI,24-,,
44,ONDREJ,SVUB,SVK,24-,,
47,MARK,AMANN,AUT,23+,,
47,DALIBOR,MURAN,CZE,23+,,
49,JÜRGEN,REIS,AUT,22.5,,
50,ADRIAN,BAXTER,GBR,22,,
50,MARCIN,WSZOLEK,POL,22,,
52,RAFAL,POREBSKI,POL,22-,,
53,MATUS,KOSTKA,SVK,21-,,
53,TIMO,TAK,NED,21-,,
55,MATEJ,SVUB,SVK,20,,
56,ALEKSEY,PEROV,KAZ,18-,,
57,JULIEN,LAINE,FRA,15,,
