Rank,Name,,Country,Qualification,Semi-Final,Final
1,TOMÁS,MRÁZEK,CZE,top,top,53
2,RAMÓN,JULIAN PUIGBLANQUE,ESP,top,top,40
2,PATXI,USOBIAGA LAKUNZA,ESP,top,top,40
4,DAVID,LAMA,AUT,top,top,39
5,SACHI,AMMA,JPN,top,56-,39
6,SYLVAIN,MILLET,FRA,top,top,38+
7,FLAVIO,CRESPI,ITA,top,top,38
7,SANGWON,SON,KOR,top,top,38
9,JABEE,KIM,KOR,top,53-,
10,AKITO,MATSUSHIMA,JPN,51-,49,
11,TSUKURU,HORI,JPN,50-,49,
12,KEITA,MOGAKI,JPN,50-,48-,
13,JORG,VERHOEVEN,NED,top,46+,
14,FABIEN,DUGIT,FRA,top,44-,
15,IVAN,KAUROV,RUS,47,43,
16,SYUHEI,TANAKA,JPN,47+,43-,
17,ALEXANDER,KALINA,RUS,47-,43-,
18,KILIAN,FISCHHUBER,AUT,51,42+,
19,HIROKI,TSUNODA,JPN,50,41,
20,SAKAE,NAKAHARA,JPN,49-,41,
21,KAZUMA,WATANABE,JPN,51-,40,
22,DAISUKE,KONISHI,JPN,50-,40-,
23,HIDEKAZU,ITO,JPN,51-,39+,
24,SHINTA,OZAWA,JPN,50-,34-,
25,JAHA,KIM,KOR,51-,27,
26,KA-WAI,CHU,HKG,47-,27-,
27,NOBUYUKI,NAGATA,JPN,47-,25+,
28,CHI-WAI,LAI,HKG,42-,,
29,SUNG-HOON,KANG,KOR,40+,,
30,YEU-SHIANG,CHANG,TPE,40-,,
31,QINGHUA,WANG,CHN,36+,,
32,JAU SHIUAN,HUNG,TPE,26,,
33,KUEI CHI,PENG,TPE,21-,,
