Rank,Name,,Country,Qualification,Semi-Final,Final
1,MAJA,STREMFELJ,SLO,top,51-,64-
2,IRATI,ANDA VILLANUEVA,ESP,top,51-,55+
3,NATALIJA,GROS,SLO,top,50,50-
4,JAIN,KIM,KOR,top,51-,48
5,CHARLOTTE,DURIF,FRA,top,51-,48-
6,ANGELA,EITER,AUT,top,top,46+
7,YUKA,KOBAYASHI,JPN,top,53+,46
8,MURIEL,SARKANY,BEL,top,51-,46
9,CAROLINE,CIAVALDINI,FRA,top,49+,
10,BARBARA,BACHER,AUT,top,49-,
10,MINA,MARKOVIC,SLO,top,49-,
12,AKIYO,NOGUCHI,JPN,top,48+,
13,ALEXANDRA,EYER,SUI,top,48-,
13,KATHARINA,SAURWEIN,AUT,top,48-,
15,RIE,KIMURA,JPN,top,41-,
16,GERDA,RAFFETSEDER,AUT,46+,41-,
17,YOKO,IKEDA,JPN,45,39-,
18,YUKO,SAKAKIBARA,JPN,45,38,
19,YUKA,ENDO,JPN,46+,35-,
20,AKI,TANAKA,JPN,top,33,
21,SAARI,WATANABE,JPN,47,33,
22,KIYOE,TSUTSUMI,JPN,40,32-,
23,SARAH,MATTHEWS,AUS,32+,32-,
24,NOZOMI,MONMA,JPN,44+,30,
25,DAN,ZHANG,CHN,40,30,
26,NATALIA,KUBRAKOVA,RUS,33-,23+,
27,HUNG YING,LEE,TPE,19+,,
