Rank,Name,,Country,Qualification,Semi-Final,Final
1,CÉDRIC,LACHAT,SUI,top,41-,50
2,FLAVIO,CRESPI,ITA,top,40+,46+
3,TOMÁS,MRÁZEK,CZE,top,38-,40-
4,JAKOB,SCHUBERT,AUT,top,39,37-
5,MAGNUS,MIDTBOE,NOR,37+,38-,36
6,JORG,VERHOEVEN,NED,top,41-,36-
7,KLEMEN,BECAN,SLO,40-,37.5,28+
8,VALERIY,KRYUKOV,UKR,37+,39.5,0
9,MICHAËL,FUSELIER,FRA,42-,37+,
10,DANIEL,WINKLER,SUI,top,37,
11,KILIAN,FISCHHUBER,AUT,top,33-,
12,MANUEL,ROMAIN,FRA,38-,31-,
13,SYLVAIN,MILLET,FRA,top,30,
14,ROMAIN,DESGRANGES,FRA,39-,30,
15,ROMAN,VAN DER WERF,NED,37,30,
16,THOMAS,TAUPORN,GER,37-,30,
17,CASPER,TEN SIJTHOFF,NED,39,30-,
18,PATXI,USOBIAGA LAKUNZA,ESP,top,26,
19,NICOLA,DE MATTIA,ITA,41-,26,
20,FABIEN,DUGIT,FRA,40-,26,
21,JURE,BECAN,SLO,37+,21,
21,FLAVIEN,GUERIMAND,FRA,37+,21,
23,GABOR,SZEKELY,HUN,37-,21,
24,MATEJ,SOVA,SLO,42-,20+,
25,MAGNUS,HÖGSTRÖM,SWE,37+,20+,
26,RAMÓN,JULIAN PUIGBLANQUE,ESP,top,20,
27,LUCA,ZARDINI,ITA,37-,20,
28,CHRISTIAN,BINDHAMMER,GER,42-,20-,
29,ALESSANDRO,FIORI,ITA,37-,15-,
30,ADRIAN,BAXTER,GBR,36+,,
31,MARCIN,WSZOLEK,POL,35,,
32,DAISUKE,KONISHI,JPN,35-,,
33,NICKY,DE LEEUW,NED,34,,
33,MAURICIO,HUERTA,MEX,34,,
35,VINCENT,DE GIROLAMO,FRA,34-,,
36,BLAZ,RANT,SLO,29+,,
37,STEFAN,DANKER,GER,29,,
37,JERNEJ,KRUDER,SLO,29,,
39,ALAN,CASSIDY,GBR,29-,,
39,BENOIT,HEINTZ,FRA,29-,,
39,ANDREAS,PFANNER,AUT,29-,,
39,ANZE,STREMFELJ,SLO,29-,,
39,OLEKSANDR,ZILINSKIY,UKR,29-,,
44,ROLAND,WAGNER,AUT,25,,
45,JULIEN,LAINE,FRA,24-,,
46,ERIK,CARLSSON,SWE,23-,,
46,IVAN,LISICA,CRO,23-,,
46,ROBIN,SUTTON,GBR,23-,,
49,TIMO,TAK,NED,18,,
50,MARIAN,BUCNERU,ROU,14+,,
50,CATALIN,PETRESCU,ROU,14+,,
