Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANDREW,EARL,GBR,5t9 5b5,4t4 4b4,4t8 4b8
2,JÉRÔME,MEYER,FRA,6t6 6b6,4t5 4b5,3t3 3b3
3,DANIEL,DU LAC,FRA,5t6 6b7,4t5 4b5,3t4 4b4
4,KILIAN,FISCHHUBER,AUT,6t8 6b7,4t5 4b4,3t5 3b4
5,LUCAS,PRETI,ITA,5t8 6b10,4t5 4b4,1t4 3b14
6,CHRISTIAN,CORE,ITA,6t8 6b8,4t5 4b5,1t6 3b10
7,GARETH,PARRY,GBR,5t9 6b10,4t6 4b5,
8,MICHELE,CAMINATI,ITA,5t9 6b11,4t7 4b4,
9,LOÏC,GAIDIOZ,FRA,5t6 6b7,4t7 4b5,
10,STÉPHAN,JULIEN,FRA,6t9 6b7,4t7 4b6,
11,DAVID,LAMA,AUT,3t3 5b8,3t4 4b5,
12,GÉROME,POUVREAU,FRA,6t8 6b6,3t5 4b6,
13,BAPTISTE,NOMINE,FRA,4t10 4b4,3t7 4b16,
14,NICOLAS,BADIA,FRA,5t8 6b8,2t2 4b4,
15,KEITA,MOGAKI,JPN,4t9 6b12,2t7 3b10,
16,NALLE,HUKKATAIVAL,FIN,6t7 6b7,1t1 4b4,
17,MARK,CROXALL,GBR,4t7 6b12,1t1 4b4,
18,JONAS,BAUMANN,GER,3t3 5b6,1t2 3b4,
19,JOACKYM,RAMSAMY,FRA,4t5 5b7,1t2 3b6,
20,CHRISTOPHE,TREUILHE,FRA,4t6 6b9,1t2 2b4,
21,JÉRÉMIE,CICCIONE,FRA,3t5 5b7,,
22,KEVIN,HEMUND,SUI,3t6 5b7,,
23,QUENTIN,MIEGEVILLE,FRA,3t6 4b8,,
24,WOUTER,JONGENEELEN,NED,3t7 5b10,,
25,EDVINAS,SMIGELSKIS,RSA,1t2 4b7,,
