Rank,Name,,Country,Qualification,Semi-Final,Final
1,MAJA,STREMFELJ,SLO,41+,top,69+
2,ANGELA,EITER,AUT,top,top,67-
3,JAIN,KIM,KOR,42-,top,60-
4,IRATI,ANDA VILLANUEVA,ESP,38-,top,59-
5,MURIEL,SARKANY,BEL,37+,top,52-
6,CAROLINE,CIAVALDINI,FRA,37-,42-,47
7,YUKA,KOBAYASHI,JPN,37-,41,47-
8,ALEXANDRA,EYER,SUI,41,41-,47-
9,MINA,MARKOVIC,SLO,37.5-,38-,
10,KATHARINA,SAURWEIN,AUT,37+,38-,
11,NATALIJA,GROS,SLO,41+,37-,
12,BARBARA,BACHER,AUT,36,37-,
13,KINGA,OCIEPKA,POL,37-,34-,
14,LUCKA,FRANKO,SLO,33-,34-,
15,CHARLOTTE,DURIF,FRA,25,34-,
16,JENNY,LAVARDA,ITA,36+,33+,
17,YANA,CHERESHNEVA,RUS,41+,33,
18,BETTINA,SCHÖPF,AUT,25,33-,
19,NINA,CAPREZ,SUI,33-,31,
20,VERA,ZIJLSTRA,NED,33-,30-,
21,ANNE,HOARAU,FRA,32+,30-,
22,CHRISTINE,SCHRANZ,AUT,32+,29+,
23,CHLOÉ,GRAFTIAUX,BEL,31-,26-,
24,MATHILDE,BRUMAGNE,BEL,36,22-,
25,ANDREA BRIGITTA,SZEKELY,HUN,33,22-,
26,JULIANE,WURM,GER,27-,22-,
27,JANINE,CARDOSO,BRA,24,,
28,ALIX,GRAFTIAUX,BEL,23-,,
28,GERDA,RAFFETSEDER,AUT,23-,,
28,MAYAN,SMITH-GOBAT,NZL,23-,,
28,LINN KARIN,STENDAL,NOR,23-,,
32,DANIELA,LOPEZ,VEN,21,,
33,MÉLANIE,SANDOZ,FRA,18-,,
33,VANESSA,TAYLOR,FRA,18-,,
35,ALIYA,ISKAKOVA,KAZ,17,,
36,HIU YING,LIU,HKG,16-,,
36,SARAH,MATTHEWS,AUS,16-,,
38,ORQUIDEA,LEÓN JUAREZ,MEX,9+,,
