Rank,Name,,Country,Qualification,Final
1,SVITLANA,TUZHYLINA,UKR,35.060,29.570
2,ANNA,STENKOVAYA,RUS,36.920,30.170
3,TATIANA,RUYGA,RUS,41.010,31.130
4,VALENTINA,YURINA,RUS,41.590,31.390
5,ROSMERY,DA SILVA,VEN,44.020,30.410
6,YANA,CHERESHNEVA,RUS,42.260,34.830
7,LUCELIA,BLANCO,VEN,38.930,35.530
8,EVI,NELIWATI,INA,37.240,fall
9,EDYTA,ROPEK,POL,42.590,33.270
10,VERA,ZIJLSTRA,NED,44.760,39.870
11,MAYYA,PIRATINSKAYA,RUS,45.530,45.720
12,CHLOÉ,GRAFTIAUX,BEL,45.080,45.760
13,ALIYA,ISKAKOVA,KAZ,67.960,65.690
14,NATALIJA,GROS,SLO,54.500,fall
15,BARBARA,BACHER,AUT,55.400,fall
16,KATHARINA,SAURWEIN,AUT,69.250,fall
17,FRANCIS,RODRIGUEZ,VEN,,
