Rank,Name,,Country,Qualification,Semi-Final,Final
1,TOMÁS,MRÁZEK,CZE,33-,42.5,56-
2,FLAVIO,CRESPI,ITA,top,40.7,54+
3,JORG,VERHOEVEN,NED,top,51,48+
4,SYLVAIN,MILLET,FRA,top,40.7+,43
5,RAMÓN,JULIAN PUIGBLANQUE,ESP,top,49-,41-
6,PATXI,USOBIAGA LAKUNZA,ESP,top,40.5+,40.5+
7,CÉDRIC,LACHAT,SUI,32+,52-,39-
8,DANIEL,WINKLER,SUI,15,40.7+,30-
9,DAVID,LAMA,AUT,33-,40.5+,
10,FABIEN,DUGIT,FRA,top,40.5,
11,SACHI,AMMA,JPN,top,40,
12,KAZUMA,WATANABE,JPN,33-,38+,
13,IVAN,KAUROV,RUS,32+,38,
14,JAHA,KIM,KOR,top,37+,
15,MIKHAIL,CHERNIKOV,RUS,33-,36+,
16,GHOLAMALI,BARATZADEH,IRI,32+,36+,
17,MOHAMMAD,JAFARI MAHMOUDABADI,IRI,top,36-,
18,CHANGZHONG,LIU,CHN,33-,35,
19,SOBHAN,JAFARI MAHMOUDABADI,IRI,22-,33-,
20,YEU-SHIANG,CHANG,TPE,18,32-,
21,MARTIN,JAGGI,SUI,33-,27,
22,QINGHUA,WANG,CHN,30-,26-,
23,LUYUAN,CAI,CHN,15,20-,
24,JABEE,KIM,KOR,32+,18,
25,JINYU,PAN,CHN,16,17,
26,ARTIMES,FARSHAD YEGANEH,IRI,27-,11+,
27,KUEI CHI,PENG,TPE,10-,,
27,XIANGYANG,YE,CHN,10-,,
