Rank,Name,,Country,Qualification,Final
1,EVGENII,VAITSEKHOVSKII,RUS,20.810,17.890
2,SERGEI,SINITCYN,RUS,25.100,fall
3,ALEXANDER,KOSTERIN,RUS,22.570,18.630
4,CHI-WAI,LAI,HKG,27.390,24.450
5,QIXIN,ZHONG,CHN,22.450,20.530
6,XIAOJIE,CHEN,CHN,23.820,20.650
7,HETAI,MA,CHN,28.740,25.070
8,ANATOLY,SKRIPOV,RUS,21.220,fall
9,XIANGYANG,YE,CHN,29.650,25.250
10,MIKHAIL,CHERNIKOV,RUS,31.500,28.640
11,IVAN,KAUROV,RUS,28.440,29.230
12,YEU-SHIANG,CHANG,TPE,31.740,29.800
13,REZA,PILPA,IRI,28.960,32.810
14,JINYU,PAN,CHN,31.660,37.250
15,HAMIDREZA,TOOZANDEHJANI,IRI,29.430,fall
16,LUYUAN,CAI,CHN,29.760,fall
17,MARTIN,JAGGI,SUI,,
18,JORG,VERHOEVEN,NED,,
19,TOMÁS,MRÁZEK,CZE,,
