Rank,Name,,Country,Qualification,Semi-Final,Final
1,TOMÁS,MRÁZEK,CZE,5t11 6b10,3t4 3b4,4t7 4b6
2,DMITRII,SHARAFUTDINOV,RUS,6t7 6b6,4t17 4b13,3t4 4b7
3,KILIAN,FISCHHUBER,AUT,6t11 6b7,4t12 4b12,3t5 4b9
4,JORG,VERHOEVEN,NED,5t11 6b7,4t29 4b26,3t9 4b7
5,STÉPHAN,JULIEN,FRA,6t7 6b6,2t2 4b5,2t8 3b6
6,RUSTAM,GELMANOV,RUS,5t8 6b7,3t11 4b12,1t3 4b10
7,SALAVAT,RAKHMETOV,RUS,6t6 6b6,2t2 3b4,
8,JÉRÔME,MEYER,FRA,6t10 6b9,2t3 3b4,
9,GÉROME,POUVREAU,FRA,5t9 6b6,2t5 3b10,
10,WOUTER,JONGENEELEN,NED,4t5 5b5,2t7 3b9,
11,LUDOVIC,LAURENCE,FRA,5t13 6b7,2t7 2b7,
12,ANDRE,BOROWKA,GER,4t7 5b8,2t9 3b12,
13,CHRISTIAN,CORE,ITA,5t10 6b9,2t11 3b13,
14,NICOLAS,BADIA,FRA,4t6 6b6,2t12 3b14,
15,LOÏC,GAIDIOZ,FRA,5t12 5b6,1t2 3b7,
16,DAVID,BARRANS,GBR,4t6 6b7,1t2 3b11,
17,AKITO,MATSUSHIMA,JPN,4t7 6b7,1t2 3b12,
18,GABRIELE,MORONI,ITA,4t4 6b8,1t4 3b8,
19,GARETH,PARRY,GBR,4t6 6b7,1t4 2b6,
20,MICHELE,CAMINATI,ITA,5t9 6b7,0t 2b15,
21,NALLE,HUKKATAIVAL,FIN,4t8 6b10,,
22,VASILY,KOZLOV,RUS,4t9 6b12,,
23,MARK,CROXALL,GBR,4t15 5b11,,
24,DANIEL,DU LAC,FRA,3t3 6b6,,
25,LUCAS,PRETI,ITA,3t3 6b10,,
26,ALEXANDER,STEPANOV,RUS,3t3 5b5,,
27,BLAZ,RANT,SLO,3t3 5b6,,
28,MIKHAIL,PEKAREV,RUS,3t5 6b7,,
29,MYKHAYLO,SHALAGIN,UKR,3t6 5b5,,
30,TOMASZ,OLEKSY,POL,3t9 5b6,,
31,GRZEGORZ,KAROLAK,POL,3t9 4b8,,
32,BOYKO,LALOV,BUL,3t10 6b11,,
33,HIROSHI,OKANO,JPN,2t2 6b7,,
34,ROK,KLANCNIK,SLO,2t2 6b11,,
35,CHI-WAI,LAI,HKG,2t2 5b5,,
36,ALEKSEI,PORTSEV,RUS,2t2 5b8,,
37,IVAYLO,RADKOV,BUL,2t2 5b9,,
38,JONAS,BAUMANN,GER,2t3 6b7,,
39,GABRIEL,PAVEL,ROU,2t3 5b13,,
40,KAZUMA,WATANABE,JPN,2t4 6b8,,
41,OLIVER,BATIR,ROU,2t4 5b7,,
41,MARIAN,GEORGIEV,BUL,2t4 5b7,,
43,JOACKYM,RAMSAMY,FRA,2t6 4b4,,
44,MARIAN,BUCNERU,ROU,2t6 4b11,,
45,URH,CEHOVIN,SLO,1t1 6b10,,
46,THOMAS,CALEYRON,FRA,1t1 6b11,,
46,FERDINAND,SCHULTE,NED,1t1 6b11,,
48,ANDREI,NUTU,ROU,1t1 4b7,,
49,CLAUDIU,MIU,ROU,1t1 3b3,,
50,IOANNIS,KOLOKAS,GRE,1t1 2b2,,
50,FLORENT,SAMYN,FRA,1t1 2b2,,
52,MARC,EDWARDS,AUS,1t3 5b8,,
53,TOM,GORE,GBR,0t 4b12,,
54,ZAFEIRIS,KAMAROPOULOS,GRE,0t 2b4,,
55,DEJAN,PETROVSKI,MKD,0t 1b1,,
56,ILIJA,RISTOVSKI,MKD,0t 1b2,,
