Rank,Name,,Country,Qualification,Semi-Final,Final
1,YULIA,ABRAMCHUK,RUS,6t9 6b7,4t6 4b5,2t4 4b9
2,AKIYO,NOGUCHI,JPN,5t6 5b5,3t8 4b9,2t4 3b4
3,TATIANA,SHEMULINKINA,RUS,5t5 6b7,2t2 4b4,2t4 3b5
4,ANJA,HODANN,SWE,5t5 5b5,3t4 4b5,2t5 3b3
5,LUDIVINE,HARMAND,FRA,5t8 5b6,3t5 4b4,1t2 2b4
6,ANGELICA,LIND,SWE,4t4 5b12,3t8 4b6,0t 2b5
7,CHLOÉ,GRAFTIAUX,BEL,5t6 5b5,2t2 4b4,
8,JULIETTE,DANION,FRA,5t7 6b9,2t2 4b5,
9,SAMANTHA,BERRY,AUS,4t4 4b4,2t2 4b5,
10,CELINE,COMBAZ,FRA,5t5 5b5,2t2 4b6,
11,ALEXANDRA,BALAKIREVA,RUS,5t8 6b7,2t2 4b6,
12,OLGA,SHALAGINA,UKR,6t6 6b6,2t3 4b5,
13,SILVIE,RAJFOVA,CZE,6t10 6b10,2t3 4b5,
14,NATALIJA,GROS,SLO,5t5 5b5,2t3 4b6,
15,BARBARA,BACHER,AUT,5t7 5b7,2t3 4b6,
16,COLETTE,CIRET,FRA,5t10 5b6,2t4 4b4,
17,EMILIE,ABGRALL,FRA,5t12 6b11,1t1 4b5,
18,SPASINA,NEDYALKOVA,BUL,4t5 5b5,1t1 4b8,
19,SABINE,BACHER,AUT,5t6 5b5,1t1 3b4,
20,ANNE-LAURE,CHEVRIER,FRA,4t5 5b8,0t 4b7,
21,KSENIIA,ALEKSEEVA,RUS,4t6 5b6,,
22,MAUD,ANSADE,FRA,3t5 4b5,,
23,JENNY,LAVARDA,ITA,3t6 5b12,,
24,INA,DZHAMBAZOVA,BUL,2t2 5b6,,
25,AMALIA,MANDRU,ROU,2t2 3b5,,
26,AGATA,MODRZEJEWSKA,POL,2t3 5b6,,
27,AUDREY,SEGUY,GBR,2t3 5b10,,
28,EDYTA,ROPEK,POL,2t3 4b5,,
29,PETYA,GARBOVA,BUL,2t4 5b10,,
30,MILA,GORDEEVA,BUL,1t1 4b9,,
31,ANNA,KHUDYAKOVA,RUS,1t1 3b5,,
32,KATHERINE,MILLS,GBR,1t1 2b9,,
33,CRINA,OCHENATU,ROU,1t5 3b11,,
34,ANAMARIA,BOGACIU,ROU,1t6 4b13,,
35,ALEKSANDRA,KODZIK,POL,0t 4b5,,
