Rank,Name,,Country,Qualification,Semi-Final,Final
1,PATXI,USOBIAGA LAKUNZA,ESP,top,top,53-
2,RAMÓN,JULIAN PUIGBLANQUE,ESP,top,top,52-
3,JORG,VERHOEVEN,NED,top,top,47
4,FLAVIO,CRESPI,ITA,top,top,47-
5,MICHAËL,FUSELIER,FRA,top,top,45
6,MAGNUS,MIDTBOE,NOR,top,top,45-
7,CÉDRIC,LACHAT,SUI,top,top,44+
8,GAUTIER,SUPPER,FRA,top,top,44
9,FLAVIEN,GUERIMAND,FRA,top,top,44-
10,DAVID,LAMA,AUT,top,top,37
11,FABIEN,DUGIT,FRA,top,top,37-
12,MANUEL,ROMAIN,FRA,top,top,36-
13,SYLVAIN,MILLET,FRA,top,top,35
14,DANIEL,WINKLER,SUI,35+,top,
15,LUCA,ZARDINI,ITA,top,39-,
16,ROMAIN,DESGRANGES,FRA,top,35,
17,MARCO ANTONIO,JUBES ANGARITA,ESP,top,35-,
18,ANATOLE,BOSIO,FRA,35,35-,
19,KLEMEN,BECAN,SLO,33+,35-,
20,AURÉLIEN,CULVER,FRA,33-,35-,
20,GABRIEL,JOSSERON,FRA,33-,35-,
20,GABOR,SZEKELY,HUN,33-,35-,
23,KEVIN,AGLAE,FRA,top,34-,
23,OLIVIER,HEQUIN,FRA,top,34-,
25,MARTIN,JAGGI,SUI,33-,34-,
26,JÜRGEN,REIS,AUT,32+,27,
27,BENOIT,HEINTZ,FRA,32-,,
28,ALESSANDRO,FIORI,ITA,30-,,
29,ANDERSON,GOUVEIA,BRA,28-,,
29,EMMANUEL,LOPEZ,FRA,28-,,
31,ROMAIN,PAGNOUX,FRA,24+,,
32,MICHAËL,LECOMTE,BEL,22,,
33,RAFET SERKAN,ERCAN,TUR,21-,,
33,MAURICIO,HUERTA,MEX,21-,,
33,CATALIN,PETRESCU,ROU,21-,,
36,KILLIAN,AVOCAT-BENAN,FRA,18-,,
36,GEORGE,MARIS,ROU,18-,,
38,BOGDAN,RUS,ROU,16-,,
