Rank,Name,,Country,Qualification,Semi-Final,Final
1,MAJA,STREMFELJ,SLO,top,top,47+
2,ANGELA,EITER,AUT,top,top,47
3,NATALIJA,GROS,SLO,top,top,45+
4,MURIEL,SARKANY,BEL,top,46+,45-
5,LUCKA,FRANKO,SLO,top,46+,37+
6,CAROLINE,CIAVALDINI,FRA,top,48+,35
7,MINA,MARKOVIC,SLO,top,top,35-
8,YUKA,KOBAYASHI,JPN,top,47-,35-
9,IRATI,ANDA VILLANUEVA,ESP,top,top,24-
10,KINGA,OCIEPKA,POL,top,45-,
11,CHARLOTTE,DURIF,FRA,top,44,
12,CAROLINE,JANUEL,FRA,top,40-,
13,YANA,CHERESHNEVA,RUS,34-,40-,
14,JENNY,LAVARDA,ITA,top,35,
15,BARBARA,BACHER,AUT,top,35-,
16,FLORENCE,PINET,FRA,top,34+,
17,OLENA,OSTAPENKO,UKR,top,34-,
17,KATHARINA,SAURWEIN,AUT,top,34-,
19,VANESSA,TAYLOR,FRA,top,33+,
20,MATHILDE,BRUMAGNE,BEL,top,29+,
20,BETTINA,SCHÖPF,AUT,top,29+,
22,ANDREA BRIGITTA,SZEKELY,HUN,31,29,
23,MARINE,THÉVENET,FRA,36-,29-,
24,EMELINE,THOMAS,FRA,33-,29-,
25,ALEXANDRA,EYER,SUI,top,27,
26,OLGA,BIBIK,RUS,top,23-,
27,LÉA,PHILIPPON,FRA,31-,,
28,MARINE,LARGERON,FRA,30-,,
28,AGATA,MODRZEJEWSKA,POL,30-,,
30,SOLÈNE,LE CAR,FRA,27+,,
