Rank,Name,,Country,Qualification,Semi-Final,Final
1,JORG,VERHOEVEN,NED,top,53-,52
2,PATXI,USOBIAGA LAKUNZA,ESP,top,55+,45-
3,CÉDRIC,LACHAT,SUI,top,58,42-
4,RAMÓN,JULIAN PUIGBLANQUE,ESP,25-,58+,28+
5,SYLVAIN,MILLET,FRA,33-,59-,26
6,FLAVIO,CRESPI,ITA,top,59+,14
7,DAVID,LAMA,AUT,top,56,14
8,LUCA,ZARDINI,ITA,32+,46,
9,TOMÁS,MRÁZEK,CZE,top,46-,
10,ROMAIN,DESGRANGES,FRA,26+,45,
11,ERIC,LOPEZ MATEOS,ESP,30-,43+,
12,KAZUMA,WATANABE,JPN,top,43,
13,SACHI,AMMA,JPN,top,41,
14,DANIEL,WINKLER,SUI,top,39,
15,YUJI,HIRAYAMA,JPN,top,33,
16,PABLO,BARBERO ALFONSO,ESP,25+,32-,
17,KLEMEN,BECAN,SLO,top,31+,
17,MAGNUS,MIDTBOE,NOR,33-,31+,
19,MICHAËL,FUSELIER,FRA,33-,29-,
20,MATEJ,SOVA,SLO,28-,27,
21,FABIEN,COMINA,FRA,29,27-,
22,FELIX,NEUMÄRKER,GER,29-,26,
23,MARTIN,JAGGI,SUI,29+,25,
23,ROLAND,WAGNER,AUT,28-,25,
25,ALESSANDRO,FIORI,ITA,28-,24,
26,GABOR,SZEKELY,HUN,28+,22-,
27,MIKHAIL,GOGOL,RUS,30+,21+,
27,IVAN,KAUROV,RUS,28-,21+,
29,MARCO ANTONIO,JUBES ANGARITA,ESP,28-,16-,
30,CASPER,TEN SIJTHOFF,NED,23+,,
31,DAVID,CAUDE,FRA,23,,
32,OLIVIER,HEQUIN,FRA,22-,,
33,ERIK,CARLSSON,SWE,20+,,
33,BENOIT,HEINTZ,FRA,25,,
35,FABIEN,DUGIT,FRA,23,,
35,MAGNUS,HÖGSTRÖM,SWE,19-,,
37,MATTHIAS,RUH,SUI,17,,
37,THOMAS,SCHMID,SUI,23-,,
39,MARK,AMANN,AUT,14-,,
39,ROMAN,VAN DER WERF,NED,22,,
41,NICOLA,DE MATTIA,ITA,18-,,
41,BENOIT,HEURTAUX,FRA,13-,,
43,FREDERIC,BONNET,AUS,12,,
43,ALEXANDER,HILLE,GER,12,,
45,JÜRGEN,REIS,AUT,10,,
45,ILIJA,RISTOVSKI,MKD,8-,,
47,DEJAN,PETROVSKI,MKD,1,,
47,LARS,PROSKE,GER,8,,
