Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANGELA,EITER,AUT,top,top,top
2,MINA,MARKOVIC,SLO,top,51-,47-
3,EMILY,HARRINGTON,USA,top,44,47-
4,CHARLOTTE,DURIF,FRA,top,44,46
5,YUKA,KOBAYASHI,JPN,top,44+,43-
6,NATALIJA,GROS,SLO,top,45-,36-
7,IRATI,ANDA VILLANUEVA,ESP,top,43+,36-
8,FLORENCE,PINET,FRA,39+,45+,27
9,SANDRINE,LEVET,FRA,top,41-,
9,MURIEL,SARKANY,BEL,top,41-,
11,EVGENIIA,MALAMID,RUS,31-,40,
12,CHRISTINE,SCHRANZ,AUT,top,39+,
13,KATHARINA,SAURWEIN,AUT,top,28-,
14,NINA,CAPREZ,SUI,39-,27,
15,JULIANE,WURM,GER,30+,26+,
16,LUCKA,FRANKO,SLO,42,23+,
17,YANA,CHERESHNEVA,RUS,top,20,
17,ALEXANDRA,EYER,SUI,top,20,
19,JENNY,LAVARDA,ITA,41-,20-,
20,BARBARA,BACHER,AUT,top,19+,
21,MAJA,STREMFELJ,SLO,top,19,
22,KSENIIA,ALEKSEEVA,RUS,31-,17,
23,BETTINA,SCHÖPF,AUT,41,16,
24,AKIYO,NOGUCHI,JPN,top,13-,
25,GERDA,RAFFETSEDER,AUT,30+,13-,
26,MANUELA,VALSECCHI,ITA,36-,12-,
27,CHRISTINA,SCHMID,SUI,top,11-,
28,LINN KARIN,STENDAL,NOR,30-,,
29,VERA,ZIJLSTRA,NED,28+,,
30,EMELINE,THOMAS,FRA,27,,
31,BARBARA,SCHRANZ,AUT,24+,,
32,INES,DULL-KRETSCHMER,GER,17-,,
32,LUISA,NEUMÄRKER,GER,17-,,
34,CHELSEA,RUDE,USA,16+,,
35,SARAH,MATTHEWS,AUS,15-,,
36,MATHILDE,COUCHOT,FRA,14-,,
36,ANDREA BRIGITTA,SZEKELY,HUN,14-,,
38,EMELINE,TESO,FRA,13+,,
39,ANDREA,CARTAS BARRERA,ESP,13-,,
