Rank,Name,,Country,Qualification,Semi-Final,Final
1,MAJA,STREMFELJ,SLO,top,top,37-
2,JOHANNA,ERNST,AUT,top,40-,37-
3,OLGA,SHALAGINA,UKR,top,29,35-
4,CHARLOTTE,DURIF,FRA,31,30-,32
5,AKIYO,NOGUCHI,JPN,top,29,20
6,BETTINA,SCHÖPF,AUT,31,29+,16-
7,CAROLINE,CIAVALDINI,FRA,top,35+,15
8,ANGELA,EITER,AUT,top,29,
9,NATALIJA,GROS,SLO,32-,29,
10,ALEXANDRA,EYER,SUI,31,29,
11,KINGA,OCIEPKA,POL,31-,29,
12,BARBARA,BACHER,AUT,31,29-,
13,MINA,MARKOVIC,SLO,30-,29-,
13,CHRISTINE,SCHRANZ,AUT,30-,29-,
15,JENNY,LAVARDA,ITA,29+,29-,
16,JULIANE,WURM,GER,20-,29-,
17,JAIN,KIM,KOR,top,28+,
18,YANA,CHERESHNEVA,RUS,top,28,
19,MARINE,THÉVENET,FRA,29,27,
20,ANDREA,CARTAS BARRERA,ESP,23-,23,
21,MATHILDE,COUCHOT,FRA,22-,23,
22,MELISSA,LE NEVE,FRA,20-,23,
23,ASJA,GOSAR,SLO,19+,23-,
24,VERA,ZIJLSTRA,NED,29,22,
25,ANOUK,PIOLA,SUI,19+,22-,
26,FLORENCE,PINET,FRA,19,19,
27,ANDREA BRIGITTA,SZEKELY,HUN,19-,,
28,IRATI,ANDA VILLANUEVA,ESP,15-,,
28,MURIEL,SARKANY,BEL,15-,,
28,CHRISTINA,SCHMID,SUI,15-,,
28,AKI,TANAKA,JPN,15-,,
32,ZOË,MAIRE,SUI,14,,
