Rank,Name,,Country,Qualification,Semi-Final,Final
1,DAVID,LAMA,AUT,5t5 5b5,4t5 4b4,3t3 4b6
2,KILIAN,FISCHHUBER,AUT,4t7 4b4,4t7 4b6,3t5 3b3
3,SEAN,MCCOLL,CAN,3t4 3b3,3t4 4b6,3t7 4b6
4,GABRIELE,MORONI,ITA,3t3 5b5,3t14 3b9,3t7 3b4
5,RUSTAM,GELMANOV,RUS,5t5 5b5,3t6 3b5,3t7 3b6
6,TSUKURU,HORI,JPN,4t6 4b6,3t11 3b6,1t1 3b10
7,JONAS,BAUMANN,GER,2t2 4b4,1t1 3b6,
8,AKITO,MATSUSHIMA,JPN,4t6 5b7,1t1 3b9,
9,LUCAS,PRETI,ITA,4t4 5b5,1t3 3b14,
10,GUILLAUME,GLAIRON MONDET,FRA,3t4 3b4,1t4 2b8,
11,MASATOSHI,SUGITA,JPN,3t3 4b6,1t5 3b7,
12,SALAVAT,RAKHMETOV,RUS,3t3 5b9,0t 3b5,
13,MICHELE,CAMINATI,ITA,4t6 5b7,0t 2b2,
14,MYKHAYLO,SHALAGIN,UKR,3t6 4b8,0t 2b2,
15,MARTIN,STRANIK,CZE,5t8 5b5,0t 1b1,
16,BRUNO,MACIAS MATUTANO,ESP,3t3 3b3,0t 1b1,
17,MATTHIAS,MÜLLER,SUI,2t2 4b5,0t 1b1,
18,FABIEN,DUGIT,FRA,4t7 4b6,0t 1b2,
19,CHRISTIAN,CORE,ITA,3t6 5b10,0t 1b2,
20,THOMAS,CALEYRON,FRA,2t2 3b3,0t 1b2,
21,TOMASZ,OLEKSY,POL,2t2 3b4,,
22,PIERRE,DUROCHE,FRA,2t3 4b7,,
23,SEBASTIEN,JALMAIN,FRA,2t3 3b4,,
24,LUDOVIC,LAURENCE,FRA,2t3 3b5,,
25,TONY,MUSSELBROOK,GBR,2t3 3b7,,
26,KLEMEN,BECAN,SLO,2t3 2b3,,
27,JORG,VERHOEVEN,NED,2t4 5b7,,
28,STEWART,WATSON,GBR,2t4 4b5,,
29,ROK,KLANCNIK,SLO,2t4 4b8,,
30,GARETH,PARRY,GBR,2t4 3b6,,
31,REMO,SOMMER,SUI,2t5 3b6,,
32,NICOLAS,BADIA,FRA,2t6 3b6,,
33,JAKUB,GLOWKA,POL,2t7 3b8,,
34,BLAZ,RANT,SLO,2t8 4b13,,
35,BASSA,MAWEM,FRA,1t1 2b2,,
36,RAFET SERKAN,ERCAN,TUR,1t1 2b3,,
37,GÉROME,POUVREAU,FRA,1t2 4b12,,
38,RYAN,PASQUILL,GBR,1t2 1b1,,
39,ARIC,MERZ,GER,1t3 3b5,,
40,PETER,WÜRTH,GER,1t3 3b11,,
41,RODDY,MACKENZIE,GBR,1t3 2b3,,
41,SÉBASTIEN,VALRAN,FRA,1t3 2b3,,
43,STEFANO,MASTROCOLA,BRA,1t3 2b7,,
44,EMANUEL,MOOSBURGER,AUT,1t4 3b4,,
45,ANDRÉ,BEREZOSKI,BRA,0t 3b4,,
45,KAZUMA,WATANABE,JPN,0t 3b4,,
47,DAVID,BARRANS,GBR,0t 3b7,,
48,ANTOINE,VANDEPUTTE,FRA,0t 2b2,,
49,JERNEJ,KRUDER,SLO,0t 2b3,,
50,JJ,MAH,CAN,0t 2b4,,
51,STEFANO,GHIDINI,ITA,0t 2b5,,
52,JAHA,KIM,KOR,0t 2b7,,
52,DAVIC,PICQ,FRA,0t 2b7,,
54,ANDRE,BOROWKA,GER,0t 1b1,,
54,GHISLAIN,LOSIER,CAN,0t 1b1,,
54,BEN,MEEKS,GBR,0t 1b1,,
57,JOACKYM,RAMSAMY,FRA,0t 1b3,,
58,MARSHAL,GERMAN,CAN,0t 1b4,,
