Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANNA,STÖHR,AUT,4t6 5b5,2t2 4b4,4t5 4b4
2,KATJA,VIDMAR,SLO,3t4 5b5,3t6 4b4,3t4 4b5
3,YULIA,ABRAMCHUK,RUS,3t5 5b6,3t3 4b4,2t3 3b3
4,OLGA,BIBIK,RUS,3t4 4b4,3t5 4b6,2t4 3b3
5,SILVIE,RAJFOVA,CZE,2t2 3b3,2t5 3b3,1t1 4b5
6,ANNE-LAURE,CHEVRIER,FRA,3t3 5b5,2t4 3b4,1t1 4b8
7,CECILE,AVEZOU,FRA,3t11 5b13,2t7 3b6,
8,NINA,CAPREZ,SUI,2t2 4b4,2t9 4b10,
9,KATHARINA,SAURWEIN,AUT,3t3 5b7,1t1 4b5,
10,AKIYO,NOGUCHI,JPN,5t6 5b5,1t1 4b7,
11,CHLOÉ,GRAFTIAUX,BEL,3t6 4b6,1t1 3b4,
12,NATALIJA,GROS,SLO,3t4 5b6,1t1 3b8,
13,THERESE,JOHANNESEN,NOR,4t7 5b6,1t2 4b5,
14,ANGELICA,LIND,SWE,4t6 5b6,1t3 3b8,
15,ALEXANDRA,BALAKIREVA,RUS,2t2 4b4,1t4 3b6,
16,JULIETTE,DANION,FRA,3t3 4b4,0t 3b3,
17,JAIN,KIM,KOR,3t10 5b12,0t 3b6,
18,MAUD,ANSADE,FRA,3t10 5b12,0t 3b8,
19,HELENA,LIPENSKA,CZE,2t2 4b8,0t 1b1,
20,FRANZISKA,SAURWEIN,AUT,3t5 5b6,0t 1b2,
21,JULIANE,WURM,GER,2t3 4b5,,
22,NATALIE,SAILER,GER,2t3 4b7,,
22,MÉLANIE,SANDOZ,FRA,2t3 4b7,,
24,AUDREY,SEGUY,GBR,2t3 4b8,,
25,MÉLANIE,SON,FRA,2t5 4b6,,
26,JENNY,LAVARDA,ITA,2t8 4b10,,
27,ELENA,CHIAPPA,ITA,1t1 5b12,,
28,EMILIE,ABGRALL,FRA,1t1 3b3,,
28,ROBERTA,LONGO,ITA,1t1 3b3,,
30,ZOE,OGDEN,GBR,1t1 3b4,,
31,DIANE,MERRICK,GBR,1t1 2b2,,
32,ALEXANDRA,EYER,SUI,1t2 4b7,,
33,KATY,WHITTAKER,GBR,1t2 3b5,,
34,MORGANE,AVELINE,FRA,1t2 3b6,,
35,CELINE,COMBAZ,FRA,1t3 4b6,,
36,CLAUDIA,BATTAGLIA,ITA,1t5 4b9,,
37,RAELENE,COWIE,GBR,0t 3b7,,
38,MARIE,DUVAL,FRA,0t 2b6,,
39,SARA,AICART ORTIZ,ESP,0t 2b7,,
