Rank,Name,,Country,Qualification,Semi-Final,Final
1,DMITRII,SHARAFUTDINOV,RUS,4t8 5b8,3t6 4b6,2t5 4b9
2,KILIAN,FISCHHUBER,AUT,4t8 5b10,3t6 3b6,2t6 3b6
3,DAVID,LAMA,AUT,4t5 4b4,3t5 4b6,1t1 3b3
4,GABRIELE,MORONI,ITA,4t12 5b6,4t11 4b11,1t1 3b4
5,MYKHAYLO,SHALAGIN,UKR,3t3 4b4,2t7 4b11,1t4 3b6
6,AKITO,MATSUSHIMA,JPN,4t13 5b14,2t3 3b3,0t 3b4
7,MATTHIAS,MÜLLER,SUI,3t3 5b7,2t7 4b14,
8,CÉDRIC,LACHAT,SUI,3t5 5b11,2t8 4b8,
9,LUDOVIC,LAURENCE,FRA,3t4 5b7,2t11 3b12,
10,RUSTAM,GELMANOV,RUS,4t4 5b8,1t1 3b3,
11,GÉROME,POUVREAU,FRA,4t12 4b6,1t1 3b7,
12,REMO,SOMMER,SUI,3t9 5b6,1t3 3b6,
13,KLEMEN,BECAN,SLO,3t4 5b8,1t4 3b6,
14,JOACKYM,RAMSAMY,FRA,3t4 4b8,1t6 4b15,
15,TSUKURU,HORI,JPN,3t9 5b13,0t 3b10,
16,STEWART,WATSON,GBR,4t8 5b6,0t 3b11,
17,SANGWON,SON,KOR,4t11 5b14,0t 3b14,
18,WOUTER,JONGENEELEN,NED,2t2 5b11,0t 2b2,
19,JULIEN,MERAL,FRA,2t2 5b10,0t 2b3,
20,BLAZ,RANT,SLO,3t8 5b10,0t 1b1,
21,DAVID,BARRANS,GBR,2t2 4b7,,
22,MICHELE,CAMINATI,ITA,2t3 5b6,,
23,PIERRE,DUROCHE,FRA,2t3 5b11,,
23,SEBASTIEN,JALMAIN,FRA,2t3 5b11,,
25,THOMAS,CALEYRON,FRA,2t3 5b13,,
26,GUILLAUME,GLAIRON MONDET,FRA,2t3 4b4,,
27,MIKHAIL,CHERNIKOV,RUS,2t3 4b6,,
28,GARETH,PARRY,GBR,2t3 4b7,,
29,STEFANO,GHIDINI,ITA,2t3 4b8,,
30,MASATOSHI,SUGITA,JPN,2t3 4b10,,
31,LUCAS,PRETI,ITA,2t4 5b6,,
32,CHRISTIAN,CORE,ITA,2t4 4b13,,
33,CHRISTOPHER,WEBB-PARSONS,AUS,2t5 5b10,,
34,TATSUYA,MURAOKA,JPN,2t6 4b8,,
35,CASPER,TEN SIJTHOFF,NED,2t7 5b13,,
36,NICOLAS,BADIA,FRA,2t7 4b11,,
37,JONAS,BAUMANN,GER,1t1 5b7,,
38,STÉPHAN,JULIEN,FRA,1t1 5b9,,
39,MARTIN,STRANIK,CZE,1t1 5b11,,
40,JORG,VERHOEVEN,NED,1t1 4b6,,
41,ROK,KLANCNIK,SLO,1t1 4b9,,
42,ANDRE,BOROWKA,GER,1t1 4b10,,
42,KEVIN,HEMUND,SUI,1t1 4b10,,
44,PETER,WÜRTH,GER,1t1 4b12,,
45,JESSE,VAN DER WERF,NED,1t1 3b5,,
46,KAZUMA,WATANABE,JPN,1t1 3b12,,
47,KARSTEN,BOROWKA,GER,1t2 4b7,,
48,ARIC,MERZ,GER,1t2 3b10,,
49,EMANUEL,MOOSBURGER,AUT,1t3 5b8,,
50,MARK,CROXALL,GBR,1t3 3b9,,
51,GHISLAIN,LOSIER,CAN,0t 5b18,,
52,IVAYLO,RADKOV,BUL,0t 4b21,,
53,ANDRÉ,BEREZOSKI,BRA,0t 3b5,,
53,RODDY,MACKENZIE,GBR,0t 3b5,,
55,BRICE,MARTINE,FRA,0t 3b6,,
55,FLORENT,SAMYN,FRA,0t 3b6,,
57,BASTIEN,GLAIRON MONDET,FRA,0t 3b8,,
58,RAFET SERKAN,ERCAN,TUR,0t 3b11,,
59,GUNTRAM,JÖRG,AUT,0t 3b15,,
60,IVAYLO,KRASTEV,BUL,0t 3b18,,
61,BENJAMIN,BLASER,SUI,0t 2b4,,
62,FERDINAND,SCHULTE,NED,0t 2b5,,
63,THEODOROS,KONSTANTAKOPOULOS,GRE,0t 2b8,,
63,STEFANO,MASTROCOLA,BRA,0t 2b8,,
65,BEN,MEEKS,GBR,0t 1b3,,
