Rank,Name,,Country,Qualification,Semi-Final,Final
1,DMITRII,SHARAFUTDINOV,RUS,4t9 5b9,3t12 4b10,3t4 4b5
2,RUSTAM,GELMANOV,RUS,5t8 5b8,4t11 4b7,2t2 4b4
3,DAVID,LAMA,AUT,5t5 5b5,3t6 4b7,2t4 4b7
4,SEAN,MCCOLL,CAN,5t6 5b6,3t6 3b4,1t1 4b5
5,TSUKURU,HORI,JPN,5t9 5b8,4t17 4b9,1t2 3b4
6,GABRIELE,MORONI,ITA,5t7 5b6,3t11 4b10,0t 3b3
7,KILIAN,FISCHHUBER,AUT,5t9 5b7,2t2 3b3,
8,GÉROME,POUVREAU,FRA,5t8 5b8,2t5 2b2,
9,ANTOINE,VANDEPUTTE,FRA,5t7 5b6,2t9 4b12,
10,LUCAS,PRETI,ITA,4t8 5b7,2t14 3b9,
11,KLEMEN,BECAN,SLO,5t7 5b7,1t2 3b11,
12,STÉPHAN,JULIEN,FRA,4t7 5b9,1t4 3b6,
13,JONAS,BAUMANN,GER,5t7 5b7,1t4 2b4,
14,MICHELE,CAMINATI,ITA,4t7 5b9,0t 3b6,
14,TOMASZ,OLEKSY,POL,5t11 5b10,0t 3b6,
16,GUILLAUME,GLAIRON MONDET,FRA,5t7 5b6,0t 3b7,
17,LUDOVIC,LAURENCE,FRA,5t7 5b5,0t 2b3,
18,MARKUS,HOPPE,GER,4t8 5b9,0t 2b4,
19,JORG,VERHOEVEN,NED,4t9 5b9,0t 2b5,
20,BLAZ,RANT,SLO,5t11 5b9,0t 1b1,
21,ALEKSEY,RUBTSOV,RUS,4t11 5b17,,
21,MASATOSHI,SUGITA,JPN,4t4 5b7,,
23,EDWARD,FEEHALLY,GBR,4t5 5b8,,
23,YURY,NOVITSKIY,RUS,4t13 5b13,,
25,OLIVIER,LEBRETON,FRA,4t6 5b7,,
25,MARTIN,STRANIK,CZE,4t15 5b15,,
27,MARCO ANTONIO,JUBES ANGARITA,ESP,4t16 5b16,,
27,JERNEJ,KRUDER,SLO,4t6 4b6,,
29,LOÏC,GAIDIOZ,FRA,3t3 5b6,,
29,SEBASTIEN,JALMAIN,FRA,4t7 4b6,,
31,PIERRE,DUROCHE,FRA,3t3 4b5,,
31,BASTIEN,GERLAND,FRA,4t8 5b10,,
33,CÉDRIC,LACHAT,SUI,4t11 5b12,,
33,JESSE,VAN DER WERF,NED,3t5 3b5,,
35,AKITO,MATSUSHIMA,JPN,3t7 5b13,,
35,NOBUYUKI,NAGATA,JPN,3t3 4b4,,
37,ANDRE,BOROWKA,GER,3t7 4b12,,
37,JOACKYM,RAMSAMY,FRA,3t6 5b10,,
39,KEVIN,HEMUND,SUI,3t8 4b9,,
39,MATTHIAS,MÜLLER,SUI,3t6 4b7,,
41,THOMAS,CALEYRON,FRA,2t2 3b3,,
41,CASPER,TEN SIJTHOFF,NED,2t2 4b5,,
43,WOUTER,JONGENEELEN,NED,2t3 4b5,,
43,KAZUMA,WATANABE,JPN,2t2 4b6,,
45,ARTURO,CAMPOS SALVADOR,ESP,2t5 2b5,,
45,ROK,KLANCNIK,SLO,2t2 3b5,,
47,NICOLAS,BADIA,FRA,2t2 3b6,,
47,ARTYOM,DEVYATERIKOV,KAZ,2t9 2b9,,
49,RAFET SERKAN,ERCAN,TUR,1t1 3b4,,
49,BRICE,MARTINE,FRA,2t3 3b3,,
51,BENOIT,HEINTZ,FRA,1t1 2b6,,
51,SÉBASTIEN,VALRAN,FRA,2t4 2b3,,
53,YOANN,LE COUSTER,FRA,1t2 1b1,,
53,ROLANDS,RUGENS,LAT,2t5 3b9,,
55,PIOTR,BUNSCH,POL,2t7 3b12,,
55,BASTIEN,GLAIRON MONDET,FRA,1t3 3b6,,
57,MARSHAL,GERMAN,CAN,1t1 1b1,,
57,STEPAN,STRANIK,CZE,0t 2b4,,
59,NIKITA,DEVYATERIKOV,KAZ,0t 0b,,
59,JAKUB,KOVACIK,SVK,0t 0b,,
59,JJ,MAH,CAN,1t2 1b1,,
62,PIERRE ERIC,GOUDAL,FRA,1t4 4b8,,
63,IGNACIO,FUERTES OLLES,ESP,0t 2b3,,
64,JANIS,PRIZAVOITS,LAT,0t 2b4,,
