Rank,Name,,Country,Qualification,Semi-Final,Final
1,AKIYO,NOGUCHI,JPN,5t6 5b6,4t7 4b5,4t5 4b5
2,YULIA,ABRAMCHUK,RUS,4t7 5b6,4t5 4b5,4t6 4b5
3,NATALIJA,GROS,SLO,5t5 5b5,4t5 4b4,3t4 3b4
4,ANGELICA,LIND,SWE,4t10 5b5,4t8 4b6,3t5 4b6
5,KATHARINA,SAURWEIN,AUT,5t8 5b5,4t5 4b5,2t5 2b4
6,ANNA,GALLYAMOVA,RUS,5t11 5b10,4t12 4b8,1t4 2b5
7,NINA,CAPREZ,SUI,4t9 5b7,4t13 4b9,
8,ANNA,STÖHR,AUT,4t4 5b5,3t3 4b5,
9,SILVIE,RAJFOVA,CZE,5t5 5b5,3t4 3b3,
10,MARINE,THÉVENET,FRA,4t8 5b6,3t5 4b6,
11,KATJA,VIDMAR,SLO,4t8 5b9,3t6 4b7,
12,EMILIE,ABGRALL,FRA,4t8 5b6,3t6 3b5,
13,JULIANE,WURM,GER,5t8 5b8,3t7 4b8,
14,VERA,ZIJLSTRA,NED,3t4 5b7,2t2 3b7,
15,MAUD,ANSADE,FRA,4t6 5b11,2t3 3b5,
16,MELISSA,LE NEVE,FRA,5t6 5b6,1t1 2b2,
17,CHLOÉ,GRAFTIAUX,BEL,4t6 5b6,1t1 2b2,
18,AUDREY,SEGUY,GBR,5t11 5b9,1t3 3b19,
19,MÉLANIE,SON,FRA,5t11 5b6,1t4 2b3,
20,CECILE,AVEZOU,FRA,4t6 5b9,1t5 3b6,
21,OLGA,BIBIK,RUS,3t4 4b6,,
22,ANNE-LAURE,CHEVRIER,FRA,3t5 5b6,,
23,EMELINE,THOMAS,FRA,3t7 5b10,,
24,DIANE,MERRICK,GBR,3t8 5b6,,
25,MARIA,AGAFONOVA,RUS,3t8 5b8,,
26,KSENIIA,ALEKSEEVA,RUS,2t4 5b9,,
27,NATALIE,SAILER,GER,1t1 5b5,,
28,ALEXANDRA,BALAKIREVA,RUS,1t2 4b9,,
29,LEA,DESLANDES,FRA,1t2 2b3,,
30,MÉLANIE,SANDOZ,FRA,1t4 3b4,,
31,CELINE,COMBAZ,FRA,0t 4b5,,
32,SARA,AICART ORTIZ,ESP,0t 2b4,,
32,ZOE,OGDEN,GBR,0t 2b4,,
34,MORGANE,AVELINE,FRA,0t 2b5,,
35,MARINE,BARBIER,FRA,0t 1b3,,
