Rank,Name,,Country,Qualification,Final
1,EVGENII,VAITSEKHOVSKII,RUS,21.430,16.60
2,MANUEL,ESCOBAR,VEN,25.350,18.54
3,VALERIY,VOROBYEV,RUS,21.860,18.17
4,ANDREY,SHILENBERG,RUS,25.820,22.30
5,ALEXANDER,KOSTERIN,RUS,20.100,17.80
6,ALEXANDER,PESHEKHONOV,RUS,22.620,19.45
7,DMITRII,SHARAFUTDINOV,RUS,24.320,fall
8,SERGEI,SINITCYN,RUS,21.360,fall
9,KOSTIANTYN,PODCHESOV,UKR,27.230,22.39
10,MAKSYM,STYENKOVYY,UKR,25.180,23.38
11,ARTYOM,DEVYATERIKOV,KAZ,26.330,25.77
12,STANISLAV,KOKORIN,RUS,25.130,26.37
13,LUCAS,PRETI,ITA,25.870,fall
14,NING,ZHANG,CHN,26.540,fall
15,ALEXANDR,NIGMATULIN,KAZ,27.000,fall
16,LUKASZ,SWIRK,POL,27.220,fall
17,BOGDAN,POSMASHNYY,RUS,27.720,
18,MAKSYM,OSIPOV,UKR,27.950,
19,SERGEY,ABDRAKHMANOV,RUS,28.050,
20,YURY,NOVITSKIY,RUS,28.610,
21,LEONEL,DE LAS SALAS,VEN,28.750,
22,EDUARD,ISMAGILOV,RUS,28.890,
23,VASILY,KOZLOV,RUS,29.520,
24,EGOR,SKACHKOV,RUS,29.590,
25,IVAN,NOVIKOV,RUS,29.660,
26,VYACHESLAV,TITOV,KAZ,29.940,
27,ROLANDS,RUGENS,LAT,30.030,
28,ZUFAR,NIGMANOV,RUS,30.300,
29,ALEXANDER,KALINA,RUS,30.470,
30,VAGINAK,SIREKANYAN,RUS,30.550,
31,ALEXEY,BELCHIKOV,RUS,30.630,
32,SERGEY,DONETS,RUS,31.340,
33,GEORGY,DERKACHEV,RUS,31.610,
34,IVAN,KAUROV,RUS,32.010,
35,ANTON,PODZOROV,UKR,32.190,
36,STANISLAV,LOBZOV,RUS,32.260,
37,VLADIMIR,MUSICH,RUS,32.540,
38,OLEKSIY,YURKO,UKR,32.770,
39,YAROSLAV,TOPAL,UKR,33.980,
40,ALEXANDER,KHOPKO,RUS,34.550,
41,JANIS,PRIZAVOITS,LAT,37.440,
42,DMITRIY,ABROSSIMOV,KAZ,37.990,
43,EDUARD,SABITOV,RUS,38.730,
44,GUANGPU,LI,CHN,fall,
44,EVGENIY,SHIROKOV,RUS,fall,
