Rank,Name,,Country,Qualification,Final
1,OLENA,RYEPKO,UKR,35.280,27.03
2,EDYTA,ROPEK,POL,35.070,28.87
3,LUCELIA,BLANCO,VEN,33.590,27.27
4,SVITLANA,TUZHYLINA,UKR,37.340,28.31
5,CHUNHUA,LI,CHN,35.100,29.17
6,ANNA,STENKOVAYA,RUS,33.370,29.61
7,OLGA,BEZHKO,UKR,38.170,32.65
8,VALENTINA,YURINA,RUS,33.720,33.26
9,ANNA,GALLYAMOVA,RUS,36.960,33.95
10,OLGA,EVSTIGNEEVA,RUS,38.800,33.97
11,NATALIA,TITOVA,RUS,37.290,35.80
12,OLGA,MOROZKINA,RUS,39.520,36.55
13,ALINA,GAIDAMAKINA,RUS,40.250,36.93
14,YULIA,TROEPOLSKAYA,RUS,41.070,39.35
15,KSENIIA,ALEKSEEVA,RUS,40.190,40.52
16,OLENA,SHEREMETYEVA,UKR,39.710,40.73
17,NATALIA,KOROLEVA,RUS,41.440,
18,MARIIA,KRASAVINA,RUS,41.670,
19,ANNA,MYLNIKOVA,RUS,42.120,
20,EKATERINA,BOYARSKIKH,RUS,43.270,
21,OLGA,MYKHAILOVA,UKR,43.910,
22,GALINA,TERENTEVA,RUS,44.490,
23,YULIYA,LEVOCHKINA,RUS,45.170,
24,YULIA,VAYTSEKHOVSKAYA,RUS,45.650,
25,EVGENIYA,SHAHMATOVA,RUS,51.070,
26,ALIYA,ISKAKOVA,KAZ,63.220,
