Rank,Name,,Country,Qualification,Semi-Final,Final
1,RAMÓN,JULIAN PUIGBLANQUE,ESP,top,top,48-
2,TOMÁS,MRÁZEK,CZE,top,48-,46-
3,JORG,VERHOEVEN,NED,top,47+,41-
4,CÉDRIC,LACHAT,SUI,top,46+,37-
5,VALERIY,KRYUKOV,UKR,top,46,37-
6,SEAN,MCCOLL,CAN,top,46,35+
7,KLEMEN,BECAN,SLO,top,46,31-
8,PATXI,USOBIAGA LAKUNZA,ESP,41-,47+,25-
9,MAGNUS,MIDTBOE,NOR,top,46-,
9,JAKOB,SCHUBERT,AUT,top,46-,
11,SANGWON,SON,KOR,top,42,
12,FLAVIEN,GUERIMAND,FRA,40,42,
13,ROMAIN,DESGRANGES,FRA,41-,42-,
13,FABIEN,DUGIT,FRA,41-,42-,
15,THOMAS,TAUPORN,GER,40,41,
16,THOMAS,BALLET,FRA,top,41-,
17,MICHAËL,FUSELIER,FRA,41-,39-,
17,MANUEL,ROMAIN,FRA,41-,39-,
19,HYUNBIN,MIN,KOR,40+,39-,
20,FELIPE,CAMARGO,BRA,40+,36-,
21,CASPER,TEN SIJTHOFF,NED,40+,33,
22,GABOR,SZEKELY,HUN,41-,31-,
23,KAZUMA,WATANABE,JPN,40+,28,
24,JAHA,KIM,KOR,39,26+,
25,MATEJ,SOVA,SLO,40+,26-,
26,MARCO ANTONIO,JUBES ANGARITA,ESP,40+,24-,
27,JÉRÔME,DE BOECK,BEL,39-,,
28,PABLO,BARBERO ALFONSO,ESP,38+,,
28,SERGEY,TERENTYEV,RUS,38+,,
30,MAGNUS,HÖGSTRÖM,SWE,38-,,
30,HIDEKAZU,ITO,JPN,38-,,
30,ROMAIN,PAGNOUX,FRA,38-,,
33,AURÉLIEN,CULVER,FRA,34+,,
34,MARTIN,JAGGI,SUI,33+,,
35,IVAYLO,KRASTEV,BUL,32-,,
36,MAURICIO,HUERTA,MEX,31+,,
37,FABIEN,COMINA,FRA,31,,
38,OLIVIER,HEQUIN,FRA,31-,,
38,JAN,HOJER,GER,31-,,
38,FELIX,NEUMÄRKER,GER,31-,,
41,TIMO,TAK,NED,30-,,
42,STEFAN,DANKER,GER,27,,
42,MICHAEL,TIMMERMANS,BEL,27,,
44,IGOR,SOLOVEY,UKR,27-,,
45,DAISUKE,KONISHI,JPN,26,,
46,STEPHANE,HANSSENS,BEL,24,,
47,JURGEN,LIS,BEL,24-,,
47,JÜRGEN,REIS,AUT,24-,,
47,DIRK,VERVOORT,BEL,24-,,
50,DIEGO MARTÍN,MARSELLA PRADO,ARG,21+,,
51,ERIC,BERTHE,BEL,21,,
52,ERIK,CARLSSON,SWE,21-,,
52,ROLANDS,RUGENS,LAT,21-,,
54,KALIN,GARBOV,BUL,19,,
55,KRISTOF,DEDECKER,BEL,15-,,
55,DAVID,LEDUC,BEL,15-,,
57,DIEGO LUIS,GONZÁLEZ,MEX,7+,,
58,IVAN,KAUROV,RUS,7,,
59,SACHI,AMMA,JPN,1,,
