Rank,Name,,Country,Qualification,Final
1,LEONEL,DE LAS SALAS,VEN,21.680,16.17
2,EVGENII,VAITSEKHOVSKII,RUS,18.850,16.25
3,MAKSYM,STYENKOVYY,UKR,21.480,17.98
4,ALEXANDER,PESHEKHONOV,RUS,20.380,18.82
5,SERGEI,SINITCYN,RUS,18.360,16.59
6,QIXIN,ZHONG,CHN,21.540,17.97
7,MAKSYM,OSIPOV,UKR,19.890,fall
8,MANUEL,ESCOBAR,VEN,19.330,fall
9,LUKASZ,SWIRK,POL,23.840,18.92
10,CSABA,KOMONDI,HUN,24.910,19.88
11,JEDRZEJ,KOMOSINSKI,POL,23.890,21.11
12,LUCAS,PRETI,ITA,26.250,22.19
13,ROLANDS,RUGENS,LAT,25.480,22.21
14,IVAN,KAUROV,RUS,27.260,23.40
15,DAVID,LEDUC,BEL,25.280,26.20
16,ALEKSEI,PORTSEV,RUS,25.220,fall
17,JONAS,BAUMANN,GER,28.080,
18,JÉRÔME,DE BOECK,BEL,31.880,
19,SALAH,BOULBAHAIEM,BEL,fall,
19,LIBOR,HROZA,CZE,fall,
19,JURGEN,LIS,BEL,fall,
