Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,top,top,top
2,NATALIJA,GROS,SLO,42,50-,43+
3,CHARLOTTE,DURIF,FRA,43,44-,42-
4,YANA,CHERESHNEVA,RUS,37-,48-,40
5,ALEXANDRA,EYER,SUI,38,44-,30-
6,BARBARA,BACHER,AUT,42-,44-,28-
7,MURIEL,SARKANY,BEL,43,47-,20-
8,MINA,MARKOVIC,SLO,43,top,11+
9,EVGENIIA,MALAMID,RUS,37-,44-,
10,ANGELA,EITER,AUT,top,43,
11,YUKA,KOBAYASHI,JPN,top,43-,
12,CHRISTINE,SCHRANZ,AUT,32,42+,
13,BETTINA,SCHÖPF,AUT,37-,41,
13,AKI,TANAKA,JPN,37-,41,
15,MARINE,THÉVENET,FRA,38+,37-,
16,OLGA,MOROZKINA,RUS,32-,36,
17,CAROLINE,CIAVALDINI,FRA,top,21-,
18,CHUNHUA,LI,CHN,22-,21-,
19,XUHUA,PAN,CHN,20+,19-,
20,DAN,ZHANG,CHN,27,18.5,
21,MAYYA,PIRATINSKAYA,RUS,22,17-,
22,ALIYA,ISKAKOVA,KAZ,22-,17-,
23,SARAH,MATTHEWS,AUS,16+,16+,
