Rank,Name,,Country,Qualification,Semi-Final,Final
1,DAVID,LAMA,AUT,3t3 5b6,2t2 2b2,4t9 4b5
2,KILIAN,FISCHHUBER,AUT,3t3 5b5,2t2 2b2,4t9 4b9
3,JORG,VERHOEVEN,NED,3t6 4b7,2t2 2b2,4t9 4b9
4,GÉROME,POUVREAU,FRA,3t3 5b6,2t2 2b2,3t5 4b11
5,STÉPHAN,JULIEN,FRA,3t5 5b14,2t2 2b2,2t2 3b3
6,JULIEN,MERAL,FRA,3t4 5b7,2t2 2b2,2t6 3b6
7,GABRIELE,MORONI,ITA,4t7 5b8,2t3 2b3,
8,MATTHIAS,MÜLLER,SUI,3t6 5b12,1t1 2b2,
9,LUDOVIC,LAURENCE,FRA,3t4 5b10,1t1 2b3,
10,GARETH,PARRY,GBR,3t9 4b9,1t1 2b3,
11,CHRISTIAN,CORE,ITA,2t2 5b13,1t1 2b3,
12,GUILLAUME,GLAIRON MONDET,FRA,3t4 5b5,1t1 1b1,
13,AKITO,MATSUSHIMA,JPN,3t5 5b12,1t2 2b3,
14,JONAS,BAUMANN,GER,2t2 5b5,1t2 2b3,
15,KAZUMA,WATANABE,JPN,3t5 4b5,1t2 2b4,
16,LUCAS,PRETI,ITA,2t2 5b6,1t2 2b4,
17,MARKUS,HOPPE,GER,3t5 5b9,1t2 2b5,
18,ANDRE,BOROWKA,GER,3t8 4b7,1t2 2b5,
19,MYKHAYLO,SHALAGIN,UKR,3t5 5b7,1t2 1b1,
20,MICHELE,CAMINATI,ITA,2t2 5b14,1t3 2b3,
21,DIDIER,HOARAU,FRA,2t3 5b7,,
22,BAPTISTE,NOMINE,FRA,2t3 5b11,,
23,NICOLAS,BADIA,FRA,2t4 4b9,,
24,KARSTEN,BOROWKA,GER,2t4 3b7,,
25,YOANN,LE COUSTER,FRA,2t6 4b9,,
26,DAVIC,PICQ,FRA,2t9 4b10,,
27,JÉRÉMIE,CICCIONE,FRA,1t1 5b7,,
28,PETER,WÜRTH,GER,1t1 5b10,,
29,SEBASTIEN,JALMAIN,FRA,1t1 4b8,,
30,QUENTIN,MIEGEVILLE,FRA,1t1 4b9,,
31,KEVIN,HEMUND,SUI,0t 4b7,,
32,JOACKYM,RAMSAMY,FRA,0t 2b2,,
33,MARIJUS,SMIGELSKIS,RSA,0t 1b3,,
