Rank,Name,,Country,Qualification,Semi-Final,Final
1,ANNA,STÖHR,AUT,2t2 3b3,2t2 4b8,4t6 4b5
2,AKIYO,NOGUCHI,JPN,3t4 4b6,4t6 4b5,4t10 4b8
3,YULIA,ABRAMCHUK,RUS,4t6 4b5,4t11 4b11,3t5 4b8
4,OLGA,SHALAGINA,UKR,4t4 4b4,4t5 4b4,2t2 2b2
5,SANDRINE,LEVET,FRA,4t12 4b12,2t2 4b6,2t3 3b3
6,JULIETTE,DANION,FRA,4t5 4b4,3t3 4b12,1t1 2b3
7,MAUD,ANSADE,FRA,2t2 2b2,2t2 4b9,
8,KATHARINA,SAURWEIN,AUT,3t3 3b3,2t3 4b5,
9,ANNE-LAURE,CHEVRIER,FRA,3t3 3b3,2t3 4b6,
10,ANNE,HOARAU,FRA,2t2 4b6,2t3 4b11,
11,CECILE,AVEZOU,FRA,3t3 4b6,2t4 3b5,
12,CHLOÉ,GRAFTIAUX,BEL,2t4 2b2,2t4 3b13,
13,AUDREY,SEGUY,GBR,2t2 3b5,2t5 3b5,
14,FRANZISKA,SAURWEIN,AUT,3t3 3b3,1t1 4b9,
15,MARINE,DELPIERRE,FRA,1t3 4b13,1t1 2b3,
17,ANGELICA,LIND,SWE,2t3 4b6,1t4 4b7,
18,SILVIE,RAJFOVA,CZE,4t14 4b10,0t 4b6,
19,MORGANE,AVELINE,FRA,2t2 3b3,0t 2b2,
20,DIANE,MERRICK,GBR,2t2 4b8,0t 2b3,
21,MARGAUX,HILLY,FRA,1t2 2b3,0t 2b4,
23,SARAH,LAGOFFUN,FRA,0t 1b4,,
