Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [7.42],top,47+
2,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | 37+  12. [11.49],42,47+
3,SACHI,AMMA,JPN,top  1. | top  1. [7.42],48+,43.5-
4,SEAN,MCCOLL,CAN,top  1. | top  1. [7.42],44-,25
5,PATXI,USOBIAGA LAKUNZA,ESP,top  1. | top  1. [7.42],top,21-
6,JAKOB,SCHUBERT,AUT,top  1. | top  1. [7.42],28,21-
7,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [7.42],31,20+
8,THOMAS,TAUPORN,GER,36+  23. | 22-  21. [22.75],39+,17-
9,VALERIY,KRYUKOV,UKR,top  1. | top  1. [7.42],27-,
9,TOMÁS,MRÁZEK,CZE,top  1. | top  1. [7.42],27-,
9,JORG,VERHOEVEN,NED,top  1. | top  1. [7.42],27-,
12,MANUEL,ROMAIN,FRA,top  1. | 43+  10. [10.49],27-,
13,SANGWON,SON,KOR,top  1. | 41-  11. [11.00],27-,
14,EVGENY,OVCHINNIKOV,RUS,top  1. | 14   45. [22.49],26+,
15,CESAR,GROSSO,BRA,top  1. | 16+  33. [20.58],26,
16,FLAVIO,CRESPI,ITA,top  1. | 24   17. [13.87],26-,
17,ERIC,LOPEZ MATEOS,ESP,25-  34. | 27-  15. [23.56],25+,
18,KLEMEN,BECAN,SLO,top  1. | 17-  30. [18.47],24+,
19,MARIO,LECHNER,AUT,top  1. | 27+  13. [12.19],24-,
20,MARCO ANTONIO,JUBES ANGARITA,ESP,top  1. | 26-  16. [13.27],24-,
21,EMMANUEL,LOPEZ,FRA,top  1. | 22-  21. [15.73],23-,
22,GUILLAUME,GLAIRON MONDET,FRA,27-  28. | 23-  19. [23.78],21-,
23,JIHWAN,PARK,KOR,31   25. | 23-  19. [22.08],20,
24,MIKHAIL,CHERNIKOV,RUS,top  1. | 17-  30. [18.47],20-,
25,FLAVIEN,GUERIMAND,FRA,top  1. | 21.5+  25. [16.58],18,
26,FELIPE,CAMARGO,BRA,27-  28. | 24   17. [22.53],18,
27,DAVID,LAMA,AUT,37-  22. | 21-  26. [24.15],,
28,GAUTIER,SUPPER,FRA,21   46. | 27+  13. [25.05],,
29,AURÉLIEN,CULVER,FRA,33-  24. | 17   29. [26.38],,
30,EDUARD,MARIN GARCIA,ESP,25   33. | 22-  21. [27.25],,
31,KONSTANTIN,SAVELYEV,RUS,27-  28. | 21-  26. [27.72],,
32,VICTOR,ESTELLER OCAÑA,ESP,23-  43. | 22-  21. [31.46],,
33,FABRICE,LANDRY,FRA,29+  26. | 16+  33. [31.94],,
34,JURE,BECAN,SLO,26+  31. | 16+  33. [34.55],,
35,MATHIEU,BOUYOUD,FRA,29+  26. | 14   45. [34.91],,
36,ANDRÉ,NERES,POR,26   32. | 16+  33. [35.10],,
37,MAURICIO,HUERTA,MEX,25-  34. | 16+  33. [37.74],,
37,IVAN,KAUROV,RUS,25-  34. | 16+  33. [37.74],,
37,GERARD,RULL FLORES,ESP,25-  34. | 16+  33. [37.74],,
40,JOSÉ LUIS,PALAO PEINADO,ESP,21-  48. | 17-  30. [39.17],,
41,JÜRGEN,REIS,AUT,15-  55. | 17+  28. [39.42],,
42,DANIEL,MORENO DE LOS HUERTO,ESP,24+  41. | 16+  33. [39.73],,
43,DAE YEOB,KIM,KOR,23-  43. | 16+  33. [41.16],,
43,MATEJ,SOVA,SLO,23-  43. | 16+  33. [41.16],,
45,GABOR,SZEKELY,HUN,25-  34. | 12   50. [43.65],,
46,CARLOS,CATARI,VEN,21-  48. | 16+  33. [43.65],,
46,JAN,HOJER,GER,21-  48. | 16+  33. [43.65],,
48,MARCIN,WSZOLEK,POL,23+  42. | 14-  48. [45.13],,
49,PIOTR,BUNSCH,POL,25-  34. | 11   55. [45.52],,
49,ALEXANDER,SHOPRIN,RUS,25-  34. | 11   55. [45.52],,
51,MICHAEL,FOLEY,USA,21-  48. | 14   45. [47.72],,
52,REINALDO,CAMACHO,VEN,21   46. | 12   50. [48.94],,
53,MARC,ARAUZ MASSOT,AND,16-  54. | 14-  48. [51.18],,
54,DIEGO MARTÍN,MARSELLA PRADO,ARG,17+  52. | 12   50. [51.75],,
55,BORIS,EGOROV,RUS,17-  53. | 12   50. [52.24],,
56,NOÉ,BERGER,LUX,15-  55. | 11+  54. [54.74],,
57,JULIO,ARCE,CRC,14   57. | 11   55. [56.50],,
58,SALVADOR,GARCIA MIRACLE,AND,13   58. | 9   58. [58.00],,
