Rank,Name,,Country,Qualification,Semi-Final,Final
1,MAJA,STREMFELJ,SLO,top  1. | top  1. [6.16],top,71-
2,ANGELA,EITER,AUT,top  1. | top  1. [6.16],top,69
2,JAIN,KIM,KOR,top  1. | top  1. [6.16],top,69
4,MINA,MARKOVIC,SLO,62-  13. | top  1. [11.11],top,65+
5,NATALIJA,GROS,SLO,top  1. | top  1. [6.16],48-,64
6,ALIZÉE,DUFRAISSE,FRA,top  1. | top  1. [6.16],53-,63-
7,YUKA,KOBAYASHI,JPN,62+  11. | top  1. [10.45],48-,63-
8,MURIEL,SARKANY,BEL,top  1. | top  1. [6.16],55,60+
9,ALEXANDRA,EYER,SUI,54+  16. | top  1. [13.26],48-,
10,CAROLINE,CIAVALDINI,FRA,63-  8. | top  1. [9.25],47,
11,YANA,CHERESHNEVA,RUS,63-  8. | top  1. [9.25],47-,
12,MELISSA,LE NEVE,FRA,52+  24. | top  1. [15.10],44+,
13,CHRISTINE,SCHRANZ,AUT,54-  22. | 44   21. [21.74],44,
14,MARINE,THÉVENET,FRA,54+  16. | 36-  25. [23.56],42-,
15,EVGENIIA,MALAMID,RUS,63-  8. | top  1. [9.25],41-,
16,BARBARA,BACHER,AUT,46-  27. | 50   19. [23.16],41-,
17,KINGA,OCIEPKA,POL,54+  16. | 36-  25. [23.56],41-,
18,ASJA,GOSAR,SLO,56-  15. | 50   19. [17.10],26-,
19,SEURAN,HAN,KOR,54+  16. | 36-  25. [23.56],25+,
20,JENNY,LAVARDA,ITA,62+  11. | top  1. [10.45],24-,
21,MATHILDE,COUCHOT,FRA,30+  36. | top  1. [18.62],24-,
22,BETTINA,SCHÖPF,AUT,57+  14. | 36-  25. [20.49],23+,
23,JOHANNA,ERNST,AUT,top  1. | 36-  25. [10.95],23-,
24,CHARLOTTE,DURIF,FRA,54+  16. | top  1. [13.26],23-,
25,SASHA,DIGIULIAN,USA,54-  22. | top  1. [14.62],23-,
26,JULIANE,WURM,GER,47-  25. | top  1. [15.56],23-,
27,CECILE,AVEZOU,FRA,47-  25. | 42   23. [24.48],,
28,KATHERINE,CHOONG,SUI,54+  16. | 34+  36. [25.99],,
29,OLGA,BIBIK,RUS,42+  30. | 42   23. [26.55],,
30,PAIGE,CLAASSEN,USA,30+  36. | 43   22. [28.34],,
31,OLENA,OSTAPENKO,UKR,46-  27. | 36-  25. [28.72],,
32,INES,DULL-KRETSCHMER,GER,39-  31. | 36-  25. [30.50],,
33,ANDREA BRIGITTA,SZEKELY,HUN,37+  32. | 36-  25. [31.22],,
33,EMELINE,THOMAS,FRA,37+  32. | 36-  25. [31.22],,
35,BERTA,MARTIN SANCHO,ESP,35-  34. | 36-  25. [32.17],,
36,SARA,AVOSCAN,ITA,44+  29. | 34+  36. [32.53],,
37,GALINA,TERENTEVA,RUS,26+  42. | 36-  25. [35.50],,
38,HELENA,ALEMAN SOBRINO,ESP,35-  34. | 26-  41. [37.84],,
39,ANDREA,CARTAS BARRERA,ESP,27+  39. | 29+  39. [39.25],,
40,HANNARAI,SONG,KOR,27-  41. | 34   38. [39.47],,
41,ANNA,TSYGANOVA,RUS,27+  39. | 28+  40. [39.75],,
42,MAGALI,HAYEN,BEL,30-  38. | 21-  44. [40.89],,
43,MONIKA,PIASECKA,POL,22+  45. | 26-  41. [43.45],,
44,ITZIAR,RODRÍGUEZ MENARQEZ,ESP,22+  45. | 22-  43. [44.23],,
45,TYLER,YOUNGWERTH,USA,25+  43. | 20+  45. [44.24],,
46,JESSE,YOUNGWERTH,USA,25+  43. | 12-  47. [45.46],,
47,MARTA,SAVKINA,RUS,22-  47. | 20   46. [46.50],,
