Rank,Name,,Country,Qualification,Semi-Final,Final
1,JAIN,KIM,KOR,top  1. | top  1. [12.96],top,47+
2,MAJA,STREMFELJ,SLO,top  1. | top  1. [12.96],38-,47+
3,MINA,MARKOVIC,SLO,top  1. | top  1. [12.96],38,46-
4,MURIEL,SARKANY,BEL,top  1. | top  1. [12.96],38-,46-
5,JOHANNA,ERNST,AUT,top  1. | top  1. [12.96],38-,45
6,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [12.96],38,45-
7,CHARLOTTE,DURIF,FRA,top  1. | top  1. [12.96],38-,45-
7,YUKA,KOBAYASHI,JPN,top  1. | top  1. [12.96],38-,45-
7,AKIYO,NOGUCHI,JPN,top  1. | top  1. [12.96],38-,45-
10,FLORENCE,PINET,FRA,top  1. | top  1. [12.96],43+,43+
11,ANGELA,EITER,AUT,top  1. | top  1. [12.96],38,43
12,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [12.96],36+,
13,YANA,CHERESHNEVA,RUS,top  1. | top  1. [12.96],36,
14,BARBARA,BACHER,AUT,top  1. | top  1. [12.96],36-,
14,ALIZÉE,DUFRAISSE,FRA,top  1. | top  1. [12.96],36-,
14,NATALIJA,GROS,SLO,top  1. | top  1. [12.96],36-,
17,JULIANE,WURM,GER,top  1. | top  1. [12.96],33-,
18,CECILE,AVEZOU,FRA,top  1. | top  1. [12.96],32+,
18,ALEXANDRA,EYER,SUI,top  1. | top  1. [12.96],32+,
18,NELLY,KUDROVA,CZE,top  1. | top  1. [12.96],32+,
21,SEURAN,HAN,KOR,top  1. | top  1. [12.96],30,
22,MATHILDE,BRUMAGNE,BEL,60-  24. | top  1. [18.33],29,
23,JENNY,LAVARDA,ITA,top  1. | top  1. [12.96],25,
24,LUCIE,HROZOVA,CZE,58   26. | top  1. [19.26],23,
25,ASJA,GOSAR,SLO,58+  25. | top  1. [18.71],22+,
26,EVGENIIA,MALAMID,RUS,top  1. | top  1. [12.96],,
27,MALGORZATA,KUSZTELAK,POL,54   28. | top  1. [19.80],,
28,ZUZANA,CINTALOVA,SVK,58   26. | 80+  28. [27.24],,
29,SONA,HNIZDILOVA,CZE,54-  29. | 56-  30. [29.50],,
30,OLENA,OSTAPENKO,UKR,52+  30. | 78   29. [29.98],,
31,AGATA,MODRZEJEWSKA,POL,52+  30. | 50+  31. [31.25],,
32,HELENA,LIPENSKA,CZE,52+  30. | 50   33. [31.98],,
33,SILVIE,RAJFOVA,CZE,48   33. | 50+  31. [32.24],,
