Rank,Name,,Country,Qualification,Semi-Final,Final
1,PATXI,USOBIAGA LAKUNZA,ESP,top  1. | top  1. [12.71],top,48-
2,SACHI,AMMA,JPN,top  1. | top  1. [12.71],29.5-,42+
3,DAVID,LAMA,AUT,top  1. | top  1. [12.71],28.5+,41
4,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [12.71],28.5+,40-
5,ADAM,ONDRA,CZE,top  1. | top  1. [12.71],33-,38-
6,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [12.71],31+,28
7,MANUEL,ROMAIN,FRA,top  1. | top  1. [12.71],top,21
8,THOMAS,TAUPORN,GER,top  1. | top  1. [12.71],29.5-,19-
9,GAUTIER,SUPPER,FRA,top  1. | top  1. [12.71],28.5-,
9,JORG,VERHOEVEN,NED,top  1. | top  1. [12.71],28.5-,
11,JAKOB,SCHUBERT,AUT,top  1. | top  1. [12.71],28-,
12,CÉDRIC,LACHAT,SUI,top  1. | top  1. [12.71],26-,
12,SEAN,MCCOLL,CAN,top  1. | top  1. [12.71],26-,
12,SANGWON,SON,KOR,top  1. | top  1. [12.71],26-,
15,MAGNUS,MIDTBOE,NOR,top  1. | top  1. [12.71],25+,
16,AURÉLIEN,CULVER,FRA,top  1. | 36-  30. [22.77],25-,
17,FLAVIO,CRESPI,ITA,top  1. | 36   27. [21.82],23,
18,FLAVIEN,GUERIMAND,FRA,top  1. | 37-  20. [19.12],23-,
19,KAZUMA,WATANABE,JPN,top  1. | 37-  20. [19.12],22-,
20,FABIEN,DUGIT,FRA,top  1. | 36-  30. [22.77],22-,
21,STANISLAV,POPLAVSKIY,RUS,top  1. | 34+  36. [24.74],22-,
22,THOMAS,BALLET,FRA,top  1. | 37-  20. [19.12],21.5,
23,VALERIY,KRYUKOV,UKR,top  1. | top  1. [12.71],21,
24,ALEXANDER,MEGOS,GER,top  1. | 35-  34. [24.22],21-,
25,MARIO,LECHNER,AUT,top  1. | top  1. [12.71],19-,
26,IVAN,KAUROV,RUS,top  1. | 35-  34. [24.22],16-,
27,MARCO ANTONIO,JUBES ANGARITA,ESP,top  1. | 32   38. [25.42],,
28,GABOR,SZEKELY,HUN,top  1. | 32-  39. [25.91],,
29,KLEMEN,BECAN,SLO,6   72. | top  1. [26.15],,
30,GABRIELE,MORONI,ITA,top  1. | 29+  44. [27.35],,
31,IZIDOR,ZUPAN,SLO,top  1. | 29   45. [27.96],,
32,JACOPO,LARCHER,ITA,top  1. | 29-  48. [28.71],,
33,EMMANUEL,LOPEZ,FRA,27+  43. | 39-  19. [29.88],,
34,JAN,HOJER,GER,top  1. | 25-  55. [30.72],,
35,MATEJ,SOVA,SLO,top  1. | 24-  57. [31.26],,
36,FABIEN,COMINA,FRA,27+  43. | 37-  20. [31.79],,
37,MIKHAIL,CHERNIKOV,RUS,28-  40. | 36+  24. [32.02],,
38,CESAR,GROSSO,BRA,31-  34. | 35   32. [33.24],,
39,ERIC,LOPEZ MATEOS,ESP,28-  40. | 36   27. [33.88],,
40,HYUNBIN,MIN,KOR,27+  43. | 36+  24. [34.28],,
40,JIHWAN,PARK,KOR,27+  43. | 36+  24. [34.28],,
42,DIEGO MARTÍN,MARSELLA PRADO,ARG,27+  43. | 36   27. [36.28],,
43,MATHIEU,BOUYOUD,FRA,29   38. | 33+  37. [37.50],,
44,MAGNUS,HÖGSTRÖM,SWE,30+  35. | 30+  41. [37.88],,
45,FRANCOIS,KAISER,FRA,27+  43. | 35   32. [39.08],,
46,NICOLA,DE MATTIA,ITA,29+  37. | 29   45. [41.26],,
47,REMY,BERGASSE,FRA,28-  40. | 30-  42. [41.74],,
48,GABRIEL,JOSSERON,FRA,29-  39. | 27+  52. [45.03],,
49,YURIY,DZYUBYAK,UKR,26-  53. | 32-  39. [45.97],,
50,VICTOR,ESTELLER OCAÑA,ESP,30   36. | 21   64. [48.37],,
51,URBAN,PRIMOZIC,SLO,27+  43. | 28+  50. [48.48],,
52,BENJAMIN,BLASER,SUI,23-  57. | 30-  42. [50.07],,
53,MARTIN,JAGGI,SUI,27+  43. | 25-  55. [51.07],,
54,JURE,BECAN,SLO,23-  57. | 29   45. [52.10],,
55,PIOTR,BUNSCH,POL,27-  52. | 27   53. [52.50],,
56,FELIPE,CAMARGO,BRA,27+  43. | 22-  62. [54.20],,
57,RUDI,MORODER,ITA,23-  57. | 25   54. [56.44],,
58,STEFANO,GHISOLFI,ITA,20+  63. | 28   51. [56.68],,
59,TOMAS MIDTUN,TOBIASSEN,NOR,15-  68. | 29-  48. [57.43],,
60,NICKY,DE LEEUW,NED,26-  53. | 22-  62. [57.83],,
61,ROBIN,GRAY,GER,25   56. | 23-  60. [58.21],,
62,ERIK,GRANDELIUS,SWE,23-  57. | 24-  57. [58.25],,
63,EIRIK BIRKELUND,OLSEN,NOR,23-  57. | 23   59. [59.00],,
64,MANUEL,CORETTI,ITA,25+  55. | 21   64. [59.79],,
65,ERIK,CARLSSON,SWE,22-  62. | 23-  60. [61.25],,
66,THIBAUT,MAURON,SUI,18-  64. | 21   64. [64.75],,
67,DIEGO LUIS,GONZÁLEZ,MEX,17+  66. | 19-  67. [66.75],,
68,PAVLO,VEKLA,UKR,18-  64. | 17-  68. [66.95],,
69,JÜRGEN,REIS,AUT,17+  66. | 17-  68. [67.98],,
70,ZORBEY,AKTUYUN,TUR,9-  69. | 17-  68. [69.25],,
71,UGUR,YILMAZ,TUR,8   70. | 17-  68. [69.75],,
72,AKIN,TASKIRAN,TUR,8-  71. | 15-  72. [71.50],,
