Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,top  1. | top  1. [8.25],top,26-
2,NATALIJA,GROS,SLO,top  1. | top  1. [8.25],42,26-
3,YANA,CHERESHNEVA,RUS,top  1. | top  1. [8.25],39-,26-
4,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [8.25],42-,19-
5,ANGELA,EITER,AUT,top  1. | top  1. [8.25],43-,15-
6,YUKA,KOBAYASHI,JPN,top  1. | top  1. [8.25],42-,15-
7,FLORENCE,PINET,FRA,35-  16. | top  1. [12.02],40,15-
8,MURIEL,SARKANY,BEL,33+  25. | top  1. [15.01],38+,0
9,ALEXANDRA,EYER,SUI,35-  16. | 38-  22. [19.56],38+,
10,AKIYO,NOGUCHI,JPN,top  1. | top  1. [8.25],38,
11,EVGENIIA,MALAMID,RUS,top  1. | top  1. [8.25],38-,
12,CHARLOTTE,DURIF,FRA,top  1. | 41-  18. [12.00],37,
13,ASJA,GOSAR,SLO,top  1. | top  1. [8.25],35,
13,MAJA,STREMFELJ,SLO,top  1. | top  1. [8.25],35,
15,BETTINA,SCHÖPF,AUT,top  1. | 39+  21. [12.96],35-,
16,ALIZÉE,DUFRAISSE,FRA,34   19. | 41   17. [18.21],35-,
17,BARBARA,BACHER,AUT,33+  25. | 40-  19. [22.73],35-,
18,JENNY,LAVARDA,ITA,28-  41. | top  1. [19.12],34,
19,MINA,MARKOVIC,SLO,34-  21. | 35-  27. [24.65],34-,
20,JAIN,KIM,KOR,top  1. | top  1. [8.25],33,
21,SARA,AVOSCAN,ITA,35-  16. | 32-  34. [24.04],33,
22,CHRISTINE,SCHRANZ,AUT,34   19. | top  1. [12.87],33-,
23,HÉLÈNE,JANICOT,FRA,33+  25. | 40-  19. [22.73],31,
24,KATHERINE,CHOONG,SUI,top  1. | 36   26. [14.42],29-,
25,JULIANE,WURM,GER,top  1. | 38-  22. [13.42],24-,
26,SEURAN,HAN,KOR,33+  25. | top  1. [15.01],9-,
27,CECILE,AVEZOU,FRA,34-  21. | 34   28. [26.20],,
27,EMELINE,THOMAS,FRA,34-  21. | 34   28. [26.20],,
29,MARINE,THÉVENET,FRA,29-  32. | 36+  25. [29.37],,
30,MATHILDE,BRUMAGNE,BEL,33   29. | 34   28. [30.00],,
31,MATHILDE,COUCHOT,FRA,28-  41. | 37-  24. [32.12],,
32,STEPHANIE,TRABER,FRA,29-  32. | 34   28. [32.44],,
33,KSENIIA,ALEKSEEVA,RUS,34-  21. | 26   50. [33.54],,
34,MANUELA,SIGRIST,SUI,32   31. | 30   36. [33.64],,
35,SABINE,BACHER,AUT,29-  32. | 31   35. [34.75],,
36,NIKKI,VAN BERGEN,NED,29-  32. | 30   36. [35.49],,
37,PAIGE,CLAASSEN,USA,28-  41. | 34   28. [36.21],,
37,CELINE,FERGEAU,FRA,28-  41. | 34   28. [36.21],,
39,INES,DULL-KRETSCHMER,GER,33   29. | 27-  46. [36.84],,
40,ALEXANDRA,LADURNER,ITA,29-  32. | 28.5   44. [38.96],,
41,JULIA,SERRIÈRE,FRA,28+  38. | 29   39. [39.49],,
42,ANDREA,CARTAS BARRERA,ESP,29-  32. | 26.5+  47. [40.27],,
43,LUISA,NEUMÄRKER,GER,28-  41. | 30-  38. [40.42],,
44,HANNAH,MIDTBOE,NOR,28   40. | 29-  43. [41.47],,
45,EMELINE,TESO,FRA,28+  38. | 26.5-  49. [43.43],,
46,HANNARAI,SONG,KOR,27   46. | 29   39. [43.63],,
46,MANUELA,VALSECCHI,ITA,27   46. | 29   39. [43.63],,
48,JESSICA,FAURE,FRA,25-  51. | 29   39. [45.67],,
49,LUCIE,HROZOVA,CZE,25   50. | 28   45. [47.43],,
50,ZOË,MAIRE,SUI,27   46. | 26.5   48. [47.50],,
51,MAGALI,HAYEN,BEL,26   49. | 24+  51. [49.99],,
52,JANINE,CARDOSO,BRA,25-  51. | 15-  55. [53.46],,
53,EVREN,KARADAĞ,TUR,19-  55. | 20   52. [53.48],,
54,ADELINE,EUVRARD,FRA,24-  53. | 18-  54. [53.50],,
55,GURGEL,OZVER,TUR,14+  58. | 19.5-  53. [55.44],,
56,ANDREA BRIGITTA,SZEKELY,HUN,21+  54. | 11+  57. [55.48],,
57,GAMEZ,CIRIK,TUR,16-  56. | 15-  55. [56.00],,
58,MAGNHILD,OEFSTI,NOR,16-  56. | 8-  58. [57.25],,
