Rank,Name,,Country,Qualification,Final
1,EVGENII,VAITSEKHOVSKII,RUS,8.060,7.35
2,SERGEI,SINITCYN,RUS,7.680,7.75
3,LIBOR,HROZA,CZE,8.090,7.94
4,TOMASZ,OLEKSY,POL,8.740,8.18
5,CSABA,KOMONDI,HUN,8.350,7.93
6,SERGEY,ABDRAKHMANOV,RUS,8.830,8.28
7,LUKASZ,SWIRK,POL,8.850,8.48
8,JEDRZEJ,KOMOSINSKI,POL,9.100,fall
9,LUCAS,PRETI,ITA,9.790,9.11
10,STANISLAV,KOKORIN,RUS,9.040,9.22
11,LEONARDO,GONTERO,ITA,12.640,11.10
12,MICHEL,SIROTTI,ITA,9.320,11.47
13,STEFANO,GHISOLFI,ITA,13.570,11.80
14,GYULA,JUHASZ,HUN,14.450,14.60
15,THOMAS,DUPIN,FRA,12.200,fall
16,SALAH,BOULBAHAIEM,BEL,16.740,
16,YOANN,LE COUSTER,FRA,16.740,
18,MACIEJ,KALITA,POL,fall,
