Rank,Name,,Country,Qualification,Semi-Final,Final
1,KILIAN,FISCHHUBER,AUT,5t8 5b8,4t14 4b11,4t8 4b7
2,GABRIELE,MORONI,ITA,3t3 5b7,4t9 4b8,2t2 2b2
3,STÉPHAN,JULIEN,FRA,4t6 4b4,3t5 4b8,2t2 2b2
4,RUSTAM,GELMANOV,RUS,5t8 5b6,4t5 4b4,2t4 3b7
5,KLEMEN,BECAN,SLO,2t4 4b10,4t14 4b8,1t1 3b3
6,EDWARD,FEEHALLY,GBR,3t4 4b7,3t7 3b7,1t1 2b2
7,GUILLAUME,GLAIRON MONDET,FRA,2t5 4b11,3t9 4b9,
8,FRANCOIS,KAISER,FRA,4t4 5b9,3t11 4b11,
9,LUKAS,ENNEMOSER,AUT,4t9 5b9,3t12 3b5,
10,LUCAS,PRETI,ITA,3t8 5b5,3t14 3b12,
11,MYKHAYLO,SHALAGIN,UKR,4t8 4b5,2t2 4b4,
12,JERNEJ,KRUDER,SLO,4t6 4b5,2t3 3b4,
13,TSUKURU,HORI,JPN,4t5 5b7,2t5 4b17,
14,DIDIER,HOARAU,FRA,2t4 3b4,2t7 3b5,
15,JORG,VERHOEVEN,NED,5t9 5b5,1t1 2b2,
16,TIMO,TAK,NED,3t3 3b3,1t2 3b4,
17,DANIEL,ANDERSSON,SWE,2t4 4b6,0t 3b5,
17,FERDINAND,SCHULTE,NED,2t3 3b7,0t 3b5,
19,WOUTER,JONGENEELEN,NED,5t7 5b7,0t 3b9,
20,KEITA,MOGAKI,JPN,2t5 4b7,0t 2b2,
21,NICKY,DE LEEUW,NED,3t4 4b9,,
21,MARKUS,HOPPE,GER,2t5 3b4,,
23,ROLANDS,RUGENS,LAT,3t4 3b4,,
23,PETER,WÜRTH,GER,2t7 3b12,,
25,DAVID,BARRANS,GBR,2t10 5b13,,
25,SEAN,MCCOLL,CAN,3t5 4b5,,
27,CASPER,TEN SIJTHOFF,NED,2t10 4b13,,
27,STEWART,WATSON,GBR,3t6 3b4,,
29,RICARDO,DE LEEUW,NED,3t7 4b6,,
29,JAHA,KIM,KOR,1t1 4b7,,
31,BASTIEN,GERLAND,FRA,3t7 3b5,,
31,MICHIEL,NIEUWENHUIJSEN,NED,1t1 3b4,,
33,NICOLAS,FARCY,BEL,3t7 3b6,,
33,STANISLAV,KLESHNOV,UKR,1t1 3b6,,
35,JONAS,BAUMANN,GER,2t2 4b4,,
35,JOACKYM,RAMSAMY,FRA,1t2 4b10,,
37,BENOIT,HEINTZ,FRA,1t2 3b5,,
37,ONDREJ,SVUB,SVK,2t4 3b6,,
39,JULIEN,MERAL,FRA,2t5 5b14,,
39,BLAZ,RANT,SLO,1t2 3b6,,
41,JOAKIM,BERGLUND,SWE,1t2 1b1,,
41,DAVID,MASON,GBR,1t1 3b6,,
43,ARIC,MERZ,GER,1t3 2b4,,
43,DENNIS,TEIJSSE,NED,1t1 2b3,,
45,KEVIN,LOPATA,FRA,1t2 3b5,,
45,MATEJ,SVUB,SVK,1t4 2b4,,
47,ADAM,JEEWOOTH,GBR,0t 3b5,,
47,CLAUDIU,MIU,ROU,0t 3b7,,
49,LOÏC,GAIDIOZ,FRA,0t 3b8,,
49,BOGDAN,MICU,ROU,0t 2b8,,
51,GEORGE,MARIS,ROU,0t 1b1,,
51,SANGWON,SON,KOR,0t 2b3,,
51,BART,VAN RAAIJ,NED,0t 2b3,,
54,ALEXANDER,LEDOVSKIKH,UKR,0t 1b4,,
54,PANAYIOTIS,SOTIRIS,GRE,0t 1b4,,
56,BASTIEN,GLAIRON MONDET,FRA,0t 2b4,,
57,JONATHAN,PARTRIDGE,GBR,0t 2b6,,
58,JESSE,VAN DER WERF,NED,0t 1b3,,
59,SILVIU,CORCIOVEI,ROU,0t 0b,,
59,BJÖRN,STRÖMBERG,SWE,0t 0b,,
