Rank,Name,,Country,Qualification,Semi-Final,Final
1,AKIYO,NOGUCHI,JPN,5t5 5b5,2t5 4b6,3t4 4b6
2,NATALIJA,GROS,SLO,5t5 5b5,3t4 4b7,3t5 4b8
3,OLGA,SHALAGINA,UKR,5t7 5b5,3t7 4b9,2t2 4b6
4,CHLOÉ,GRAFTIAUX,BEL,4t6 5b5,3t6 4b5,2t3 4b8
5,CECILE,AVEZOU,FRA,5t5 5b5,2t3 4b6,1t1 1b1
6,ALIZÉE,DUFRAISSE,FRA,5t6 5b5,2t4 4b4,0t 1b1
7,ALEXANDRA,BALAKIREVA,RUS,5t9 5b6,2t5 4b7,
8,ANNE-LAURE,CHEVRIER,FRA,4t4 5b6,1t1 4b4,
9,THERESE,JOHANNESEN,NOR,4t4 4b4,1t1 4b6,
10,ANNA,STÖHR,AUT,5t9 5b7,1t1 4b7,
11,MELISSA,LE NEVE,FRA,4t4 5b6,1t1 4b8,
12,KATJA,VIDMAR,SLO,4t5 5b6,1t1 3b9,
13,EMILIE,VERDIER,FRA,5t5 5b5,1t2 4b10,
14,MINA,MARKOVIC,SLO,5t6 5b5,1t2 4b13,
15,DIANE,MERRICK,GBR,4t5 5b6,1t2 3b8,
16,KATHARINA,SAURWEIN,AUT,4t4 5b5,1t3 3b11,
17,HANNAH,MIDTBOE,NOR,4t5 4b4,0t 3b6,
18,NIKKI,VAN BERGEN,NED,5t10 5b7,0t 3b7,
19,YULIA,ABRAMCHUK,RUS,5t6 5b6,0t 2b2,
20,SABINE,BACHER,AUT,4t4 4b4,0t 2b4,
21,CLEMENTINE,KAISER,FRA,4t5 4b5,,
21,MÉLANIE,SANDOZ,FRA,4t7 5b7,,
23,BARBARA,BACHER,AUT,3t4 4b4,,
23,JAIN,KIM,KOR,4t6 5b5,,
25,MAUD,ANSADE,FRA,3t3 5b5,,
25,LEAH,CRANE,GBR,3t6 4b5,,
27,MANON,CHAPET,FRA,3t6 4b8,,
27,MINA,LESLIE-WUJASTYK,GBR,3t3 5b8,,
29,MARIANNE,VERHAGE,NED,3t4 3b3,,
29,VERA,ZIJLSTRA,NED,2t2 4b7,,
31,MATHILDE,BECERRA,FRA,2t3 3b4,,
31,ELINE,NAS,NED,2t5 5b8,,
33,MAGALI,HAYEN,BEL,2t8 4b11,,
33,ROELIEN,VAN DE VRIE,NED,1t1 3b3,,
35,RAELENE,COWIE,GBR,1t1 3b4,,
35,MARTA,SAVKINA,RUS,1t6 2b7,,
37,MARIE LINE,MADELAINE,FRA,0t 1b7,,
38,ELEANOR,GLENNIE,GBR,0t 0b,,
