Rank,Name,,Country,Qualification,Semi-Final,Final
1,KILIAN,FISCHHUBER,AUT,5t5 5b5,2t2 3b3,2t2 3b3
2,GABRIELE,MORONI,ITA,5t7 5b7,2t2 2b2,2t3 3b6
3,ADAM,ONDRA,CZE,5t9 5b9,2t2 3b6,2t6 4b8
4,LUCAS,PRETI,ITA,5t12 5b11,2t2 3b4,1t1 4b11
5,MYKHAYLO,SHALAGIN,UKR,4t5 5b5,3t10 3b7,1t1 3b4
6,GUILLAUME,GLAIRON MONDET,FRA,5t13 5b12,2t2 3b6,1t2 3b7
7,DAVID,LAMA,AUT,4t4 4b4,2t3 4b8,
8,CÉDRIC,LACHAT,SUI,5t7 5b7,2t3 3b7,
9,SEAN,MCCOLL,CAN,5t10 5b8,2t3 2b3,
10,DANIEL,WOODS,USA,4t7 4b4,2t4 4b14,
11,RUSTAM,GELMANOV,RUS,4t4 4b4,2t4 3b3,
11,JORG,VERHOEVEN,NED,4t7 4b5,2t4 3b3,
13,ALEKSEY,RUBTSOV,RUS,5t16 5b15,2t5 3b3,
14,LUKAS,ENNEMOSER,AUT,5t10 5b8,2t5 2b3,
15,REMO,SOMMER,SUI,4t7 4b4,2t7 3b8,
16,JULIEN,MERAL,FRA,4t6 5b10,1t1 2b2,
17,MARIO,LECHNER,AUT,4t6 4b5,1t2 2b3,
18,MARTIN,JAGGI,SUI,4t8 4b6,1t2 2b4,
19,DAVID,BARRANS,GBR,4t4 4b4,1t2 2b5,
20,DMITRII,SHARAFUTDINOV,RUS,5t11 5b10,1t4 2b4,
21,BASTIEN,GERLAND,FRA,4t5 4b4,,
21,JAKOB,SCHUBERT,AUT,4t9 5b10,,
21,PETER,WÜRTH,GER,4t5 4b4,,
24,BRUNO,MACIAS MATUTANO,ESP,4t10 5b7,,
25,KLEMEN,BECAN,SLO,4t6 5b7,,
25,MIKHAIL,CHERNIKOV,RUS,4t11 4b6,,
27,CHRISTIAN,CORE,ITA,4t8 5b8,,
27,NICKY,DE LEEUW,NED,4t8 5b8,,
27,FRANCOIS,KAISER,FRA,3t3 4b4,,
30,MARTIN,STRANIK,CZE,3t3 4b5,,
31,JONAS,BAUMANN,GER,3t4 4b4,,
31,GARETH,PARRY,GBR,3t4 4b4,,
31,GÉROME,POUVREAU,FRA,3t4 4b4,,
31,STEWART,WATSON,GBR,4t11 5b12,,
35,YURY,NOVITSKIY,RUS,3t4 5b11,,
36,OLIVIER,HEQUIN,FRA,3t4 4b4,,
37,STEFAN,DANKER,GER,3t4 4b5,,
37,KEVIN,HEMUND,SUI,3t4 4b5,,
37,KEITA,MOGAKI,JPN,3t4 4b5,,
40,ARIC,MERZ,GER,3t6 4b10,,
41,NICCOLO',CERIA,ITA,3t4 4b7,,
41,JERNEJ,KRUDER,SLO,3t6 3b3,,
43,LOÏC,GAIDIOZ,FRA,3t5 5b11,,
43,MARKUS,HOPPE,GER,3t7 4b7,,
45,BENOIT,HEINTZ,FRA,3t6 4b6,,
45,KORNELIUS,OBLEITNER,AUT,3t7 4b8,,
47,MANUEL,CORETTI,ITA,3t8 4b4,,
47,ALEXANDER,SHOPRIN,RUS,3t6 4b7,,
49,EDWARD,FEEHALLY,GBR,3t8 4b7,,
49,EMANUEL,MOOSBURGER,AUT,3t7 4b6,,
51,ERIC,LOPEZ MATEOS,ESP,2t2 4b6,,
51,TIMO,TAK,NED,2t2 4b4,,
53,MICHELE,CAMINATI,ITA,2t2 4b6,,
53,BRUNO,VACKA,CRO,2t3 5b5,,
56,BENJAMIN,BLASER,SUI,2t3 4b5,,
56,NEJC,CUJES,SLO,2t3 4b5,,
56,JACOPO,LARCHER,ITA,2t2 4b10,,
59,FRANZ,SCHMIDTLEIN,GER,2t2 3b3,,
60,STÉPHAN,JULIEN,FRA,2t3 4b5,,
60,JOACKYM,RAMSAMY,FRA,2t3 4b7,,
62,OLIVIER,LEBRETON,FRA,2t4 4b6,,
62,FERDINAND,SCHULTE,NED,2t3 4b9,,
64,PHILIPPE,ALLENSPACH,SUI,2t3 2b2,,
64,REMI,SAMYN,FRA,2t4 4b10,,
64,MATEJ,SVUB,SVK,2t3 2b2,,
67,ALEXANDR,NIKOLAEV,RUS,1t1 4b5,,
68,ADAM,JEEWOOTH,GBR,1t1 4b8,,
68,ONDREJ,NEVELIK,CZE,2t4 4b11,,
70,MARC,EDWARDS,AUS,1t1 3b4,,
70,JONATHAN,PARTRIDGE,GBR,2t7 3b5,,
72,JUERGEN,MOOSBRUGGER,AUT,1t1 3b6,,
72,NICOLAI,SCHAFFARCZIK,GER,1t2 3b4,,
74,DMITRY,SARAPAEV,RUS,1t3 4b13,,
74,BJÖRN,STRÖMBERG,SWE,1t1 3b9,,
76,BLAZ,RANT,SLO,1t4 4b10,,
76,JURAJ,REPAN,SVK,1t1 2b2,,
78,ONDREJ,SVUB,SVK,1t2 2b3,,
79,KEITH,BRADBURY,GBR,0t 2b9,,
