Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,top  1. | top  1. [10.68],top,top
2,ANGELA,EITER,AUT,top  1. | top  1. [10.68],47,top
3,ALIZÉE,DUFRAISSE,FRA,top  1. | top  1. [10.68],47-,40-
4,JAIN,KIM,KOR,top  1. | top  1. [10.68],48.5,39-
5,MAJA,STREMFELJ,SLO,top  1. | top  1. [10.68],top,36
6,YUKA,KOBAYASHI,JPN,top  1. | top  1. [10.68],46+,32-
7,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [10.68],48-,31
8,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [10.68],46+,23+
9,ALEXANDRA,EYER,SUI,top  1. | top  1. [10.68],44,
10,MURIEL,SARKANY,BEL,top  1. | top  1. [10.68],43,
11,FLORENCE,PINET,FRA,35+  26. | top  1. [15.72],42.5+,
12,EVGENIIA,MALAMID,RUS,top  1. | top  1. [10.68],42.5,
13,YANA,CHERESHNEVA,RUS,top  1. | top  1. [10.68],42,
13,MINA,MARKOVIC,SLO,top  1. | top  1. [10.68],42,
15,NATALIJA,GROS,SLO,top  1. | top  1. [10.68],40-,
16,ASJA,GOSAR,SLO,top  1. | 38-  20. [15.68],40-,
17,SASHA,DIGIULIAN,USA,top  1. | 32   25. [17.49],39.5,
18,CHARLOTTE,DURIF,FRA,top  1. | top  1. [10.68],39.5-,
19,MELISSA,LE NEVE,FRA,top  1. | 37-  23. [16.61],32-,
20,JENNY,LAVARDA,ITA,36+  24. | top  1. [15.10],31-,
21,SABINE,BACHER,AUT,top  1. | 36-  24. [16.97],31-,
22,BETTINA,SCHÖPF,AUT,top  1. | top  1. [10.68],29,
23,NIKKI,VAN BERGEN,NED,top  1. | 37+  22. [16.25],26-,
24,OLENA,OSTAPENKO,UKR,35   27. | 38-  20. [23.53],22-,
25,BARBARA,BACHER,AUT,top  1. | 24.5   33. [19.90],21+,
26,SARA,AVOSCAN,ITA,top  1. | 29-  28. [18.33],17-,
27,JULIANE,WURM,GER,21-  31. | 39-  19. [24.85],,
28,TIFFANY,HENSLEY,USA,36   25. | 28-  29. [27.16],,
29,PAIGE,CLAASSEN,USA,29+  28. | 29   27. [27.50],,
30,LUISA,NEUMÄRKER,GER,29   29. | 25.5-  31. [29.98],,
31,MATHILDE,COUCHOT,FRA,18   36. | 32   25. [30.72],,
32,ISABELLE,KÖLLE,AUT,21-  31. | 28-  29. [30.96],,
33,OLENA,SHURUBOR,UKR,22-  30. | 22-  36. [32.86],,
34,MANUELA,VALSECCHI,ITA,20   35. | 25   32. [33.47],,
35,INES,DULL-KRETSCHMER,GER,21-  31. | 24   34. [33.49],,
35,SONA,HNIZDILOVA,CZE,21-  31. | 24   34. [33.49],,
37,AMANDA,SPEED,NZL,18   36. | 17-  38. [37.50],,
38,SARAH,GILMOUR,NZL,17   39. | 20   37. [38.47],,
39,SARAH,MATTHEWS,AUS,18   36. | 12+  41. [38.95],,
40,OLIVIA,HOLT,NZL,17   39. | 15   39. [39.50],,
41,CLAIRE,GIBSON,NZL,17   39. | 13-  40. [40.00],,
