Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [6.12],top,47-
2,SACHI,AMMA,JPN,top  1. | top  1. [6.12],44.5-,44
3,JAKOB,SCHUBERT,AUT,top  1. | top  1. [6.12],49-,44-
4,MIKHAIL,CHERNIKOV,RUS,top  1. | 33-  17. [11.94],44,42-
5,KLEMEN,BECAN,SLO,34-  15. | top  1. [8.94],46-,41
6,PATXI,USOBIAGA LAKUNZA,ESP,34-  15. | top  1. [8.94],46-,40+
7,GAUTIER,SUPPER,FRA,top  1. | 34+  13. [10.06],44.5+,37
8,MAGNUS,MIDTBOE,NOR,34-  15. | 35-  11. [13.56],44,37-
9,MANUEL,ROMAIN,FRA,top  1. | top  1. [6.12],44-,
10,DAVID,LAMA,AUT,top  1. | 32-  23. [13.42],44-,
11,THOMAS,TAUPORN,GER,28-  23. | 33-  17. [23.67],44-,
12,HYUNBIN,MIN,KOR,top  1. | 26-  36. [17.54],41+,
13,AKITO,MATSUSHIMA,JPN,28-  23. | 34-  15. [21.04],36+,
14,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [6.12],33-,
15,TATSUMI,NITTA,JPN,top  1. | 32   22. [12.85],31-,
16,FELIX,NEUMÄRKER,GER,31   20. | 27-  32. [25.88],30+,
17,ALEXANDER,SHOPRIN,RUS,top  1. | 33-  17. [11.94],30-,
18,JURE,BECAN,SLO,28-  23. | 33-  17. [23.67],30-,
19,MATEJ,SOVA,SLO,22   60. | top  1. [17.39],28+,
20,KAZUMA,WATANABE,JPN,27-  42. | 33   16. [26.83],28-,
21,SANGWON,SON,KOR,top  1. | 36-  10. [8.66],27+,
22,REMY,BERGASSE,FRA,31-  21. | 33-  17. [19.97],22-,
23,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [6.12],21,
24,FLAVIO,CRESPI,ITA,top  1. | 32-  23. [13.42],20,
25,HIROKI,TSUNODA,JPN,27   41. | 34+  13. [23.53],20,
26,MAGNUS,HÖGSTRÖM,SWE,28-  23. | 32-  23. [26.61],19,
27,NICOLA,DE MATTIA,ITA,29   22. | 27-  32. [27.15],,
28,JERNEJ,KRUDER,SLO,28-  23. | 30   27. [28.22],,
29,EDUARD,MARIN GARCIA,ESP,11+  73. | 35-  11. [28.97],,
30,YURIY,DZYUBYAK,UKR,32-  19. | 24+  52. [31.43],,
31,PAUL,ROBINSON,USA,28-  23. | 27-  32. [31.44],,
32,URBAN,PRIMOZIC,SLO,33+  18. | 24-  55. [32.03],,
33,ERIK,GRANDELIUS,SWE,28-  23. | 26-  36. [34.78],,
33,MAURICIO,HUERTA,MEX,28-  23. | 26-  36. [34.78],,
33,GABRIEL,JOSSERON,FRA,28-  23. | 26-  36. [34.78],,
33,IZIDOR,ZUPAN,SLO,28-  23. | 26-  36. [34.78],,
37,STEFAN,DANKER,GER,27-  42. | 30-  28. [35.81],,
37,HIDEKAZU,ITO,JPN,27-  42. | 30-  28. [35.81],,
39,IGOR,GUSAK,UKR,25-  50. | 31-  26. [36.59],,
40,RUDI,MORODER,ITA,27-  42. | 29-  30. [36.74],,
41,BENJAMIN,BLASER,SUI,28-  23. | 25+  47. [37.43],,
42,MAX,RUDIGIER,AUT,28-  23. | 25-  49. [38.41],,
43,STEWART,WATSON,GBR,28-  23. | 24   53. [39.73],,
44,MARCELLO,BOMBARDI,ITA,27+  37. | 26-  36. [39.73],,
45,MIKHAIL,KOCHETKOV,RUS,28-  23. | 24-  55. [41.01],,
46,STEFANO,GHISOLFI,ITA,27+  37. | 25+  47. [42.76],,
47,IVAN,KAUROV,RUS,27-  42. | 26-  36. [42.95],,
48,NICKY,DE LEEUW,NED,24   55. | 27-  32. [43.12],,
49,JAHA,KIM,KOR,22-  62. | 28-  31. [44.19],,
50,SANDRO,DEUTSCHMANN,AUT,25   49. | 26-  36. [44.82],,
51,GEIR,SÖDERIN,SWE,27+  37. | 24   53. [45.38],,
52,JURE,RAZTRESEN,SLO,27+  37. | 24-  55. [46.85],,
53,MIKHAIL,GOGOL,RUS,24+  54. | 26-  36. [47.05],,
54,MATHIAS,CONRAD,GER,27-  42. | 25-  49. [47.43],,
55,OR,WECHSLER,ISR,23+  58. | 26-  36. [48.76],,
56,STANISLAV,POPLAVSKIY,RUS,25-  50. | 25-  49. [50.74],,
57,KONSTANTIN,SAVELYEV,RUS,22-  62. | 26-  36. [50.82],,
58,MANUEL,CORETTI,ITA,27-  42. | 23   60. [52.82],,
59,ROBIN,GRAY,GER,25-  50. | 23   60. [56.51],,
59,GABOR,SZEKELY,HUN,25-  50. | 23   60. [56.51],,
61,ALEKSEI,SHCHERVIANIN,RUS,24-  57. | 24-  55. [57.00],,
62,PIOTR,BUNSCH,POL,24   55. | 23   60. [58.66],,
63,PAVEL,CHUDINOV,RUS,22   60. | 23   60. [61.25],,
64,EVGENII,ZAZULIN,RUS,20   66. | 24-  55. [61.34],,
65,ERIK,CARLSSON,SWE,23   59. | 23-  65. [62.40],,
66,LUKAS,KÖB,AUT,21+  65. | 23-  65. [65.50],,
67,YANIV,HECHT,ISR,22-  62. | 21-  69. [66.17],,
68,ADAM,SZOLD,ISR,17-  67. | 23-  65. [66.99],,
69,BÁLINT,BURUCS,HUN,17-  67. | 21-  69. [68.75],,
70,PAVLO,VEKLA,UKR,16   70. | 22   68. [68.99],,
71,TAKESHI,ITO,JPN,17-  67. | 13   73. [70.46],,
72,JÜRGEN,REIS,AUT,13-  71. | 15-  71. [71.25],,
73,DÖMÖTÖR,SZÉLL,HUN,12+  72. | 15-  71. [71.75],,
