Rank,Name,,Country,Qualification,Semi-Final,Final
1,MINA,MARKOVIC,SLO,top  1. | top  1. [14.58],41-,38+
2,AKIYO,NOGUCHI,JPN,top  1. | top  1. [14.58],36-,37
3,JOHANNA,ERNST,AUT,top  1. | top  1. [14.58],top,35-
4,YUKA,KOBAYASHI,JPN,top  1. | top  1. [14.58],40+,35-
5,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [14.58],34,35-
6,JAIN,KIM,KOR,top  1. | top  1. [14.58],top,33-
7,CHARLOTTE,DURIF,FRA,top  1. | top  1. [14.58],34,31+
8,MAJA,STREMFELJ,SLO,top  1. | top  1. [14.58],42+,30
9,ANGELA,EITER,AUT,top  1. | top  1. [14.58],45-,26-
10,NATALIJA,GROS,SLO,top  1. | top  1. [14.58],34-,
10,JENNY,LAVARDA,ITA,top  1. | top  1. [14.58],34-,
10,EVGENIIA,MALAMID,RUS,top  1. | top  1. [14.58],34-,
13,ALIZÉE,DUFRAISSE,FRA,top  1. | top  1. [14.58],31-,
14,ALEXANDRA,EYER,SUI,top  1. | top  1. [14.58],30+,
15,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [14.58],29+,
15,JULIANE,WURM,GER,top  1. | top  1. [14.58],29+,
17,MURIEL,SARKANY,BEL,top  1. | top  1. [14.58],27-,
18,BARBARA,BACHER,AUT,top  1. | top  1. [14.58],26-,
18,DINARA,FAKHRITDINOVA,RUS,top  1. | top  1. [14.58],26-,
18,CHRISTINA,SCHMID,SUI,top  1. | top  1. [14.58],26-,
21,YANA,CHERESHNEVA,RUS,top  1. | top  1. [14.58],25+,
21,SEURAN,HAN,KOR,top  1. | top  1. [14.58],25+,
23,FLORENCE,PINET,FRA,top  1. | top  1. [14.58],25,
24,ASJA,GOSAR,SLO,top  1. | 32+  25. [20.62],21-,
25,CECILE,AVEZOU,FRA,top  1. | top  1. [14.58],17-,
26,JESSICA,FAURE,FRA,top  1. | 30-  26. [21.02],16-,
27,SARA,AVOSCAN,ITA,top  1. | 28-  27. [21.82],,
27,KATHERINE,CHOONG,SUI,top  1. | 28-  27. [21.82],,
27,AMANDA,ROHNER,SUI,top  1. | 28-  27. [21.82],,
30,SABINE,BACHER,AUT,top  1. | 27+  30. [22.58],,
31,MATHILDE,BRUMAGNE,BEL,top  1. | 24-  31. [22.96],,
32,ANA,OGRINC,SLO,top  1. | 23   33. [23.86],,
32,OLENA,OSTAPENKO,UKR,top  1. | 23   33. [23.86],,
34,AGATA,MODRZEJEWSKA,POL,20-  35. | 23+  32. [33.70],,
35,MANUELA,VALSECCHI,ITA,24-  34. | 18+  36. [34.99],,
36,VALERI,KREMER,ISR,20-  35. | 20+  35. [35.25],,
37,MARIJA,MILOSAVLJEVIC,SRB,9   37. | 11   37. [37.00],,
