Rank,Name,,Country,Qualification,Semi-Final,Final
1,ADAM,ONDRA,CZE,top  1. | top  1. [3.67],44-,top
2,PATXI,USOBIAGA LAKUNZA,ESP,33-  7. | top  1. [6.00],43+,56-
3,MANUEL,ROMAIN,FRA,top  1. | top  1. [3.67],42-,52+
4,ROMAIN,DESGRANGES,FRA,33-  7. | 37   20. [12.81],43,52
5,KLEMEN,BECAN,SLO,33-  7. | 45   14. [10.58],39+,52-
6,SACHI,AMMA,JPN,29+  16. | top  1. [8.49],39+,51+
7,GAUTIER,SUPPER,FRA,top  1. | top  1. [3.67],41-,49-
8,RAMÓN,JULIAN PUIGBLANQUE,ESP,36   6. | top  1. [5.20],41-,21+
9,DAVID,LAMA,AUT,top  1. | top  1. [3.67],39,
10,EDUARD,MARIN GARCIA,ESP,31   11. | 37   20. [15.02],39,
11,THOMAS,TAUPORN,GER,32   10. | 48   10. [10.00],39-,
12,JAKOB,SCHUBERT,AUT,top  1. | top  1. [3.67],36,
13,FLAVIO,CRESPI,ITA,31-  12. | 46-  13. [13.00],33,
14,JAN,HOJER,GER,29   17. | 36+  23. [19.99],33-,
15,SANGWON,SON,KOR,31-  12. | 47-  12. [12.49],32+,
16,VICTOR,ESTELLER OCAÑA,ESP,25.5-  26. | 36   25. [26.48],29+,
17,ALEXANDER,KALINA,RUS,28-  19. | 49   9. [13.25],27-,
18,JAHA,KIM,KOR,31-  12. | 40+  17. [14.87],27-,
19,MARCO ANTONIO,JUBES ANGARITA,ESP,27+  21. | 48-  11. [15.38],27-,
20,REMY,BERGASSE,FRA,28+  18. | 44   15. [16.43],27-,
21,IVAN,KAUROV,RUS,30-  15. | 37-  22. [18.17],27-,
22,MAGNUS,HÖGSTRÖM,SWE,27+  21. | 43+  16. [18.55],27-,
23,GEIR,SÖDERIN,SWE,25.5-  26. | 36+  23. [25.42],27-,
24,GABRIEL,JOSSERON,FRA,28-  19. | 40   18. [18.73],26.5-,
25,JURE,BECAN,SLO,25+  30. | 40-  19. [24.07],26+,
26,REMO,SOMMER,SUI,25.5+  23. | 36   25. [24.22],26-,
27,JÉRÔME,DE BOECK,BEL,25.5   24. | 28   29. [26.66],,
28,FELIPE,CAMARGO,BRA,25.5   24. | 27-  30. [27.56],,
29,MARTIN,JAGGI,SUI,25.5-  26. | 30   28. [27.75],,
30,TIM,REUSER,NED,25.5-  26. | 27-  30. [29.20],,
31,JURGEN,LIS,BEL,25+  30. | 23-  35. [32.67],,
32,NICKY,DE LEEUW,NED,18   40. | 32-  27. [32.86],,
33,ERIK,CARLSSON,SWE,25-  32. | 23   34. [33.75],,
34,SIEBE,VANHEE,BEL,21-  36. | 27-  30. [33.87],,
35,STEFAN,GERRITSEN,NED,21-  36. | 24   33. [34.94],,
36,NOÉ,BERGER,LUX,25-  32. | 16   38. [35.68],,
37,RAPHAEL,FERNANDEZ,BEL,25-  32. | 15   39. [36.38],,
37,JÜRGEN,REIS,AUT,25-  32. | 15   39. [36.38],,
39,YANNICK,PASQUAZZO,BEL,21-  36. | 17-  37. [37.00],,
40,WANNE,LIBOT,BEL,19   39. | 17   36. [37.47],,
