Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,top  1. | top  1. [8.75],top,top
2,JAIN,KIM,KOR,top  1. | top  1. [8.75],top,top
3,MAJA,STREMFELJ,SLO,top  1. | top  1. [8.75],top,top
4,ANGELA,EITER,AUT,42   18. | top  1. [12.37],56,51+
5,CHARLOTTE,DURIF,FRA,top  1. | top  1. [8.75],55+,51-
6,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [8.75],54-,50+
7,YANA,CHERESHNEVA,RUS,top  1. | top  1. [8.75],52-,44-
8,ALEXANDRA,EYER,SUI,top  1. | top  1. [8.75],51,43-
9,NATALIJA,GROS,SLO,top  1. | top  1. [8.75],45,
9,CHRISTINE,SCHRANZ,AUT,top  1. | top  1. [8.75],45,
11,YUKA,KOBAYASHI,JPN,top  1. | top  1. [8.75],44,
11,MINA,MARKOVIC,SLO,top  1. | top  1. [8.75],44,
13,AKIYO,NOGUCHI,JPN,top  1. | top  1. [8.75],43-,
14,MURIEL,SARKANY,BEL,top  1. | top  1. [8.75],41+,
15,FLORENCE,PINET,FRA,top  1. | 44-  17. [12.37],41,
16,BARBARA,BACHER,AUT,35   23. | top  1. [13.98],40,
17,ASJA,GOSAR,SLO,top  1. | 43+  18. [12.73],40-,
18,JENNY,LAVARDA,ITA,top  1. | 40-  23. [14.54],40-,
19,JULIANE,WURM,GER,top  1. | top  1. [8.75],39-,
20,SEURAN,HAN,KOR,37   22. | 41   19. [20.71],39-,
21,NIKKI,VAN BERGEN,NED,41+  19. | 41-  21. [19.97],31,
22,CECILE,AVEZOU,FRA,38-  21. | 37-  25. [22.91],31,
23,HANNAH,MIDTBOE,NOR,38+  20. | 41   19. [19.75],30+,
24,MALIN,HOLMBERG,SWE,30-  25. | 40-  23. [24.24],29-,
25,JESSICA,FAURE,FRA,25   27. | 30   26. [26.50],29-,
26,MATHILDE,BRUMAGNE,BEL,31   24. | 40+  22. [22.98],19+,
27,MAGALI,HAYEN,BEL,29+  26. | 24+  27. [26.74],,
28,HELENA,ALEMAN SOBRINO,ESP,24+  28. | 24+  27. [27.75],,
