Rank,Name,,Country,Qualification,Semi-Final,Final
1,ALEKSEY,RUBTSOV,RUS,5t12 5b12,3t8 3b3,4t5 4b4
2,RUSTAM,GELMANOV,RUS,5t8 5b8,4t6 4b5,4t6 4b4
3,DAVID,BARRANS,GBR,3t3 4b6,3t7 4b8,4t8 4b6
4,GUILLAUME,GLAIRON MONDET,FRA,4t5 4b5,4t9 4b9,3t3 4b5
5,KILIAN,FISCHHUBER,AUT,5t7 5b6,3t5 4b7,3t4 4b5
6,SEAN,MCCOLL,CAN,4t5 4b4,3t5 3b4,3t4 4b5
7,VICTOR,KOZLOV,RUS,5t7 5b5,3t9 4b10,
8,GABRIELE,MORONI,ITA,3t3 4b4,2t3 3b3,
9,CÉDRIC,LACHAT,SUI,5t10 5b10,2t4 3b3,
10,CHRISTIAN,CORE,ITA,4t11 5b11,2t4 3b9,
11,LOÏC,GAIDIOZ,FRA,3t3 5b6,2t6 3b6,
12,GÉROME,POUVREAU,FRA,3t3 5b7,1t1 4b5,
13,WOUTER,JONGENEELEN,NED,2t3 5b11,1t1 2b2,
14,JONAS,BAUMANN,GER,3t3 5b6,1t2 3b5,
15,BRUNO,MACIAS MATUTANO,ESP,3t3 5b6,1t2 3b6,
16,SALAVAT,RAKHMETOV,RUS,5t7 5b7,1t4 3b6,
17,DANIEL,WOODS,USA,4t4 4b4,1t6 3b10,
18,LUCAS,PRETI,ITA,4t4 4b4,0t 2b2,
19,MYKHAYLO,SHALAGIN,UKR,4t6 5b7,0t 2b3,
20,TSUKURU,HORI,JPN,5t8 5b8,0t 1b2,
21,MARKUS,HOPPE,GER,3t3 4b8,,
21,PATXI,USOBIAGA LAKUNZA,ESP,2t3 4b5,,
23,BLAGOVEST,LAZAROV,BUL,3t3 4b9,,
23,REI,SUGIMOTO,JPN,2t3 3b3,,
25,KEITA,MOGAKI,JPN,3t4 4b5,,
25,TATSUYA,MURAOKA,JPN,2t3 3b4,,
27,JERNEJ,KRUDER,SLO,2t5 5b9,,
27,JORG,VERHOEVEN,NED,3t6 4b7,,
29,MAGNUS,MIDTBOE,NOR,2t5 4b5,,
29,JIHWAN,PARK,KOR,2t2 3b3,,
31,ROLANDS,RUGENS,LAT,2t3 3b7,,
31,SANGWON,SON,KOR,2t7 5b11,,
33,MIKHAIL,CHERNIKOV,RUS,1t1 4b5,,
33,JAHA,KIM,KOR,2t4 4b11,,
35,MAGNUS,HÖGSTRÖM,SWE,1t1 4b6,,
35,MASATOSHI,SUGITA,JPN,1t1 3b9,,
37,KLEMEN,BECAN,SLO,1t2 4b4,,
37,PETER,WÜRTH,GER,1t1 4b7,,
39,NICKY,DE LEEUW,NED,1t1 3b4,,
39,JAN,HOJER,GER,1t2 4b6,,
41,CALLUM,HYLAND,AUS,1t1 3b5,,
41,STÉPHAN,JULIEN,FRA,1t2 3b5,,
43,ERIC,LOPEZ MATEOS,ESP,1t2 3b8,,
43,MATEJ,SVUB,SVK,1t1 3b7,,
45,ADRIAN,BAXTER,GBR,1t3 2b4,,
45,MARTIN,JAGGI,SUI,1t1 3b9,,
47,ARTYOM,DEVYATERIKOV,KAZ,1t3 2b6,,
47,GIORGI,GABULDANI,GEO,1t1 2b2,,
49,CHI-WAI,LAI,HKG,1t2 3b4,,
49,QINGHUA,WANG,CHN,1t4 2b5,,
51,TOMAS,GREKSAK,SVK,0t 3b5,,
51,IVAYLO,RADKOV,BUL,1t2 3b5,,
53,JINYU,PAN,CHN,0t 3b8,,
53,JIACUO,SUOLANG,CHN,1t2 3b7,,
55,CHRISTIAN,BINDHAMMER,GER,1t2 3b9,,
55,YEU-SHIANG,CHANG,TPE,0t 2b2,,
57,JANGHYUK,KIM,KOR,1t2 2b3,,
57,ZIDA,MA,CHN,0t 2b3,,
57,ANDRÉ,NERES,POR,1t2 2b3,,
60,KREŠIMIR,MORIĆ,CRO,0t 2b4,,
61,TONNY,MAMIRI,INA,1t3 1b3,,
61,VILIMANTAS,PETRASIUNAS,LTU,0t 2b6,,
63,KA-WAI,CHU,HKG,0t 1b1,,
63,LUKA,KIVELA,CRO,1t5 2b6,,
63,GEIR,SÖDERIN,SWE,0t 1b1,,
66,SEFTON,PRIESTLEY,NZL,0t 2b2,,
67,SAMSUDING,DOLOH,THA,0t 1b2,,
67,XIANGYANG,YE,CHN,0t 2b7,,
69,ARTEM,AVDEENKO,KGZ,0t 1b2,,
