Rank,Name,,Country,Qualification,Semi-Final,Final
1,YULIA,ABRAMCHUK,RUS,4t5 4b4,3t4 3b4,2t2 4b4
2,OLGA,SHALAGINA,UKR,5t6 5b5,3t6 4b7,1t1 4b7
3,ANNA,STÖHR,AUT,5t8 5b8,4t6 4b4,1t1 3b4
4,MINA,MARKOVIC,SLO,4t5 5b5,4t6 4b5,1t1 3b4
5,AKIYO,NOGUCHI,JPN,4t6 5b5,3t5 3b4,0t 3b3
6,ANNA,GALLYAMOVA,RUS,5t5 5b5,4t6 4b6,0t 1b1
7,OLGA,BIBIK,RUS,4t6 5b7,3t6 4b10,
8,NATALIJA,GROS,SLO,4t5 5b6,3t6 3b6,
9,ALEXANDRA,BALAKIREVA,RUS,3t5 5b5,3t8 4b12,
10,ALEX,JOHNSON,USA,4t5 5b6,2t2 4b4,
11,CHLOÉ,GRAFTIAUX,BEL,3t3 4b4,2t3 4b5,
12,SABINE,BACHER,AUT,3t4 4b5,2t3 3b5,
13,MAUD,ANSADE,FRA,3t4 4b6,2t4 4b4,
14,JENNY,LAVARDA,ITA,4t6 5b9,2t4 2b2,
15,MELISSA,LE NEVE,FRA,4t8 5b8,2t6 4b10,
16,ALEXANDRA,EYER,SUI,5t7 5b6,1t1 3b5,
17,JAIN,KIM,KOR,4t6 5b8,1t1 2b2,
18,MAJA,STREMFELJ,SLO,5t13 5b7,1t3 2b4,
19,LISA,RANDS,USA,4t6 5b8,0t 3b9,
20,CHRISTINA,SCHMID,SUI,3t4 4b6,0t 1b1,
21,YANA,CHERESHNEVA,RUS,3t5 4b4,,
22,KATJA,VIDMAR,SLO,3t6 5b5,,
23,ANNE-LAURE,CHEVRIER,FRA,3t6 3b6,,
24,CECILE,AVEZOU,FRA,3t8 4b8,,
25,BARBARA,BACHER,AUT,2t2 3b3,,
25,HANNAH,MIDTBOE,NOR,2t2 3b3,,
27,EMILIE,VERDIER,FRA,2t2 3b4,,
28,VERA,ZIJLSTRA,NED,2t3 3b3,,
29,ANGELICA,LIND,SWE,2t3 3b4,,
30,PETRA,KLINGLER,SUI,2t3 3b6,,
31,TAMARA,ULZHABAYEVA,KAZ,2t4 5b5,,
32,JULIANE,WURM,GER,2t4 5b10,,
33,SEURAN,HAN,KOR,2t5 5b12,,
34,HARINI,HARINI,INA,1t1 3b3,,
35,ASAKI,HAGIWARA,JPN,1t1 3b6,,
36,CHUNHUA,LI,CHN,1t1 2b3,,
37,PUNTARIKA,TUNYAVANICH,THA,1t1 2b4,,
38,DIANE,MERRICK,GBR,1t2 3b5,,
39,ALIYA,ISKAKOVA,KAZ,1t2 2b3,,
40,SARAH,GILMOUR,NZL,1t2 2b5,,
41,NADEZHDA,BRYAKINA,KAZ,1t2 1b2,,
42,BEATRIX,CHONG,SGP,1t3 3b4,,
43,XUHUA,PAN,CHN,1t3 2b6,,
44,CHARLOTTE,PETERSEN,AUS,1t3 1b1,,
45,HUNG YING,LEE,TPE,1t4 2b4,,
46,HIU YING,LIU,HKG,0t 3b5,,
47,EGLE,KIRDULYTE,LTU,0t 2b3,,
48,HYOJUNG,KIM,KOR,0t 2b4,,
49,SARAH,MATTHEWS,AUS,0t 1b2,,
49,LAMU,RENQING,CHN,0t 1b2,,
51,ANASTASSIYA,BRYAKINA,KAZ,0t 1b4,,
