Rank,Name,,Country,Qualification,Semi-Final,Final
1,JOHANNA,ERNST,AUT,top  1. | top  1. [7.23],41-,top
2,JAIN,KIM,KOR,top  1. | top  1. [7.23],36+,top
3,MAJA,STREMFELJ,SLO,top  1. | top  1. [7.23],36-,35-
4,YUKA,KOBAYASHI,JPN,top  1. | top  1. [7.23],35+,34+
5,ANGELA,EITER,AUT,top  1. | 34-  19. [10.36],31-,33-
6,CAROLINE,CIAVALDINI,FRA,top  1. | top  1. [7.23],31-,32
7,BARBARA,BACHER,AUT,39-  17. | top  1. [12.71],30+,30+
8,AKIYO,NOGUCHI,JPN,40-  11. | top  1. [10.90],31-,30
9,OLGA,BIBIK,RUS,37   20. | 32-  23. [21.91],24-,
10,BETTINA,SCHÖPF,AUT,36   21. | top  1. [14.12],23+,
11,JULIANE,WURM,GER,top  1. | top  1. [7.23],23,
12,ALEXANDRA,EYER,SUI,40-  11. | top  1. [10.90],23,
13,YANA,CHERESHNEVA,RUS,38   18. | 31   27. [22.05],23,
14,CHRISTINE,SCHRANZ,AUT,39+  15. | top  1. [11.94],23-,
15,JENNY,LAVARDA,ITA,38-  19. | top  1. [13.44],21,
16,MARINE,THÉVENET,FRA,top  1. | top  1. [7.23],20,
17,CHLOÉ,GRAFTIAUX,BEL,34+  22. | top  1. [14.62],18,
18,MINA,MARKOVIC,SLO,top  1. | top  1. [7.23],17,
19,SABINE,BACHER,AUT,23+  30. | 33+  21. [25.10],17-,
20,JULIA,SERRIÈRE,FRA,29   24. | 32-  23. [24.00],16+,
21,NATALIJA,GROS,SLO,top  1. | top  1. [7.23],16-,
22,CHARLOTTE,DURIF,FRA,39   16. | top  1. [12.33],15-,
23,FLORENCE,PINET,FRA,40-  11. | 34-  19. [15.61],15-,
24,MURIEL,SARKANY,BEL,34+  22. | top  1. [14.62],13,
25,EVGENIIA,MALAMID,RUS,40-  11. | 30-  28. [18.87],13-,
26,CHRISTINA,SCHMID,SUI,24-  29. | 32+  22. [25.26],13-,
27,LUCIE,HROZOVA,CZE,26+  26. | 31+  26. [26.00],,
28,SEURAN,HAN,KOR,27-  25. | 28-  31. [27.84],,
29,KATHERINE,CHOONG,SUI,23-  31. | 32-  23. [27.93],,
30,DINARA,FAKHRITDINOVA,RUS,26   27. | 30-  28. [28.00],,
31,YUKO,SAKAKIBARA,JPN,26   27. | 28+  30. [28.72],,
32,HARINI,HARINI,INA,23-  31. | 26+  34. [33.24],,
33,SAARI,WATANABE,JPN,21-  35. | 27+  32. [33.47],,
34,XUHUA,PAN,CHN,23-  31. | 26   35. [33.73],,
35,HANNAH,MIDTBOE,NOR,23-  31. | 25-  36. [34.21],,
36,IRATI,ANDA VILLANUEVA,ESP,20+  36. | 27-  33. [34.47],,
37,TAMARA,ULZHABAYEVA,KAZ,15   37. | 23+  37. [38.23],,
38,SARAH,GILMOUR,NZL,15   37. | 22   38. [38.74],,
39,PUNTARIKA,TUNYAVANICH,THA,15   37. | 21   40. [39.75],,
40,JANINE,CARDOSO,BRA,15   37. | 21-  41. [40.24],,
41,SARAH,MATTHEWS,AUS,14   44. | 22-  39. [41.42],,
42,LAMU,RENQING,CHN,15   37. | 20-  43. [41.45],,
43,HYOJUNG,KIM,KOR,15   37. | 19-  45. [42.39],,
44,NADEZHDA,BRYAKINA,KAZ,14+  43. | 19-  45. [44.23],,
45,LIUBOV,SHAGINA,RUS,11   48. | 20+  42. [45.13],,
46,ALIYA,ISKAKOVA,KAZ,11+  47. | 20-  43. [45.22],,
47,ANASTASSIYA,BRYAKINA,KAZ,14-  45. | 17+  47. [45.99],,
48,TAMAR,MELADZE,GEO,13-  46. | 14-  49. [47.48],,
49,EGLE,KIRDULYTE,LTU,10+  50. | 15+  48. [48.99],,
50,YULIYA,POPOVA,KAZ,11   48. | 11-  50. [49.24],,
