Rank,Name,,Country,Qualification,Final
1,CUILIAN,HE,CHN,wildcard,-
2,CUIFANG,HE,CHN,2.000,2.00
3,CHUNHUA,LI,CHN,3.000,-
4,EDYTA,ROPEK,POL,4.000,4.00
5,XUHUA,PAN,CHN,5.000,5.00
6,YULIYA,LEVOCHKINA,RUS,6.000,6.00
7,VALENTINA,YURINA,RUS,7.000,7.00
8,OLENA,RYEPKO,UKR,8.000,8.00
9,OLGA,MOROZKINA,RUS,9.000,9.00
10,ANNA,STENKOVAYA,RUS,10.000,10.00
11,HUNG YING,LEE,TPE,11.000,11.00
12,NATALIA,TITOVA,RUS,12.000,12.00
13,KSENIIA,ALEKSEEVA,RUS,13.000,13.00
14,SVITLANA,TUZHYLINA,UKR,14.000,14.00
15,TATIANA,RUYGA,RUS,15.000,15.00
16,LUCIE,HROZOVA,CZE,16.000,16.00
17,DINARA,FAKHRITDINOVA,RUS,17.000,
18,TAMARA,ULZHABAYEVA,KAZ,18.000,
19,DINARA,IRSALIYEVA,KAZ,19.000,
20,YEKATERINA,BOGOLYUBOVA,KGZ,20.000,
21,PETRA,KLINGLER,SUI,21.000,
22,YULIYA,POPOVA,KAZ,22.000,
23,CHLOÉ,GRAFTIAUX,BEL,23.000,
24,YEVGENIYA,SOBOLEVA,KAZ,24.000,
25,OLGA,BIBIK,RUS,25.000,
26,JENNY,LAVARDA,ITA,26.000,
27,ALEXANDRA,EYER,SUI,27.000,
28,CHRISTINA,SCHMID,SUI,28.000,
29,HARINI,HARINI,INA,29.000,
30,ALIYA,ISKAKOVA,KAZ,30.000,
31,AKIYO,NOGUCHI,JPN,31.000,
32,NATALIJA,GROS,SLO,32.000,
33,MINA,MARKOVIC,SLO,33.000,
34,SARAH,GILMOUR,NZL,34.000,
