Rank,Name,,Country,Qualification,Final
1,ANNA,STENKOVAYA,RUS,11.680,11.30
2,EDYTA,ROPEK,POL,12.040,13.21
3,CHUNHUA,LI,CHN,12.030,10.92
4,CUIFANG,HE,CHN,11.640,12.12
5,CUILIAN,HE,CHN,12.530,11.05
6,KSENIIA,ALEKSEEVA,RUS,14.020,11.14
7,LUCELIA,BLANCO,VEN,12.790,12.47
8,ALINA,GAIDAMAKINA,RUS,14.040,14.74
9,YULIYA,LEVOCHKINA,RUS,16.000,11.93
10,SVITLANA,TUZHYLINA,UKR,15.180,12.08
11,VALENTINA,YURINA,RUS,13.560,12.60
12,ANASTASIYA,SAVISKO,UKR,14.940,13.59
13,OLENA,RYEPKO,UKR,13.250,13.96
14,MONIKA,PROKOPIUK-KAWECKA,POL,15.400,14.64
15,EKATERINA,BOYARSKIKH,RUS,15.390,15.66
16,JESSICA,MORANDI,ITA,17.470,15.67
17,ANNA,GISLIMBERTI,ITA,17.590,
18,MALGORZATA,RUDZINSKA,POL,19.920,
19,RADIANA,MANEVA,BUL,26.130,
